Structure,Threads,Elapsed Time
STD_Lock,1,7044263114
TBB,1,7685989990
WFC_Laborde 4,1,47209900572
WFC_Laborde 8,1,33221159279
LibCDS_Feldman 4,1,21206909450
LibCDS_Feldman 8,1,13872863993
LibCDS_Michael 1,1,14201467279
Xenium_Michael,1,19746969957
LibCDS_SplitOrdered 1,1,25515423418
STD_Lock,4,31844072226
TBB,4,2775401051
WFC_Laborde 4,4,18999482460
WFC_Laborde 8,4,14901183463
LibCDS_Feldman 4,4,4713547153
LibCDS_Feldman 8,4,4834460384
LibCDS_Michael 1,4,4251079151
Xenium_Michael,4,6085075992
LibCDS_SplitOrdered 1,4,7917703949
STD_Lock,8,35372455265
TBB,8,1415210235
WFC_Laborde 4,8,9999268502
WFC_Laborde 8,8,6951049724
LibCDS_Feldman 4,8,2255458061
LibCDS_Feldman 8,8,1956066663
LibCDS_Michael 1,8,2075640369
Xenium_Michael,8,2667393777
LibCDS_SplitOrdered 1,8,3554620233
STD_Lock,16,26879762207
TBB,16,804398941
WFC_Laborde 4,16,5019037483
WFC_Laborde 8,16,4025099497
LibCDS_Feldman 4,16,1301140656
LibCDS_Feldman 8,16,979648913
LibCDS_Michael 1,16,1035256343
Xenium_Michael,16,1343464959
LibCDS_SplitOrdered 1,16,1831051238
STD_Lock,32,16256876340
TBB,32,429221797
WFC_Laborde 4,32,2587366616
WFC_Laborde 8,32,1967806954
LibCDS_Feldman 4,32,662666744
LibCDS_Feldman 8,32,540045045
LibCDS_Michael 1,32,731734600
Xenium_Michael,32,738224151
LibCDS_SplitOrdered 1,32,901744785
