Structure,Threads,Elapsed Time
STD_Lock,1,7478740277
TBB,1,8146935733
WFC_Laborde 4,1,35066629552
WFC_Laborde 8,1,28992162435
LibCDS_Feldman 4,1,14103564570
LibCDS_Feldman 8,1,14314387514
LibCDS_Michael 1,1,10067196700
Xenium_Michael,1,8676192691
LibCDS_SplitOrdered 1,1,9304780439
STD_Lock,4,43958489713
TBB,4,2666108261
WFC_Laborde 4,4,10057357929
WFC_Laborde 8,4,12457810392
LibCDS_Feldman 4,4,3552916714
LibCDS_Feldman 8,4,3330419556
LibCDS_Michael 1,4,2492581758
Xenium_Michael,4,2854681800
LibCDS_SplitOrdered 1,4,3332087663
STD_Lock,8,23845959765
TBB,8,1137448736
WFC_Laborde 4,8,4917604530
WFC_Laborde 8,8,4239190654
LibCDS_Feldman 4,8,1598805708
LibCDS_Feldman 8,8,1485330653
LibCDS_Michael 1,8,1219664782
Xenium_Michael,8,1439318436
LibCDS_SplitOrdered 1,8,1487793051
STD_Lock,16,26977975588
TBB,16,650019366
WFC_Laborde 4,16,2788270725
WFC_Laborde 8,16,2177730681
LibCDS_Feldman 4,16,930319741
LibCDS_Feldman 8,16,630470140
LibCDS_Michael 1,16,673605554
Xenium_Michael,16,662356856
LibCDS_SplitOrdered 1,16,798768537
STD_Lock,32,22538390925
TBB,32,347966389
WFC_Laborde 4,32,1407034329
WFC_Laborde 8,32,1238302536
LibCDS_Feldman 4,32,381609830
LibCDS_Feldman 8,32,399378838
LibCDS_Michael 1,32,359681600
Xenium_Michael,32,390810587
LibCDS_SplitOrdered 1,32,460712074
STD_Lock,1,12665989042
TBB,1,7599806242
WFC_Laborde 4,1,23096972525
WFC_Laborde 8,1,19318922423
LibCDS_Feldman 4,1,10081622302
LibCDS_Feldman 8,1,12493728362
LibCDS_Michael 1,1,7401364764
Xenium_Michael,1,20269048651
LibCDS_SplitOrdered 1,1,9677245443
STD_Lock,4,25740623018
TBB,4,2654741812
WFC_Laborde 4,4,10271036719
WFC_Laborde 8,4,9406688418
LibCDS_Feldman 4,4,3134918981
LibCDS_Feldman 8,4,3024245538
LibCDS_Michael 1,4,2427968890
Xenium_Michael,4,3095312218
LibCDS_SplitOrdered 1,4,3167954068
STD_Lock,8,38540293254
TBB,8,1134482799
WFC_Laborde 4,8,5019510900
WFC_Laborde 8,8,3976642380
LibCDS_Feldman 4,8,1425979223
LibCDS_Feldman 8,8,1338362141
LibCDS_Michael 1,8,1102794759
Xenium_Michael,8,997322183
LibCDS_SplitOrdered 1,8,1482056772
STD_Lock,16,29889942451
TBB,16,622004406
WFC_Laborde 4,16,2917605130
WFC_Laborde 8,16,2249100536
LibCDS_Feldman 4,16,762028640
LibCDS_Feldman 8,16,852523778
LibCDS_Michael 1,16,653020777
Xenium_Michael,16,757622365
LibCDS_SplitOrdered 1,16,790096753
STD_Lock,32,22405307914
TBB,32,355253195
WFC_Laborde 4,32,1550408442
WFC_Laborde 8,32,1389281276
LibCDS_Feldman 4,32,890184560
LibCDS_Feldman 8,32,384699183
LibCDS_Michael 1,32,357446502
Xenium_Michael,32,290638324
LibCDS_SplitOrdered 1,32,445895550
STD_Lock,1,18893187863
TBB,1,7487892766
WFC_Laborde 4,1,34313902156
WFC_Laborde 8,1,16684706951
LibCDS_Feldman 4,1,10396177709
LibCDS_Feldman 8,1,13652059451
LibCDS_Michael 1,1,7387531758
Xenium_Michael,1,8708057451
LibCDS_SplitOrdered 1,1,9534243304
STD_Lock,4,40059498166
TBB,4,2739015935
WFC_Laborde 4,4,9994070989
WFC_Laborde 8,4,8036191732
LibCDS_Feldman 4,4,2918275942
LibCDS_Feldman 8,4,3340866235
LibCDS_Michael 1,4,2276371601
Xenium_Michael,4,4836592500
LibCDS_SplitOrdered 1,4,3025560962
STD_Lock,8,24386364013
TBB,8,1143352580
WFC_Laborde 4,8,4397553742
WFC_Laborde 8,8,4287761316
LibCDS_Feldman 4,8,1464060120
LibCDS_Feldman 8,8,1513830007
LibCDS_Michael 1,8,1046027977
Xenium_Michael,8,1257861404
LibCDS_SplitOrdered 1,8,1424318319
STD_Lock,16,29661959925
TBB,16,701965094
WFC_Laborde 4,16,3502732439
WFC_Laborde 8,16,1906394439
LibCDS_Feldman 4,16,766756700
LibCDS_Feldman 8,16,675747886
LibCDS_Michael 1,16,698008193
Xenium_Michael,16,510179453
LibCDS_SplitOrdered 1,16,867280505
STD_Lock,32,20916272877
TBB,32,401684171
WFC_Laborde 4,32,1644517484
WFC_Laborde 8,32,1371441286
LibCDS_Feldman 4,32,489842620
LibCDS_Feldman 8,32,495554327
LibCDS_Michael 1,32,396987936
Xenium_Michael,32,342812813
LibCDS_SplitOrdered 1,32,402055664
STD_Lock,1,11530736612
TBB,1,7635078242
WFC_Laborde 4,1,22934162581
WFC_Laborde 8,1,19330385391
LibCDS_Feldman 4,1,14474573214
LibCDS_Feldman 8,1,14139163845
LibCDS_Michael 1,1,11845607676
Xenium_Michael,1,13870870790
LibCDS_SplitOrdered 1,1,12706188217
STD_Lock,4,40769833032
TBB,4,2717837128
WFC_Laborde 4,4,10570555177
WFC_Laborde 8,4,9859700667
LibCDS_Feldman 4,4,3657987531
LibCDS_Feldman 8,4,2978329101
LibCDS_Michael 1,4,2724817326
Xenium_Michael,4,3166054143
LibCDS_SplitOrdered 1,4,3301209372
STD_Lock,8,23930451125
TBB,8,1124743825
WFC_Laborde 4,8,5397732076
