Structure,Threads,Elapsed Time
STD_Lock,1,2335974871
TBB,1,2680734010
WFC_Laborde 4,1,6502343703
WFC_Laborde 8,1,5823027150
LibCDS_Feldman 4,1,2272858575
LibCDS_Feldman 8,1,2253554154
LibCDS_Michael 1,1,2464594816
Xenium_Michael,1,2951095875
LibCDS_SplitOrdered 1,1,3681033355
STD_Lock,4,11021134903
TBB,4,1662663438
WFC_Laborde 4,4,4704910116
WFC_Laborde 8,4,3968221432
LibCDS_Feldman 4,4,957075568
LibCDS_Feldman 8,4,1170675409
LibCDS_Michael 1,4,1244321380
Xenium_Michael,4,1321348709
LibCDS_SplitOrdered 1,4,1857712247
STD_Lock,8,9032849619
TBB,8,679196033
WFC_Laborde 4,8,2447821738
WFC_Laborde 8,8,2024963548
LibCDS_Feldman 4,8,461225816
LibCDS_Feldman 8,8,405936118
LibCDS_Michael 1,8,457395921
Xenium_Michael,8,651074421
LibCDS_SplitOrdered 1,8,859485239
STD_Lock,16,6197057453
TBB,16,424140818
WFC_Laborde 4,16,1575793767
WFC_Laborde 8,16,1476838808
LibCDS_Feldman 4,16,375784752
LibCDS_Feldman 8,16,219807043
LibCDS_Michael 1,16,311907763
Xenium_Michael,16,303461530
LibCDS_SplitOrdered 1,16,344539980
STD_Lock,32,7020689426
TBB,32,255060996
WFC_Laborde 4,32,1136056520
WFC_Laborde 8,32,1254240888
LibCDS_Feldman 4,32,166606942
LibCDS_Feldman 8,32,156190641
LibCDS_Michael 1,32,166284670
Xenium_Michael,32,232391784
LibCDS_SplitOrdered 1,32,273740270
STD_Lock,1,2330320210
TBB,1,2891031250
WFC_Laborde 4,1,6268428226
WFC_Laborde 8,1,4587626832
LibCDS_Feldman 4,1,2478416619
LibCDS_Feldman 8,1,2470633295
LibCDS_Michael 1,1,2161403371
Xenium_Michael,1,3121662609
LibCDS_SplitOrdered 1,1,3860665444
STD_Lock,4,10194113241
TBB,4,1463508463
WFC_Laborde 4,4,4677435722
WFC_Laborde 8,4,4057978252
LibCDS_Feldman 4,4,1120794734
LibCDS_Feldman 8,4,1420461330
LibCDS_Michael 1,4,1221200345
Xenium_Michael,4,1313226112
LibCDS_SplitOrdered 1,4,1917102149
STD_Lock,8,8230786183
TBB,8,775251982
WFC_Laborde 4,8,2451081241
WFC_Laborde 8,8,1680934751
LibCDS_Feldman 4,8,458982842
LibCDS_Feldman 8,8,480865310
LibCDS_Michael 1,8,484521229
Xenium_Michael,8,587127732
LibCDS_SplitOrdered 1,8,900886888
STD_Lock,16,6748547336
TBB,16,460696617
WFC_Laborde 4,16,1556993468
WFC_Laborde 8,16,1197126754
LibCDS_Feldman 4,16,256114349
LibCDS_Feldman 8,16,315653163
LibCDS_Michael 1,16,251208652
Xenium_Michael,16,277046744
LibCDS_SplitOrdered 1,16,603943265
STD_Lock,32,5963359693
TBB,32,263991820
WFC_Laborde 4,32,1208562631
WFC_Laborde 8,32,1157471708
LibCDS_Feldman 4,32,160898178
LibCDS_Feldman 8,32,160874850
LibCDS_Michael 1,32,164052124
Xenium_Michael,32,182061650
LibCDS_SplitOrdered 1,32,312075171
STD_Lock,1,2237180495
TBB,1,2907414716
WFC_Laborde 4,1,6544512017
WFC_Laborde 8,1,5617174077
LibCDS_Feldman 4,1,2475843095
LibCDS_Feldman 8,1,2313514764
LibCDS_Michael 1,1,2315008340
Xenium_Michael,1,3118309647
LibCDS_SplitOrdered 1,1,3870267524
STD_Lock,4,9525764789
TBB,4,1590906205
WFC_Laborde 4,4,4842964691
WFC_Laborde 8,4,4071782154
LibCDS_Feldman 4,4,1152607869
LibCDS_Feldman 8,4,1330682352
LibCDS_Michael 1,4,1205527145
Xenium_Michael,4,1325069900
LibCDS_SplitOrdered 1,4,1941933888
STD_Lock,8,10228922793
TBB,8,767945149
WFC_Laborde 4,8,2604845191
WFC_Laborde 8,8,1717969978
LibCDS_Feldman 4,8,497207528
LibCDS_Feldman 8,8,465082036
LibCDS_Michael 1,8,427924260
Xenium_Michael,8,569266834
LibCDS_SplitOrdered 1,8,965184515
STD_Lock,16,6245630988
TBB,16,493626178
WFC_Laborde 4,16,1321046804
WFC_Laborde 8,16,1148073848
LibCDS_Feldman 4,16,291914953
LibCDS_Feldman 8,16,359546270
LibCDS_Michael 1,16,320767726
Xenium_Michael,16,326286128
LibCDS_SplitOrdered 1,16,539529548
STD_Lock,32,5765922936
TBB,32,261539680
WFC_Laborde 4,32,1305701150
WFC_Laborde 8,32,1148918988
LibCDS_Feldman 4,32,158856201
LibCDS_Feldman 8,32,184638920
LibCDS_Michael 1,32,167219855
Xenium_Michael,32,201228981
LibCDS_SplitOrdered 1,32,282902463
STD_Lock,1,2339864183
TBB,1,2909227511
WFC_Laborde 4,1,6293708802
WFC_Laborde 8,1,5830617673
LibCDS_Feldman 4,1,2252758068
LibCDS_Feldman 8,1,2470043315
LibCDS_Michael 1,1,2103385924
Xenium_Michael,1,2949188665
LibCDS_SplitOrdered 1,1,3882928438
STD_Lock,4,10372457778
TBB,4,1673884933
WFC_Laborde 4,4,4926831258
WFC_Laborde 8,4,4035611285
LibCDS_Feldman 4,4,1155987801
LibCDS_Feldman 8,4,1513329057
LibCDS_Michael 1,4,1194905304
Xenium_Michael,4,1378100097
LibCDS_SplitOrdered 1,4,1854671135
STD_Lock,8,7908363507
TBB,8,698402432
WFC_Laborde 4,8,2769283774
WFC_Laborde 8,8,1713561311
LibCDS_Feldman 4,8,457664979
LibCDS_Feldman 8,8,471795342
LibCDS_Michael 1,8,424558390
Xenium_Michael,8,510830959
LibCDS_SplitOrdered 1,8,928654870
STD_Lock,16,7371606886
TBB,16,415255442
WFC_Laborde 4,16,1327170297
WFC_Laborde 8,16,927173551
LibCDS_Feldman 4,16,289549302
LibCDS_Feldman 8,16,210818488
LibCDS_Michael 1,16,190024014
Xenium_Michael,16,251532982
LibCDS_SplitOrdered 1,16,412633797
STD_Lock,32,7293347125
TBB,32,258877485
WFC_Laborde 4,32,1058878147
WFC_Laborde 8,32,1182264103
LibCDS_Feldman 4,32,164432479
LibCDS_Feldman 8,32,163421960
LibCDS_Michael 1,32,205539206
Xenium_Michael,32,182271389
LibCDS_SplitOrdered 1,32,331114785
STD_Lock,1,3340989898
TBB,1,2702820995
WFC_Laborde 4,1,6283519328
WFC_Laborde 8,1,4778781552
LibCDS_Feldman 4,1,2556608927
LibCDS_Feldman 8,1,2260334245
LibCDS_Michael 1,1,2165230490
Xenium_Michael,1,3118770277
LibCDS_SplitOrdered 1,1,3863211951
STD_Lock,4,12595480516
TBB,4,1622321135
WFC_Laborde 4,4,4788472432
WFC_Laborde 8,4,3906754923
LibCDS_Feldman 4,4,1260799308
LibCDS_Feldman 8,4,1404611231
LibCDS_Michael 1,4,980821028
Xenium_Michael,4,1332223371
LibCDS_SplitOrdered 1,4,1954602551
STD_Lock,8,8595963986
TBB,8,852182646
WFC_Laborde 4,8,2531598271
WFC_Laborde 8,8,1882607639
LibCDS_Feldman 4,8,498933231
LibCDS_Feldman 8,8,393440715
LibCDS_Michael 1,8,406432419
Xenium_Michael,8,616345471
LibCDS_SplitOrdered 1,8,862547129
STD_Lock,16,5988277023
TBB,16,379960606
WFC_Laborde 4,16,1726386733
WFC_Laborde 8,16,1338218026
LibCDS_Feldman 4,16,209924302
LibCDS_Feldman 8,16,362893335
LibCDS_Michael 1,16,238811163
Xenium_Michael,16,287463340
LibCDS_SplitOrdered 1,16,518277702
STD_Lock,32,6370024278
TBB,32,295175670
WFC_Laborde 4,32,1202469346
WFC_Laborde 8,32,1324873145
LibCDS_Feldman 4,32,159569768
LibCDS_Feldman 8,32,164106279
LibCDS_Michael 1,32,168552137
Xenium_Michael,32,181383518
LibCDS_SplitOrdered 1,32,327890142
STD_Lock,1,2364068888
TBB,1,2913108659
WFC_Laborde 4,1,7626446010
WFC_Laborde 8,1,4586868709
LibCDS_Feldman 4,1,2298213138
LibCDS_Feldman 8,1,2252741154
LibCDS_Michael 1,1,2312513721
Xenium_Michael,1,3103766489
LibCDS_SplitOrdered 1,1,3874523325
STD_Lock,4,8819708502
TBB,4,1777019176
WFC_Laborde 4,4,4767960085
WFC_Laborde 8,4,3810235766
LibCDS_Feldman 4,4,992635229
LibCDS_Feldman 8,4,1226598255
LibCDS_Michael 1,4,982745494
Xenium_Michael,4,1379505860
LibCDS_SplitOrdered 1,4,1949677560
STD_Lock,8,8912426952
TBB,8,691658906
WFC_Laborde 4,8,2457085291
WFC_Laborde 8,8,1772230950
LibCDS_Feldman 4,8,489542122
LibCDS_Feldman 8,8,420889566
LibCDS_Michael 1,8,481049183
Xenium_Michael,8,660589658
LibCDS_SplitOrdered 1,8,885762981
STD_Lock,16,7345518640
TBB,16,442522012
WFC_Laborde 4,16,1623204456
WFC_Laborde 8,16,1139652924
LibCDS_Feldman 4,16,320531930
LibCDS_Feldman 8,16,285236281
LibCDS_Michael 1,16,335835074
Xenium_Michael,16,269881195
LibCDS_SplitOrdered 1,16,461981510
STD_Lock,32,5914465565
TBB,32,283812451
WFC_Laborde 4,32,1222394846
WFC_Laborde 8,32,1148194254
LibCDS_Feldman 4,32,162486806
LibCDS_Feldman 8,32,172485531
LibCDS_Michael 1,32,186766670
Xenium_Michael,32,180093501
LibCDS_SplitOrdered 1,32,313811357
STD_Lock,1,2343064816
TBB,1,4069375951
WFC_Laborde 4,1,6376887492
WFC_Laborde 8,1,4784355259
LibCDS_Feldman 4,1,2478454511
LibCDS_Feldman 8,1,2474172249
LibCDS_Michael 1,1,2124113924
Xenium_Michael,1,3124335627
