Structure,Threads,Elapsed Time
LockUnordered,1,4022582500
TBB,1,3113558007
WFCUnorderedMap 4,1,6330161678
WFCUnorderedMap 8,1,4845420576
LibCDSFeldman 4,1,2920888260
LibCDSFeldman 8,1,2855921887
LibCDSMichael 1,1,2427329552
LibCDSSplitOrdered 1,1,4852054495
LockUnordered,4,10645037121
TBB,4,1564501997
WFCUnorderedMap 4,4,4452040787
WFCUnorderedMap 8,4,3687734303
LibCDSFeldman 4,4,1299039088
LibCDSFeldman 8,4,1412733373
LibCDSMichael 1,4,1232481225
LibCDSSplitOrdered 1,4,2004571584
LockUnordered,8,8440737555
TBB,8,807437573
WFCUnorderedMap 4,8,2286605849
WFCUnorderedMap 8,8,2244130555
LibCDSFeldman 4,8,571826130
LibCDSFeldman 8,8,536535196
LibCDSMichael 1,8,407924757
LibCDSSplitOrdered 1,8,955080136
LockUnordered,16,7878846643
TBB,16,520860424
WFCUnorderedMap 4,16,1193989042
WFCUnorderedMap 8,16,1347017798
LibCDSFeldman 4,16,275122416
LibCDSFeldman 8,16,358498116
LibCDSMichael 1,16,324667992
LibCDSSplitOrdered 1,16,696956307
LockUnordered,32,7944750005
TBB,32,262054882
WFCUnorderedMap 4,32,925906338
WFCUnorderedMap 8,32,942230659
LibCDSFeldman 4,32,177251227
LibCDSFeldman 8,32,176923452
LibCDSMichael 1,32,168797761
LibCDSSplitOrdered 1,32,319538557
LockUnordered,1,2718168756
TBB,1,3717651740
WFCUnorderedMap 4,1,6310360091
WFCUnorderedMap 8,1,5371849131
LibCDSFeldman 4,1,2812281442
LibCDSFeldman 8,1,2866299763
LibCDSMichael 1,1,2380869248
LibCDSSplitOrdered 1,1,4030181575
LockUnordered,4,10076467780
TBB,4,1513007627
WFCUnorderedMap 4,4,4304351697
WFCUnorderedMap 8,4,3912193016
LibCDSFeldman 4,4,1410403806
LibCDSFeldman 8,4,1326429051
LibCDSMichael 1,4,1157581674
LibCDSSplitOrdered 1,4,2061095303
LockUnordered,8,10101210692
TBB,8,689119683
WFCUnorderedMap 4,8,2633662891
WFCUnorderedMap 8,8,2469588127
LibCDSFeldman 4,8,514192620
LibCDSFeldman 8,8,622892254
LibCDSMichael 1,8,550110872
LibCDSSplitOrdered 1,8,1154305785
LockUnordered,16,9375460556
TBB,16,422035873
WFCUnorderedMap 4,16,1148587944
WFCUnorderedMap 8,16,979034193
LibCDSFeldman 4,16,274325993
LibCDSFeldman 8,16,345489743
LibCDSMichael 1,16,268000525
LibCDSSplitOrdered 1,16,498991335
LockUnordered,32,7694299338
TBB,32,261652417
WFCUnorderedMap 4,32,1164712421
WFCUnorderedMap 8,32,1003765660
LibCDSFeldman 4,32,178137813
LibCDSFeldman 8,32,222405430
