Structure,Threads,Elapsed Time
STD_Lock,1,3422412365
TBB,1,4603431983
WFC_Laborde 4,1,14674894135
WFC_Laborde 8,1,10939364531
LibCDS_Feldman 4,1,10408542015
LibCDS_Feldman 8,1,9021616895
Xenium_Michael,1,13616422425
LibCDS_Michael 1,1,9550509830
LibCDS_SplitOrdered 1,1,19294576978
STD_Lock,4,10915298075
TBB,4,1989829880
WFC_Laborde 4,4,6442983826
WFC_Laborde 8,4,4956694797
LibCDS_Feldman 4,4,2806913546
LibCDS_Feldman 8,4,2666792167
Xenium_Michael,4,4186569911
LibCDS_Michael 1,4,2736280099
LibCDS_SplitOrdered 1,4,5054636968
STD_Lock,8,13326621069
TBB,8,980119704
WFC_Laborde 4,8,3333659562
WFC_Laborde 8,8,2521910718
LibCDS_Feldman 4,8,1528374482
LibCDS_Feldman 8,8,1341772709
Xenium_Michael,8,2093341877
LibCDS_Michael 1,8,1483557917
LibCDS_SplitOrdered 1,8,2730569693
STD_Lock,16,12937033490
TBB,16,538011048
WFC_Laborde 4,16,2169215553
WFC_Laborde 8,16,1877421502
LibCDS_Feldman 4,16,952837337
LibCDS_Feldman 8,16,864647447
Xenium_Michael,16,1248267360
LibCDS_Michael 1,16,883363117
LibCDS_SplitOrdered 1,16,1677288813
STD_Lock,32,13597292369
TBB,32,428222080
LibCDS_Feldman 4,32,676330972
LibCDS_Feldman 8,32,495689355
Xenium_Michael,32,740184437
LibCDS_Michael 1,32,538719528
LibCDS_SplitOrdered 1,32,977284847
STD_Lock,1,3422327919
TBB,1,4950853749
WFC_Laborde 4,1,14666113088
WFC_Laborde 8,1,10930284477
LibCDS_Feldman 4,1,10410184155
LibCDS_Feldman 8,1,9098600821
Xenium_Michael,1,13613163273
LibCDS_Michael 1,1,9551749663
LibCDS_SplitOrdered 1,1,19299461021
STD_Lock,4,11082901196
TBB,4,1945140963
WFC_Laborde 4,4,6410758196
LibCDS_Feldman 4,4,2824203007
LibCDS_Feldman 8,4,2638542370
Xenium_Michael,4,3918866776
LibCDS_Michael 1,4,2826712192
LibCDS_SplitOrdered 1,4,5100973104
STD_Lock,8,13383004084
TBB,8,933033453
WFC_Laborde 8,8,2560541843
LibCDS_Feldman 4,8,1534595845
LibCDS_Feldman 8,8,1419460069
Xenium_Michael,8,2058225991
LibCDS_Michael 1,8,1579051515
LibCDS_SplitOrdered 1,8,2808685368
STD_Lock,16,13027494570
TBB,16,508742257
LibCDS_Feldman 4,16,939473670
LibCDS_Feldman 8,16,863314861
Xenium_Michael,16,1208826270
LibCDS_Michael 1,16,896528060
LibCDS_SplitOrdered 1,16,1619752224
