Structure,Threads,Elapsed Time
STD_Lock,1,5971452181
TBB,1,7252508146
WFC_Laborde 4,1,15003147852
WFC_Laborde 8,1,11293633004
LibCDS_Feldman 4,1,15691162305
LibCDS_Feldman 8,1,14333787949
Xenium_Michael,1,15258572232
LibCDS_Michael 1,1,14096253351
LibCDS_SplitOrdered 1,1,23378445726
STD_Lock,4,19371152430
TBB,4,2915639666
LibCDS_Feldman 4,4,4826049835
LibCDS_Feldman 8,4,4635986888
Xenium_Michael,4,5140880558
LibCDS_Michael 1,4,4794397990
LibCDS_SplitOrdered 1,4,6935089403
STD_Lock,8,22318165222
TBB,8,1436668658
LibCDS_Feldman 4,8,2618008033
LibCDS_Feldman 8,8,2474209135
Xenium_Michael,8,2747841152
LibCDS_Michael 1,8,2551496682
LibCDS_SplitOrdered 1,8,3636656583
STD_Lock,16,23550807280
TBB,16,853045830
LibCDS_Feldman 4,16,1514577021
LibCDS_Feldman 8,16,1528670053
Xenium_Michael,16,1536956765
LibCDS_Michael 1,16,1479828061
LibCDS_SplitOrdered 1,16,2187974593
STD_Lock,32,23259319542
TBB,32,533279437
LibCDS_Feldman 4,32,1109632062
LibCDS_Feldman 8,32,1022631443
Xenium_Michael,32,902865225
LibCDS_Michael 1,32,1240671132
LibCDS_SplitOrdered 1,32,1500360508
