Structure,Threads,Elapsed Time
STD_Lock,1,3084560420
TBB,1,3988884455
WFC_Laborde 4,1,2579171172
WFC_Laborde 8,1,2567055544
LibCDS_Feldman 4,1,7863881571
LibCDS_Feldman 8,1,7794412831
Xenium_Michael,1,4403109587
LibCDS_Michael 1,1,4465086504
LibCDS_SplitOrdered 1,1,5115034052
STD_Lock,4,16057225824
TBB,4,2218124531
LibCDS_Feldman 4,4,2740717008
LibCDS_Feldman 8,4,2867539612
Xenium_Michael,4,1913610232
LibCDS_Michael 1,4,2121950205
LibCDS_SplitOrdered 1,4,2181464032
STD_Lock,8,18284183754
TBB,8,1242838864
LibCDS_Feldman 4,8,1414539297
LibCDS_Feldman 8,8,1643322729
Xenium_Michael,8,1281954829
LibCDS_Michael 1,8,1400857896
LibCDS_SplitOrdered 1,8,1359691255
STD_Lock,16,18839027222
TBB,16,692484489
LibCDS_Feldman 4,16,1010428672
LibCDS_Feldman 8,16,1055445637
Xenium_Michael,16,765923822
LibCDS_Michael 1,16,890318816
LibCDS_SplitOrdered 1,16,949350095
STD_Lock,32,20018722549
TBB,32,496942281
LibCDS_Feldman 4,32,1578502967
LibCDS_Feldman 8,32,1408324182
Xenium_Michael,32,588966578
LibCDS_Michael 1,32,810889601
LibCDS_SplitOrdered 1,32,1138207422
STD_Lock,1,3068604255
TBB,1,3982269198
WFC_Laborde 4,1,2502439207
WFC_Laborde 8,1,2311861206
LibCDS_Feldman 4,1,7670672654
LibCDS_Feldman 8,1,7538896159
Xenium_Michael,1,4323780926
LibCDS_Michael 1,1,4373082275
LibCDS_SplitOrdered 1,1,5292226668
STD_Lock,4,16285273300
TBB,4,2321296284
WFC_Laborde 4,4,3568296439
LibCDS_Feldman 4,4,2910457473
LibCDS_Feldman 8,4,2924416785
Xenium_Michael,4,2136554289
LibCDS_Michael 1,4,2173802909
LibCDS_SplitOrdered 1,4,2463331781
STD_Lock,8,18924514624
TBB,8,1116573143
LibCDS_Feldman 4,8,1704508760
LibCDS_Feldman 8,8,1615715966
Xenium_Michael,8,1172109717
LibCDS_Michael 1,8,1297472873
LibCDS_SplitOrdered 1,8,1447847564
STD_Lock,16,17891414453
TBB,16,642617301
LibCDS_Feldman 4,16,984667550
LibCDS_Feldman 8,16,1004507352
Xenium_Michael,16,650354838
LibCDS_Michael 1,16,938338111
LibCDS_SplitOrdered 1,16,811579133
STD_Lock,32,20028593373
TBB,32,394125542
LibCDS_Feldman 4,32,883833074
LibCDS_Feldman 8,32,907702479
Xenium_Michael,32,394930235
LibCDS_Michael 1,32,752879608
LibCDS_SplitOrdered 1,32,840292644
STD_Lock,1,3072366021
TBB,1,3957160638
WFC_Laborde 4,1,2495042477
WFC_Laborde 8,1,2294542644
LibCDS_Feldman 4,1,7718065972
LibCDS_Feldman 8,1,7417601539
Xenium_Michael,1,4398814040
LibCDS_Michael 1,1,4441977518
LibCDS_SplitOrdered 1,1,5105633184
STD_Lock,4,13763974098
TBB,4,2182103971
LibCDS_Feldman 4,4,2857266481
LibCDS_Feldman 8,4,4144893525
Xenium_Michael,4,2290398536
LibCDS_Michael 1,4,2106410160
LibCDS_SplitOrdered 1,4,2279402955
STD_Lock,8,18614948365
TBB,8,1058113012
LibCDS_Feldman 4,8,1616140466
LibCDS_Feldman 8,8,1620214697
Xenium_Michael,8,1147106430
LibCDS_Michael 1,8,1330059343
LibCDS_SplitOrdered 1,8,1360021252
STD_Lock,16,18356806495
TBB,16,690698682
LibCDS_Feldman 4,16,1201645652
LibCDS_Feldman 8,16,1180264421
Xenium_Michael,16,867232777
LibCDS_Michael 1,16,825783232
LibCDS_SplitOrdered 1,16,955217765
STD_Lock,32,19177014037
TBB,32,499240720
LibCDS_Feldman 4,32,806906410
LibCDS_Feldman 8,32,1681417331
Xenium_Michael,32,649418546
LibCDS_Michael 1,32,904207520
LibCDS_SplitOrdered 1,32,741036625
STD_Lock,1,3655658906
TBB,1,4217896217
WFC_Laborde 4,1,2491108400
WFC_Laborde 8,1,2318270575
LibCDS_Feldman 4,1,7514750241
LibCDS_Feldman 8,1,7575809285
Xenium_Michael,1,4264371072
LibCDS_Michael 1,1,4658284765
LibCDS_SplitOrdered 1,1,5038545388
STD_Lock,4,15182411260
TBB,4,2152860216
WFC_Laborde 8,4,3397284321
LibCDS_Feldman 4,4,2709992172
LibCDS_Feldman 8,4,2907737036
Xenium_Michael,4,2042223236
LibCDS_Michael 1,4,2344183639
LibCDS_SplitOrdered 1,4,2433124397
STD_Lock,8,18052650228
TBB,8,1030728035
LibCDS_Feldman 4,8,1591349144
LibCDS_Feldman 8,8,1541777557
Xenium_Michael,8,1423309911
LibCDS_Michael 1,8,1433967010
LibCDS_SplitOrdered 1,8,1441337929
STD_Lock,16,18197567652
TBB,16,821141964
LibCDS_Feldman 4,16,990899873
LibCDS_Feldman 8,16,1049380613
Xenium_Michael,16,700640369
LibCDS_Michael 1,16,938907856
LibCDS_SplitOrdered 1,16,847658910
STD_Lock,32,20096478316
TBB,32,470991437
LibCDS_Feldman 4,32,810103990
LibCDS_Feldman 8,32,1328763907
Xenium_Michael,32,407166378
LibCDS_Michael 1,32,783659534
LibCDS_SplitOrdered 1,32,974008489
STD_Lock,1,3092321952
TBB,1,4217667023
WFC_Laborde 4,1,2589412357
WFC_Laborde 8,1,2292487788
LibCDS_Feldman 4,1,7855496159
LibCDS_Feldman 8,1,7788333172
Xenium_Michael,1,4253067999
LibCDS_Michael 1,1,4651741372
LibCDS_SplitOrdered 1,1,5100815725
STD_Lock,4,16002186517
TBB,4,1942108230
LibCDS_Feldman 4,4,2875535913
LibCDS_Feldman 8,4,2896835404
Xenium_Michael,4,2139110426
LibCDS_Michael 1,4,2221012623
LibCDS_SplitOrdered 1,4,2414302604
STD_Lock,8,18056814445
TBB,8,1025712751
LibCDS_Feldman 4,8,1697924339
LibCDS_Feldman 8,8,2001332032
Xenium_Michael,8,1194527609
LibCDS_Michael 1,8,1399920697
LibCDS_SplitOrdered 1,8,1307675235
STD_Lock,16,19021804486
TBB,16,621152182
LibCDS_Feldman 4,16,1021328536
LibCDS_Feldman 8,16,1062697376
Xenium_Michael,16,722804980
LibCDS_Michael 1,16,815776970
LibCDS_SplitOrdered 1,16,962966145
STD_Lock,32,19861258786
TBB,32,392612635
LibCDS_Feldman 4,32,816499740
LibCDS_Feldman 8,32,1010070377
Xenium_Michael,32,443033963
LibCDS_Michael 1,32,890461231
LibCDS_SplitOrdered 1,32,805636456
STD_Lock,1,3355018016
TBB,1,3946260982
WFC_Laborde 4,1,2500848000
WFC_Laborde 8,1,2303567501
LibCDS_Feldman 4,1,7865455492
LibCDS_Feldman 8,1,7656694278
Xenium_Michael,1,4360321472
LibCDS_Michael 1,1,4660473489
LibCDS_SplitOrdered 1,1,5602999815
STD_Lock,4,14896251886
TBB,4,2186566479
LibCDS_Feldman 4,4,2783436024
LibCDS_Feldman 8,4,3090170026
Xenium_Michael,4,2254294887
LibCDS_Michael 1,4,2036552339
LibCDS_SplitOrdered 1,4,2359423096
STD_Lock,8,19692391376
TBB,8,972910570
LibCDS_Feldman 4,8,2036246119
LibCDS_Feldman 8,8,1718228540
Xenium_Michael,8,1234685856
LibCDS_Michael 1,8,1383494039
LibCDS_SplitOrdered 1,8,1420851178
STD_Lock,16,18500901553
TBB,16,621571128
LibCDS_Feldman 4,16,1039728874
LibCDS_Feldman 8,16,1138993747
Xenium_Michael,16,731901205
LibCDS_Michael 1,16,884587788
LibCDS_SplitOrdered 1,16,983091583
