Structure,Threads,Elapsed Time
LockUnordered,1,995618248
TBB,1,1097884827
WFCUnorderedMap 4,1,2033165660
WFCUnorderedMap 8,1,1673280405
LibCDSFeldman 4,1,782886484
LibCDSFeldman 8,1,1010007806
XeniumHarrisMichael,1,1537291704
LibCDSMichael 1,1,809875930
LibCDSSplitOrdered 1,1,1444197273
LockUnordered,4,5752357481
TBB,4,724822914
WFCUnorderedMap 4,4,2831243869
WFCUnorderedMap 8,4,2534281451
LibCDSFeldman 4,4,246827517
LibCDSFeldman 8,4,281436928
XeniumHarrisMichael,4,779251455
LibCDSMichael 1,4,668765946
LibCDSSplitOrdered 1,4,630562425
LockUnordered,8,7334964056
TBB,8,278972675
WFCUnorderedMap 4,8,1619134798
WFCUnorderedMap 8,8,1250484340
LibCDSFeldman 4,8,151175092
LibCDSFeldman 8,8,180096365
XeniumHarrisMichael,8,347168530
LibCDSMichael 1,8,166994276
LibCDSSplitOrdered 1,8,561586805
LockUnordered,16,6482801776
TBB,16,263836562
WFCUnorderedMap 4,16,481703394
WFCUnorderedMap 8,16,1443301558
LibCDSFeldman 4,16,369073447
LibCDSFeldman 8,16,117010111
XeniumHarrisMichael,16,223918393
LibCDSMichael 1,16,225869982
LibCDSSplitOrdered 1,16,256874321
LockUnordered,32,6431328605
TBB,32,389199975
WFCUnorderedMap 4,32,895048509
WFCUnorderedMap 8,32,996309450
LibCDSFeldman 4,32,121962626
LibCDSFeldman 8,32,327728273
XeniumHarrisMichael,32,137393112
LibCDSMichael 1,32,224599484
LibCDSSplitOrdered 1,32,168705641
LockUnordered,1,997373168
TBB,1,1097469860
WFCUnorderedMap 4,1,1824186309
WFCUnorderedMap 8,1,1845323816
LibCDSFeldman 4,1,797826916
LibCDSFeldman 8,1,818505693
XeniumHarrisMichael,1,1538101168
LibCDSMichael 1,1,1026957003
LibCDSSplitOrdered 1,1,1450479775
LockUnordered,4,5484760510
TBB,4,760141527
WFCUnorderedMap 4,4,2487679580
WFCUnorderedMap 8,4,1926052536
LibCDSFeldman 4,4,274817585
LibCDSFeldman 8,4,656650251
XeniumHarrisMichael,4,638566697
LibCDSMichael 1,4,250753708
LibCDSSplitOrdered 1,4,929127242
LockUnordered,8,6682767306
TBB,8,249423869
WFCUnorderedMap 4,8,1336520086
WFCUnorderedMap 8,8,1530354811
LibCDSFeldman 4,8,158863904
LibCDSFeldman 8,8,173365910
XeniumHarrisMichael,8,277113344
LibCDSMichael 1,8,234388599
LibCDSSplitOrdered 1,8,216129135
LockUnordered,16,6060515613
TBB,16,220720424
WFCUnorderedMap 4,16,1495282728
WFCUnorderedMap 8,16,1350251052
LibCDSFeldman 4,16,416573045
LibCDSFeldman 8,16,279511890
XeniumHarrisMichael,16,186678980
LibCDSMichael 1,16,108327512
LibCDSSplitOrdered 1,16,402708580
LockUnordered,32,6072181466
TBB,32,225737512
WFCUnorderedMap 4,32,1100085423
LibCDSFeldman 4,32,519945350
