Structure,Threads,Elapsed Time
LockUnordered,1,936222639
TBB,1,1296736775
WFCUnorderedMap 4,1,1957806567
WFCUnorderedMap 8,1,1729597116
LibCDSFeldman 4,1,960285750
LibCDSFeldman 8,1,1188484889
XeniumHarrisMichael,1,1558604747
LibCDSMichael 1,1,964222730
LibCDSSplitOrdered 1,1,1385808459
LockUnordered,4,10933549243
TBB,4,1306511448
WFCUnorderedMap 4,4,3318027094
WFCUnorderedMap 8,4,3309995222
LibCDSFeldman 4,4,903377482
LibCDSFeldman 8,4,1192985261
XeniumHarrisMichael,4,843744852
LibCDSMichael 1,4,438620659
LibCDSSplitOrdered 1,4,922763897
LockUnordered,8,11108770894
TBB,8,529074607
WFCUnorderedMap 4,8,2763326821
WFCUnorderedMap 8,8,2102693510
LibCDSFeldman 4,8,862864789
LibCDSFeldman 8,8,312568620
XeniumHarrisMichael,8,306654682
LibCDSMichael 1,8,191818600
LibCDSSplitOrdered 1,8,1012780814
LockUnordered,16,9688701745
TBB,16,357130120
WFCUnorderedMap 8,16,2084154836
LibCDSFeldman 4,16,186130556
LibCDSFeldman 8,16,570175153
XeniumHarrisMichael,16,295835735
LibCDSMichael 1,16,1053968761
LibCDSSplitOrdered 1,16,716212951
LockUnordered,32,12417499957
TBB,32,378981282
WFCUnorderedMap 4,32,1541853417
LibCDSFeldman 4,32,1103120176
LibCDSFeldman 8,32,1039074705
XeniumHarrisMichael,32,220515771
LibCDSMichael 1,32,924266271
LibCDSSplitOrdered 1,32,697536316
LockUnordered,1,933398644
TBB,1,1303791335
WFCUnorderedMap 4,1,1957272367
WFCUnorderedMap 8,1,1758140330
LibCDSFeldman 4,1,1055478449
LibCDSFeldman 8,1,955167163
XeniumHarrisMichael,1,1640500214
LibCDSMichael 1,1,961813013
LibCDSSplitOrdered 1,1,1381250159
LockUnordered,4,9111749156
TBB,4,1369872289
WFCUnorderedMap 4,4,3277737334
LibCDSFeldman 4,4,886166552
LibCDSFeldman 8,4,426207654
XeniumHarrisMichael,4,1062319241
LibCDSMichael 1,4,900356980
LibCDSSplitOrdered 1,4,1475087110
LockUnordered,8,11276339413
TBB,8,379230635
WFCUnorderedMap 8,8,2446373323
LibCDSFeldman 4,8,816619059
LibCDSFeldman 8,8,273011518
XeniumHarrisMichael,8,502738452
LibCDSMichael 1,8,190783684
LibCDSSplitOrdered 1,8,725720167
LockUnordered,16,10434852104
TBB,16,415465852
WFCUnorderedMap 8,16,2038625309
LibCDSFeldman 4,16,231405374
LibCDSFeldman 8,16,465271254
XeniumHarrisMichael,16,236884563
LibCDSMichael 1,16,166174693
LibCDSSplitOrdered 1,16,351623580
LockUnordered,32,11175359549
TBB,32,356430391
LibCDSFeldman 4,32,1208004200
LibCDSFeldman 8,32,756837825
XeniumHarrisMichael,32,208313046
LibCDSMichael 1,32,931110231
LibCDSSplitOrdered 1,32,753097173
LockUnordered,1,936792945
TBB,1,1290420609
WFCUnorderedMap 4,1,1940078082
WFCUnorderedMap 8,1,1707339134
LibCDSFeldman 4,1,1227880882
LibCDSFeldman 8,1,913989005
XeniumHarrisMichael,1,1597642891
LibCDSMichael 1,1,961792995
LibCDSSplitOrdered 1,1,1379771828
LockUnordered,4,10772686404
TBB,4,1187246144
