Structure,Threads,Elapsed Time
LockUnordered,1,978929346
TBB,1,1341668073
WFCUnorderedMap 4,1,2023787980
WFCUnorderedMap 8,1,1867748774
LibCDSFeldman 4,1,997244295
LibCDSFeldman 8,1,949214711
XeniumHarrisMichael,1,1692371853
LibCDSMichael 1,1,1206407867
LibCDSSplitOrdered 1,1,1403890760
LockUnordered,4,7639970225
TBB,4,1128325800
WFCUnorderedMap 4,4,2642556838
WFCUnorderedMap 8,4,2770326570
LibCDSFeldman 4,4,501979597
LibCDSFeldman 8,4,733663879
XeniumHarrisMichael,4,1127533166
LibCDSMichael 1,4,451390226
LibCDSSplitOrdered 1,4,803942401
LockUnordered,8,8885513272
TBB,8,766803701
WFCUnorderedMap 4,8,2274244464
WFCUnorderedMap 8,8,2117712680
LibCDSFeldman 4,8,208511297
LibCDSFeldman 8,8,638176806
XeniumHarrisMichael,8,405856928
LibCDSMichael 1,8,196915665
LibCDSSplitOrdered 1,8,463967079
LockUnordered,16,10297058043
TBB,16,421415976
WFCUnorderedMap 4,16,1760419120
WFCUnorderedMap 8,16,1816874556
LibCDSFeldman 4,16,234706411
LibCDSFeldman 8,16,176416557
XeniumHarrisMichael,16,289382764
LibCDSMichael 1,16,634545490
LibCDSSplitOrdered 1,16,495262698
LockUnordered,32,10672277174
TBB,32,316801507
WFCUnorderedMap 4,32,1315447852
WFCUnorderedMap 8,32,1354899692
LibCDSFeldman 4,32,419336202
LibCDSFeldman 8,32,644837070
XeniumHarrisMichael,32,211799268
LibCDSMichael 1,32,536659931
LibCDSSplitOrdered 1,32,584806936
LockUnordered,1,952446119
TBB,1,1342813552
WFCUnorderedMap 4,1,2013572462
WFCUnorderedMap 8,1,1867063917
LibCDSFeldman 4,1,978178571
LibCDSFeldman 8,1,909267833
XeniumHarrisMichael,1,1686733340
LibCDSMichael 1,1,1205636824
LibCDSSplitOrdered 1,1,1479918150
LockUnordered,4,8953187008
TBB,4,1178168970
WFCUnorderedMap 4,4,3304776606
WFCUnorderedMap 8,4,3265821077
LibCDSFeldman 4,4,491319836
LibCDSFeldman 8,4,1160274778
XeniumHarrisMichael,4,1274819910
LibCDSMichael 1,4,512857299
LibCDSSplitOrdered 1,4,1084010675
LockUnordered,8,10365549368
TBB,8,541871304
LibCDSFeldman 4,8,710856220
LibCDSFeldman 8,8,242930391
XeniumHarrisMichael,8,706595721
LibCDSMichael 1,8,210463091
LibCDSSplitOrdered 1,8,701373668
LockUnordered,16,9581084359
TBB,16,353313258
WFCUnorderedMap 4,16,1588184035
LibCDSFeldman 4,16,373491842
LibCDSFeldman 8,16,924114749
XeniumHarrisMichael,16,253794344
LibCDSMichael 1,16,148900918
LibCDSSplitOrdered 1,16,514428006
LockUnordered,32,11585529237
TBB,32,447135438
LibCDSFeldman 4,32,165774270
LibCDSFeldman 8,32,744788151
XeniumHarrisMichael,32,197341345
LibCDSMichael 1,32,639980474
LibCDSSplitOrdered 1,32,488775538
LockUnordered,1,872810185
TBB,1,1341946308
WFCUnorderedMap 4,1,2013293014
WFCUnorderedMap 8,1,1882226219
LibCDSFeldman 4,1,978142467
LibCDSFeldman 8,1,916199554
XeniumHarrisMichael,1,1686349290
LibCDSMichael 1,1,1206523571
LibCDSSplitOrdered 1,1,1480557136
LockUnordered,4,7679143608
TBB,4,1473225059
WFCUnorderedMap 4,4,2959689668
WFCUnorderedMap 8,4,2635496283
LibCDSFeldman 4,4,555894617
LibCDSFeldman 8,4,290988687
XeniumHarrisMichael,4,1257899916
LibCDSMichael 1,4,680582016
LibCDSSplitOrdered 1,4,1173157415
LockUnordered,8,10057392509
TBB,8,473587572
WFCUnorderedMap 4,8,2327269503
WFCUnorderedMap 8,8,2172018442
