Structure,Threads,Elapsed Time
STL,1,4396554456
TBB,1,4124545546
WFC Laborde 4,1,26610373673
WFC Laborde 8,1,21042915773
CDS Feldman 4,1,4600210252
CDS Feldman 8,1,4163053796
CDS Michael,1,3724907579
Xenium Michael,1,6587870245
CDS SplitOrdered,1,15845796284
STL,4,23319992728
TBB,4,1835215326
WFC Laborde 4,4,13387506243
WFC Laborde 8,4,11855815750
CDS Feldman 4,4,1927952472
CDS Feldman 8,4,1764862242
CDS Michael,4,1553472287
Xenium Michael,4,2285842278
CDS SplitOrdered,4,2728493209
STL,8,19009106435
TBB,8,906976694
WFC Laborde 4,8,6482872604
WFC Laborde 8,8,5328689031
CDS Feldman 4,8,820315587
CDS Feldman 8,8,757446615
CDS Michael,8,729635435
Xenium Michael,8,877488756
CDS SplitOrdered,8,1185462514
STL,16,23662304064
TBB,16,535682439
WFC Laborde 4,16,4174321802
WFC Laborde 8,16,4647741269
CDS Feldman 4,16,385786432
CDS Feldman 8,16,327804153
CDS Michael,16,552161032
Xenium Michael,16,556863398
CDS SplitOrdered,16,607208334
STL,32,16240313810
TBB,32,386088638
WFC Laborde 4,32,2406057065
WFC Laborde 8,32,1796227624
CDS Feldman 4,32,283558009
CDS Feldman 8,32,271319962
CDS Michael,32,301923367
Xenium Michael,32,261183650
CDS SplitOrdered,32,399714564
STL,1,6587258188
TBB,1,4075528115
WFC Laborde 4,1,35782140221
WFC Laborde 8,1,15964677448
CDS Feldman 4,1,4577381509
CDS Feldman 8,1,4133399662
CDS Michael,1,3920754094
Xenium Michael,1,9065762880
CDS SplitOrdered,1,5519384044
STL,4,21517853626
TBB,4,1947005588
WFC Laborde 4,4,13788748613
WFC Laborde 8,4,11624269834
CDS Feldman 4,4,1876054473
CDS Feldman 8,4,1781798895
CDS Michael,4,1688709213
Xenium Michael,4,2514343262
CDS SplitOrdered,4,2746046289
STL,8,31702768469
TBB,8,988243439
WFC Laborde 4,8,8317533703
WFC Laborde 8,8,5388959405
CDS Feldman 4,8,826745012
CDS Feldman 8,8,767424975
CDS Michael,8,763016514
Xenium Michael,8,910046656
CDS SplitOrdered,8,1147549182
STL,16,20286458161
TBB,16,559809514
WFC Laborde 4,16,3856694860
WFC Laborde 8,16,3005464027
CDS Feldman 4,16,404331464
CDS Feldman 8,16,337655888
CDS Michael,16,465495982
Xenium Michael,16,660916455
CDS SplitOrdered,16,749878988
STL,32,17949812788
TBB,32,275397415
WFC Laborde 4,32,2004165367
WFC Laborde 8,32,1755266106
CDS Feldman 4,32,308561505
CDS Feldman 8,32,281705963
CDS Michael,32,302406457
Xenium Michael,32,287595337
CDS SplitOrdered,32,410552703
STL,1,4314065021
TBB,1,4020228716
WFC Laborde 4,1,22292871358
WFC Laborde 8,1,16102001011
CDS Feldman 4,1,4779818222
CDS Feldman 8,1,4346709180
CDS Michael,1,12875709432
Xenium Michael,1,10312829974
CDS SplitOrdered,1,5511683557
STL,4,21148707725
TBB,4,1932640358
WFC Laborde 4,4,13248462605
WFC Laborde 8,4,11612807111
CDS Feldman 4,4,1868518886
CDS Feldman 8,4,1846193254
CDS Michael,4,1678893028
Xenium Michael,4,2742140329
CDS SplitOrdered,4,2676995404
STL,8,19577545405
TBB,8,963224009
WFC Laborde 4,8,6241410045
WFC Laborde 8,8,5475585388
CDS Feldman 4,8,827823268
CDS Feldman 8,8,827564537
CDS Michael,8,710978321
Xenium Michael,8,981567221
CDS SplitOrdered,8,1245772994
STL,16,22612329192
TBB,16,506069493
WFC Laborde 4,16,5199949246
WFC Laborde 8,16,3267424803
CDS Feldman 4,16,405037269
CDS Feldman 8,16,335728854
CDS Michael,16,412797338
Xenium Michael,16,519812012
CDS SplitOrdered,16,740953464
STL,32,14739181138
TBB,32,282913604
WFC Laborde 4,32,1943670587
WFC Laborde 8,32,1582915236
CDS Feldman 4,32,327292981
CDS Feldman 8,32,321283994
CDS Michael,32,253553893
Xenium Michael,32,368258099
CDS SplitOrdered,32,415805717
STL,1,4316700065
TBB,1,4262028491
WFC Laborde 4,1,35645517639
WFC Laborde 8,1,16221547934
CDS Feldman 4,1,4753479073
CDS Feldman 8,1,4341438447
CDS Michael,1,3763149057
Xenium Michael,1,9133415828
CDS SplitOrdered,1,5455992251
STL,4,22331393372
TBB,4,1904927450
WFC Laborde 4,4,12991618361
WFC Laborde 8,4,11665807150
CDS Feldman 4,4,1944583500
CDS Feldman 8,4,1769855130
CDS Michael,4,1619908222
Xenium Michael,4,2488338122
CDS SplitOrdered,4,2876802643
STL,8,30291512643
TBB,8,1003235929
WFC Laborde 4,8,6689395989
WFC Laborde 8,8,5707528977
CDS Feldman 4,8,836011240
CDS Feldman 8,8,851160671
CDS Michael,8,721729498
Xenium Michael,8,886547567
CDS SplitOrdered,8,1250273019
STL,16,24765531994
TBB,16,495134017
WFC Laborde 4,16,3773487410
WFC Laborde 8,16,4876468742
CDS Feldman 4,16,422860719
CDS Feldman 8,16,497528304
CDS Michael,16,360469262
Xenium Michael,16,593511978
CDS SplitOrdered,16,677711878
STL,32,13874952984
TBB,32,261054390
WFC Laborde 4,32,1959490177
WFC Laborde 8,32,2983024700
CDS Feldman 4,32,321855984
CDS Feldman 8,32,272473878
CDS Michael,32,292781896
Xenium Michael,32,358467164
CDS SplitOrdered,32,416594142
STL,1,4130839155
TBB,1,4142114291
WFC Laborde 4,1,35425719476
WFC Laborde 8,1,22586434021
CDS Feldman 4,1,4583692540
CDS Feldman 8,1,14451697087
CDS Michael,1,3750095592
Xenium Michael,1,17102322753
CDS SplitOrdered,1,8101164892
STL,4,27954528439
TBB,4,1841192951
WFC Laborde 4,4,13574866062
WFC Laborde 8,4,11675032357
CDS Feldman 4,4,1941604138
CDS Feldman 8,4,1803522813
CDS Michael,4,1714185966
Xenium Michael,4,2260958553
CDS SplitOrdered,4,2657382004
STL,8,20467900233
TBB,8,917212460
WFC Laborde 4,8,7391817145
WFC Laborde 8,8,5547491928
CDS Feldman 4,8,977359808
CDS Feldman 8,8,815415060
CDS Michael,8,718959913
Xenium Michael,8,828308386
CDS SplitOrdered,8,1300116405
STL,16,23066825420
TBB,16,502802934
WFC Laborde 4,16,4213838990
WFC Laborde 8,16,3242487966
CDS Feldman 4,16,402960226
CDS Feldman 8,16,449504817
CDS Michael,16,340470134
Xenium Michael,16,488642319
CDS SplitOrdered,16,733612296
STL,32,15948292709
TBB,32,298421052
WFC Laborde 4,32,2257934179
WFC Laborde 8,32,1907652531
CDS Feldman 4,32,271202541
CDS Feldman 8,32,232224934
CDS Michael,32,301023435
Xenium Michael,32,283394972
CDS SplitOrdered,32,409781469
STL,1,7116236418
TBB,1,4739288520
WFC Laborde 4,1,37673570406
WFC Laborde 8,1,20210578709
CDS Feldman 4,1,4790853019
CDS Feldman 8,1,6004357578
CDS Michael,1,6947365997
Xenium Michael,1,17738274851
CDS SplitOrdered,1,5608429499
STL,4,20786987728
TBB,4,1923630492
WFC Laborde 4,4,12562384700
WFC Laborde 8,4,11681121732
CDS Feldman 4,4,1837058756
CDS Feldman 8,4,1738349513
CDS Michael,4,1603272567
Xenium Michael,4,1923602465
CDS SplitOrdered,4,2764571487
STL,8,22836560683
TBB,8,936277019
WFC Laborde 4,8,6440997997
WFC Laborde 8,8,5762838233
CDS Feldman 4,8,734455668
CDS Feldman 8,8,714666698
CDS Michael,8,669300613
Xenium Michael,8,827270956
CDS SplitOrdered,8,2417225567
STL,16,23774824147
TBB,16,492334931
WFC Laborde 4,16,4830327531
WFC Laborde 8,16,3134065565
CDS Feldman 4,16,405237572
CDS Feldman 8,16,349220483
CDS Michael,16,571015733
Xenium Michael,16,542065785
CDS SplitOrdered,16,778394309
STL,32,14469187861
TBB,32,292670318
WFC Laborde 4,32,1956175274
WFC Laborde 8,32,2964636380
CDS Feldman 4,32,278524243
CDS Feldman 8,32,248737427
CDS Michael,32,286961987
Xenium Michael,32,305391640
CDS SplitOrdered,32,390016439
STL,1,4290238211
TBB,1,4208389505
WFC Laborde 4,1,35926754696
WFC Laborde 8,1,15903256664
CDS Feldman 4,1,4751532956
CDS Feldman 8,1,4079888073
CDS Michael,1,3904223247
Xenium Michael,1,6598677985
CDS SplitOrdered,1,8510913167
STL,4,25557023924
TBB,4,1940580440
WFC Laborde 4,4,12481632271
WFC Laborde 8,4,12102716789
CDS Feldman 4,4,1849740846
CDS Feldman 8,4,1826053502
CDS Michael,4,1672063353
Xenium Michael,4,2226175424
CDS SplitOrdered,4,2708496905
STL,8,26195828690
TBB,8,926751469
WFC Laborde 4,8,7406978242
WFC Laborde 8,8,5843889312
CDS Feldman 4,8,884151821
CDS Feldman 8,8,752514191
CDS Michael,8,691638373
Xenium Michael,8,867752486
CDS SplitOrdered,8,1150257764
STL,16,22158312675
TBB,16,502193992
WFC Laborde 4,16,3791200681
WFC Laborde 8,16,3223557630
CDS Feldman 4,16,414296444
CDS Feldman 8,16,334918050
CDS Michael,16,586257287
Xenium Michael,16,527249726
CDS SplitOrdered,16,744656652
STL,32,12477298757
TBB,32,300353923
WFC Laborde 4,32,2416353951
WFC Laborde 8,32,2366942998
CDS Feldman 4,32,310285372
CDS Feldman 8,32,229877031
CDS Michael,32,292785293
Xenium Michael,32,317585827
CDS SplitOrdered,32,360784558
STL,1,4152360222
TBB,1,4220732535
WFC Laborde 4,1,25190846052
WFC Laborde 8,1,15881725654
CDS Feldman 4,1,4773432369
CDS Feldman 8,1,4103177660
CDS Michael,1,3708683515
Xenium Michael,1,6937858964
CDS SplitOrdered,1,5674464004
STL,4,25965096482
TBB,4,1733855523
WFC Laborde 4,4,13884681586
WFC Laborde 8,4,13118707261
CDS Feldman 4,4,1860300469
CDS Feldman 8,4,1691153939
CDS Michael,4,1737262840
Xenium Michael,4,2280956167
CDS SplitOrdered,4,2518967658
STL,8,20172391835
TBB,8,923502332
WFC Laborde 4,8,6829639635
WFC Laborde 8,8,5594221968
CDS Feldman 4,8,829968896
CDS Feldman 8,8,729893494
CDS Michael,8,669711751
Xenium Michael,8,944317879
CDS SplitOrdered,8,1258802513
STL,16,22756949111
TBB,16,565364830
WFC Laborde 4,16,5140684377
WFC Laborde 8,16,4920728942
CDS Feldman 4,16,417441598
CDS Feldman 8,16,457562201
CDS Michael,16,473657619
Xenium Michael,16,641886697
CDS SplitOrdered,16,818264203
STL,32,18519678051
TBB,32,275750919
WFC Laborde 4,32,1921871256
WFC Laborde 8,32,1813834912
CDS Feldman 4,32,298384648
CDS Feldman 8,32,267554033
CDS Michael,32,260410412
Xenium Michael,32,289149760
CDS SplitOrdered,32,437660117
STL,1,4516305802
TBB,1,4180558875
WFC Laborde 4,1,35913622353
WFC Laborde 8,1,21487299936
CDS Feldman 4,1,13440690981
CDS Feldman 8,1,4343214466
CDS Michael,1,3738831333
Xenium Michael,1,6421735568
CDS SplitOrdered,1,5440278395
STL,4,17371243708
TBB,4,1921465697
WFC Laborde 4,4,13485636604
WFC Laborde 8,4,11680167665
CDS Feldman 4,4,1878342267
CDS Feldman 8,4,1798954736
CDS Michael,4,1580551353
Xenium Michael,4,2289899844
CDS SplitOrdered,4,2765180268
STL,8,19000537851
TBB,8,846066324
WFC Laborde 4,8,7314121319
WFC Laborde 8,8,5681918421
CDS Feldman 4,8,826610716
CDS Feldman 8,8,765507934
CDS Michael,8,657133198
Xenium Michael,8,1047509899
CDS SplitOrdered,8,1204044809
STL,16,21562005643
TBB,16,501547643
WFC Laborde 4,16,4744160697
WFC Laborde 8,16,3099012534
CDS Feldman 4,16,400755226
CDS Feldman 8,16,367362171
CDS Michael,16,419227035
Xenium Michael,16,525569439
CDS SplitOrdered,16,654581638
STL,32,12746756820
TBB,32,344125461
WFC Laborde 4,32,1838980122
WFC Laborde 8,32,2454607966
CDS Feldman 4,32,321055149
CDS Feldman 8,32,318514612
CDS Michael,32,284035883
Xenium Michael,32,276477512
CDS SplitOrdered,32,381782738
STL,1,6556598628
TBB,1,4314999022
WFC Laborde 4,1,24216259053
WFC Laborde 8,1,15992609586
CDS Feldman 4,1,4515754944
CDS Feldman 8,1,4103393076
CDS Michael,1,4199493802
Xenium Michael,1,6389091458
CDS SplitOrdered,1,5670052658
STL,4,26172518170
TBB,4,1810452009
WFC Laborde 4,4,12889522226
WFC Laborde 8,4,12696256966
CDS Feldman 4,4,1935121193
CDS Feldman 8,4,1830739976
CDS Michael,4,1719101403
Xenium Michael,4,2231296794
CDS SplitOrdered,4,2796837608
STL,8,34571256788
TBB,8,999081078
WFC Laborde 4,8,8978924951
WFC Laborde 8,8,6537809424
CDS Feldman 4,8,924542210
CDS Feldman 8,8,721664566
