Structure,Threads,Elapsed Time
STL,1,7478740277
TBB,1,8146935733
WFC Laborde 4,1,35066629552
WFC Laborde 8,1,28992162435
CDS Feldman 4,1,14103564570
CDS Feldman 8,1,14314387514
CDS Michael,1,10067196700
Xenium Michael,1,8676192691
CDS SplitOrdered,1,9304780439
STL,4,43958489713
TBB,4,2666108261
WFC Laborde 4,4,10057357929
WFC Laborde 8,4,12457810392
CDS Feldman 4,4,3552916714
CDS Feldman 8,4,3330419556
CDS Michael,4,2492581758
Xenium Michael,4,2854681800
CDS SplitOrdered,4,3332087663
STL,8,23845959765
TBB,8,1137448736
WFC Laborde 4,8,4917604530
WFC Laborde 8,8,4239190654
CDS Feldman 4,8,1598805708
CDS Feldman 8,8,1485330653
CDS Michael,8,1219664782
Xenium Michael,8,1439318436
CDS SplitOrdered,8,1487793051
STL,16,26977975588
TBB,16,650019366
WFC Laborde 4,16,2788270725
WFC Laborde 8,16,2177730681
CDS Feldman 4,16,930319741
CDS Feldman 8,16,630470140
CDS Michael,16,673605554
Xenium Michael,16,662356856
CDS SplitOrdered,16,798768537
STL,32,22538390925
TBB,32,347966389
WFC Laborde 4,32,1407034329
WFC Laborde 8,32,1238302536
CDS Feldman 4,32,381609830
CDS Feldman 8,32,399378838
CDS Michael,32,359681600
Xenium Michael,32,390810587
CDS SplitOrdered,32,460712074
STL,1,12665989042
TBB,1,7599806242
WFC Laborde 4,1,23096972525
WFC Laborde 8,1,19318922423
CDS Feldman 4,1,10081622302
CDS Feldman 8,1,12493728362
CDS Michael,1,7401364764
Xenium Michael,1,20269048651
CDS SplitOrdered,1,9677245443
STL,4,25740623018
TBB,4,2654741812
WFC Laborde 4,4,10271036719
WFC Laborde 8,4,9406688418
CDS Feldman 4,4,3134918981
CDS Feldman 8,4,3024245538
CDS Michael,4,2427968890
Xenium Michael,4,3095312218
CDS SplitOrdered,4,3167954068
STL,8,38540293254
TBB,8,1134482799
WFC Laborde 4,8,5019510900
WFC Laborde 8,8,3976642380
CDS Feldman 4,8,1425979223
CDS Feldman 8,8,1338362141
CDS Michael,8,1102794759
Xenium Michael,8,997322183
CDS SplitOrdered,8,1482056772
STL,16,29889942451
TBB,16,622004406
WFC Laborde 4,16,2917605130
WFC Laborde 8,16,2249100536
CDS Feldman 4,16,762028640
CDS Feldman 8,16,852523778
CDS Michael,16,653020777
Xenium Michael,16,757622365
CDS SplitOrdered,16,790096753
STL,32,22405307914
TBB,32,355253195
WFC Laborde 4,32,1550408442
WFC Laborde 8,32,1389281276
CDS Feldman 4,32,890184560
CDS Feldman 8,32,384699183
CDS Michael,32,357446502
Xenium Michael,32,290638324
CDS SplitOrdered,32,445895550
STL,1,18893187863
TBB,1,7487892766
WFC Laborde 4,1,34313902156
WFC Laborde 8,1,16684706951
CDS Feldman 4,1,10396177709
CDS Feldman 8,1,13652059451
CDS Michael,1,7387531758
Xenium Michael,1,8708057451
CDS SplitOrdered,1,9534243304
STL,4,40059498166
TBB,4,2739015935
WFC Laborde 4,4,9994070989
WFC Laborde 8,4,8036191732
CDS Feldman 4,4,2918275942
CDS Feldman 8,4,3340866235
CDS Michael,4,2276371601
Xenium Michael,4,4836592500
CDS SplitOrdered,4,3025560962
STL,8,24386364013
TBB,8,1143352580
WFC Laborde 4,8,4397553742
WFC Laborde 8,8,4287761316
CDS Feldman 4,8,1464060120
CDS Feldman 8,8,1513830007
CDS Michael,8,1046027977
Xenium Michael,8,1257861404
CDS SplitOrdered,8,1424318319
STL,16,29661959925
TBB,16,701965094
WFC Laborde 4,16,3502732439
WFC Laborde 8,16,1906394439
CDS Feldman 4,16,766756700
CDS Feldman 8,16,675747886
CDS Michael,16,698008193
Xenium Michael,16,510179453
CDS SplitOrdered,16,867280505
STL,32,20916272877
TBB,32,401684171
WFC Laborde 4,32,1644517484
WFC Laborde 8,32,1371441286
CDS Feldman 4,32,489842620
CDS Feldman 8,32,495554327
CDS Michael,32,396987936
Xenium Michael,32,342812813
CDS SplitOrdered,32,402055664
STL,1,11530736612
TBB,1,7635078242
WFC Laborde 4,1,22934162581
WFC Laborde 8,1,19330385391
CDS Feldman 4,1,14474573214
CDS Feldman 8,1,14139163845
CDS Michael,1,11845607676
Xenium Michael,1,13870870790
CDS SplitOrdered,1,12706188217
STL,4,40769833032
TBB,4,2717837128
WFC Laborde 4,4,10570555177
WFC Laborde 8,4,9859700667
CDS Feldman 4,4,3657987531
CDS Feldman 8,4,2978329101
CDS Michael,4,2724817326
Xenium Michael,4,3166054143
CDS SplitOrdered,4,3301209372
STL,8,23930451125
TBB,8,1124743825
WFC Laborde 4,8,5397732076
WFC Laborde 8,8,4230035822
CDS Feldman 4,8,1486750891
CDS Feldman 8,8,1627139890
CDS Michael,8,1155178419
Xenium Michael,8,1172221208
CDS SplitOrdered,8,1810702017
STL,16,26813932429
TBB,16,641255295
WFC Laborde 4,16,2700008972
WFC Laborde 8,16,2236420690
CDS Feldman 4,16,754966122
CDS Feldman 8,16,743090938
CDS Michael,16,577256748
Xenium Michael,16,636772305
CDS SplitOrdered,16,928734746
STL,32,22565609204
TBB,32,344820752
WFC Laborde 4,32,1469498205
WFC Laborde 8,32,1387419765
CDS Feldman 4,32,518303025
CDS Feldman 8,32,950769738
CDS Michael,32,362433453
Xenium Michael,32,383018606
CDS SplitOrdered,32,502843741
STL,1,8048483675
TBB,1,8219280898
WFC Laborde 4,1,24889678436
WFC Laborde 8,1,20047123670
CDS Feldman 4,1,13066294632
CDS Feldman 8,1,14019981312
CDS Michael,1,7405366010
Xenium Michael,1,11373945818
CDS SplitOrdered,1,9342497585
STL,4,25869589628
TBB,4,2516359374
WFC Laborde 4,4,10316335478
WFC Laborde 8,4,9834398457
CDS Feldman 4,4,2940511175
CDS Feldman 8,4,2863711958
CDS Michael,4,2347059715
Xenium Michael,4,2939461189
CDS SplitOrdered,4,3447581916
STL,8,26210037312
TBB,8,1339447580
WFC Laborde 4,8,4621823088
WFC Laborde 8,8,4277928029
CDS Feldman 4,8,1525288476
CDS Feldman 8,8,1425663190
CDS Michael,8,1045892991
Xenium Michael,8,1087668888
CDS SplitOrdered,8,1792464183
STL,16,25202030580
TBB,16,680662591
WFC Laborde 4,16,2553859439
WFC Laborde 8,16,2455244220
CDS Feldman 4,16,703335531
CDS Feldman 8,16,752287891
CDS Michael,16,541320255
Xenium Michael,16,651231136
CDS SplitOrdered,16,802209447
STL,32,22557738096
TBB,32,341036424
WFC Laborde 4,32,1487404268
WFC Laborde 8,32,1579458065
CDS Feldman 4,32,390142273
CDS Feldman 8,32,396743020
CDS Michael,32,398430110
Xenium Michael,32,373170093
CDS SplitOrdered,32,467857348
STL,1,12119697270
TBB,1,8208958859
WFC Laborde 4,1,34561579245
WFC Laborde 8,1,19084715786
CDS Feldman 4,1,10406071848
CDS Feldman 8,1,11995809044
CDS Michael,1,11412714448
Xenium Michael,1,20861699640
CDS SplitOrdered,1,9575883556
STL,4,31006991693
TBB,4,2284349272
WFC Laborde 4,4,10688747455
WFC Laborde 8,4,9350614256
CDS Feldman 4,4,3186279482
CDS Feldman 8,4,2748440778
CDS Michael,4,2337812512
Xenium Michael,4,4939375279
CDS SplitOrdered,4,3497934327
STL,8,24615195178
TBB,8,1448397496
WFC Laborde 4,8,11544173212
WFC Laborde 8,8,3966488437
CDS Feldman 4,8,1600224931
CDS Feldman 8,8,3714171510
CDS Michael,8,1209396505
Xenium Michael,8,1291724640
CDS SplitOrdered,8,1536807196
STL,16,30474100137
TBB,16,673545352
WFC Laborde 4,16,2578914851
WFC Laborde 8,16,2133092621
CDS Feldman 4,16,851607272
CDS Feldman 8,16,673676142
CDS Michael,16,631159966
Xenium Michael,16,688218455
CDS SplitOrdered,16,742102962
STL,32,24459760266
TBB,32,335751852
WFC Laborde 4,32,1555368041
WFC Laborde 8,32,1340009140
CDS Feldman 4,32,393972437
CDS Feldman 8,32,479374606
CDS Michael,32,348807610
Xenium Michael,32,343954501
CDS SplitOrdered,32,422461960
STL,1,7952765344
TBB,1,7631610756
WFC Laborde 4,1,24889728964
WFC Laborde 8,1,18991609312
CDS Feldman 4,1,14255098502
CDS Feldman 8,1,9599355811
CDS Michael,1,7344124302
Xenium Michael,1,8738286143
CDS SplitOrdered,1,15306528148
STL,4,28324674195
TBB,4,2618498031
WFC Laborde 4,4,11518854488
WFC Laborde 8,4,9374668593
CDS Feldman 4,4,2900436688
CDS Feldman 8,4,2975690751
CDS Michael,4,2380639875
Xenium Michael,4,5284193427
CDS SplitOrdered,4,3123914047
STL,8,36392195273
TBB,8,1161949263
WFC Laborde 4,8,4321404120
WFC Laborde 8,8,4541816041
CDS Feldman 4,8,1450154973
CDS Feldman 8,8,1571986286
CDS Michael,8,1191258626
Xenium Michael,8,1091311627
CDS SplitOrdered,8,1544437404
STL,16,30511640336
TBB,16,626308205
WFC Laborde 4,16,2560806784
WFC Laborde 8,16,2164060450
CDS Feldman 4,16,933794896
CDS Feldman 8,16,651981449
CDS Michael,16,519074304
Xenium Michael,16,506628803
CDS SplitOrdered,16,893021004
STL,32,19085435606
TBB,32,349331209
WFC Laborde 4,32,1507578146
WFC Laborde 8,32,1348030904
CDS Feldman 4,32,453361341
CDS Feldman 8,32,356198063
CDS Michael,32,334206860
Xenium Michael,32,299336152
CDS SplitOrdered,32,526228619
STL,1,12151080591
TBB,1,17659949238
WFC Laborde 4,1,19169876680
WFC Laborde 8,1,18626060560
CDS Feldman 4,1,12956866105
CDS Feldman 8,1,12779283933
CDS Michael,1,11227367792
Xenium Michael,1,8682032168
CDS SplitOrdered,1,15166299133
STL,4,43277718665
TBB,4,2633994881
WFC Laborde 4,4,12974581419
WFC Laborde 8,4,8486932136
CDS Feldman 4,4,3439795050
CDS Feldman 8,4,2948027131
CDS Michael,4,2388850043
Xenium Michael,4,2873074861
CDS SplitOrdered,4,3369620516
STL,8,21331602327
TBB,8,1276278413
WFC Laborde 4,8,4652608345
WFC Laborde 8,8,3912407419
CDS Feldman 4,8,1398423596
CDS Feldman 8,8,1442767647
CDS Michael,8,1222394190
Xenium Michael,8,1189877927
CDS SplitOrdered,8,1462003986
STL,16,37407232841
TBB,16,616487118
WFC Laborde 8,16,2288652757
CDS Feldman 4,16,813279075
CDS Feldman 8,16,744573927
CDS Michael,16,681064166
Xenium Michael,16,749122537
CDS SplitOrdered,16,949337484
STL,32,22197449724
TBB,32,318572999
WFC Laborde 4,32,1507502162
CDS Feldman 4,32,561298254
CDS Feldman 8,32,375074478
CDS Michael,32,376071539
Xenium Michael,32,315258921
CDS SplitOrdered,32,513087125
STL,1,11597480391
TBB,1,7650471485
WFC Laborde 4,1,20135039692
WFC Laborde 8,1,18799968458
CDS Feldman 4,1,14479182271
CDS Feldman 8,1,13947287644
CDS Michael,1,11094202780
Xenium Michael,1,20588432111
CDS SplitOrdered,1,12783618558
STL,4,18241851717
TBB,4,2715503386
WFC Laborde 4,4,10011280370
WFC Laborde 8,4,9724687531
CDS Feldman 4,4,3028871683
CDS Feldman 8,4,2840940444
CDS Michael,4,2316959133
Xenium Michael,4,2393900926
CDS SplitOrdered,4,3215125964
STL,8,23870036815
TBB,8,1169607407
WFC Laborde 4,8,4885063428
WFC Laborde 8,8,4247993681
CDS Feldman 4,8,1400663141
CDS Feldman 8,8,1381358554
CDS Michael,8,1212640963
Xenium Michael,8,1275358040
CDS SplitOrdered,8,1669775784
STL,16,27620325003
TBB,16,638823899
WFC Laborde 4,16,2406723619
WFC Laborde 8,16,2438249815
CDS Feldman 4,16,842070484
CDS Feldman 8,16,760118424
CDS Michael,16,580437073
Xenium Michael,16,777267119
CDS SplitOrdered,16,914780319
STL,32,24179503075
TBB,32,335708099
WFC Laborde 4,32,1712805825
WFC Laborde 8,32,1217736902
CDS Feldman 4,32,544260337
CDS Feldman 8,32,453264013
CDS Michael,32,320430627
Xenium Michael,32,385659297
CDS SplitOrdered,32,500745113
STL,1,7801222250
TBB,1,8216949422
WFC Laborde 4,1,25263315648
WFC Laborde 8,1,16778482757
CDS Feldman 4,1,13515624634
CDS Feldman 8,1,11740754123
CDS Michael,1,7519502786
Xenium Michael,1,8677368149
CDS SplitOrdered,1,9269184904
STL,4,35460472431
TBB,4,2632303048
WFC Laborde 4,4,11652102567
WFC Laborde 8,4,9799757616
CDS Feldman 4,4,3173636568
CDS Feldman 8,4,2878668576
CDS Michael,4,2433751333
Xenium Michael,4,2951607078
CDS SplitOrdered,4,3200524837
STL,8,34189623854
TBB,8,1295630333
WFC Laborde 4,8,4495769827
