Structure,Threads,Elapsed Time
STL,1,11018903482
TBB,1,8756792597
WFC Laborde 4,1,13194023639
WFC Laborde 8,1,9880170700
CDS Feldman 4,1,19890551103
CDS Feldman 8,1,12993713382
CDS Michael,1,8564309246
Xenium Michael,1,13127799152
CDS SplitOrdered,1,14519434514
STL,4,52116699704
TBB,4,2900067577
WFC Laborde 4,4,5940466793
WFC Laborde 8,4,6185882106
CDS Feldman 4,4,3982301198
CDS Feldman 8,4,4344781308
CDS Michael,4,3228345073
Xenium Michael,4,3008200187
CDS SplitOrdered,4,3817309097
STL,8,44394221043
TBB,8,1606231034
WFC Laborde 4,8,2554735724
WFC Laborde 8,8,2453914175
CDS Feldman 4,8,2094977387
CDS Feldman 8,8,1783044771
CDS Michael,8,1316292396
Xenium Michael,8,1733135101
CDS SplitOrdered,8,1911851797
STL,16,36930942337
TBB,16,715654836
WFC Laborde 4,16,1808323049
WFC Laborde 8,16,1173559093
CDS Feldman 4,16,1136672160
CDS Feldman 8,16,1016655746
CDS Michael,16,759300173
Xenium Michael,16,826359959
CDS SplitOrdered,16,1063259978
STL,32,28030889061
TBB,32,414307997
WFC Laborde 4,32,918217281
WFC Laborde 8,32,1122501929
CDS Feldman 4,32,768305755
CDS Feldman 8,32,560708357
CDS Michael,32,373437281
Xenium Michael,32,361381198
CDS SplitOrdered,32,588850842
STL,1,12494171077
TBB,1,8720744118
WFC Laborde 4,1,19538532808
WFC Laborde 8,1,9891939122
CDS Feldman 4,1,13842768759
CDS Feldman 8,1,16973747487
CDS Michael,1,8504655476
Xenium Michael,1,12958843284
CDS SplitOrdered,1,15468978717
STL,4,29019188039
TBB,4,2914766445
WFC Laborde 4,4,9735819998
WFC Laborde 8,4,5574036529
CDS Feldman 4,4,5083676240
CDS Feldman 8,4,3779502856
CDS Michael,4,3019889142
Xenium Michael,4,3037844102
CDS SplitOrdered,4,3812232485
STL,8,24607623092
TBB,8,1334321760
WFC Laborde 4,8,2976677353
WFC Laborde 8,8,2317923380
CDS Feldman 4,8,2093166150
CDS Feldman 8,8,1719714368
CDS Michael,8,1344941215
Xenium Michael,8,1278360239
CDS SplitOrdered,8,2024073823
STL,16,35360949851
TBB,16,776108189
WFC Laborde 4,16,1627210971
