Structure,Threads,Elapsed Time
STL,1,2335974871
TBB,1,2680734010
WFC Laborde 4,1,6502343703
WFC Laborde 8,1,5823027150
CDS Feldman 4,1,2272858575
CDS Feldman 8,1,2253554154
CDS Michael,1,2464594816
Xenium Michael,1,2951095875
CDS SplitOrdered,1,3681033355
STL,4,11021134903
TBB,4,1662663438
WFC Laborde 4,4,4704910116
WFC Laborde 8,4,3968221432
CDS Feldman 4,4,957075568
CDS Feldman 8,4,1170675409
CDS Michael,4,1244321380
Xenium Michael,4,1321348709
CDS SplitOrdered,4,1857712247
STL,8,9032849619
TBB,8,679196033
WFC Laborde 4,8,2447821738
WFC Laborde 8,8,2024963548
CDS Feldman 4,8,461225816
CDS Feldman 8,8,405936118
CDS Michael,8,457395921
Xenium Michael,8,651074421
CDS SplitOrdered,8,859485239
STL,16,6197057453
TBB,16,424140818
WFC Laborde 4,16,1575793767
WFC Laborde 8,16,1476838808
CDS Feldman 4,16,375784752
CDS Feldman 8,16,219807043
CDS Michael,16,311907763
Xenium Michael,16,303461530
CDS SplitOrdered,16,344539980
STL,32,7020689426
TBB,32,255060996
WFC Laborde 4,32,1136056520
WFC Laborde 8,32,1254240888
CDS Feldman 4,32,166606942
CDS Feldman 8,32,156190641
CDS Michael,32,166284670
Xenium Michael,32,232391784
CDS SplitOrdered,32,273740270
STL,1,2330320210
TBB,1,2891031250
WFC Laborde 4,1,6268428226
WFC Laborde 8,1,4587626832
CDS Feldman 4,1,2478416619
CDS Feldman 8,1,2470633295
CDS Michael,1,2161403371
Xenium Michael,1,3121662609
CDS SplitOrdered,1,3860665444
STL,4,10194113241
TBB,4,1463508463
WFC Laborde 4,4,4677435722
WFC Laborde 8,4,4057978252
CDS Feldman 4,4,1120794734
CDS Feldman 8,4,1420461330
CDS Michael,4,1221200345
Xenium Michael,4,1313226112
CDS SplitOrdered,4,1917102149
STL,8,8230786183
TBB,8,775251982
WFC Laborde 4,8,2451081241
WFC Laborde 8,8,1680934751
CDS Feldman 4,8,458982842
CDS Feldman 8,8,480865310
CDS Michael,8,484521229
Xenium Michael,8,587127732
CDS SplitOrdered,8,900886888
STL,16,6748547336
TBB,16,460696617
WFC Laborde 4,16,1556993468
WFC Laborde 8,16,1197126754
CDS Feldman 4,16,256114349
CDS Feldman 8,16,315653163
CDS Michael,16,251208652
Xenium Michael,16,277046744
CDS SplitOrdered,16,603943265
STL,32,5963359693
TBB,32,263991820
WFC Laborde 4,32,1208562631
WFC Laborde 8,32,1157471708
CDS Feldman 4,32,160898178
CDS Feldman 8,32,160874850
CDS Michael,32,164052124
Xenium Michael,32,182061650
CDS SplitOrdered,32,312075171
STL,1,2237180495
TBB,1,2907414716
WFC Laborde 4,1,6544512017
WFC Laborde 8,1,5617174077
CDS Feldman 4,1,2475843095
CDS Feldman 8,1,2313514764
CDS Michael,1,2315008340
Xenium Michael,1,3118309647
CDS SplitOrdered,1,3870267524
STL,4,9525764789
TBB,4,1590906205
WFC Laborde 4,4,4842964691
WFC Laborde 8,4,4071782154
CDS Feldman 4,4,1152607869
CDS Feldman 8,4,1330682352
CDS Michael,4,1205527145
Xenium Michael,4,1325069900
CDS SplitOrdered,4,1941933888
STL,8,10228922793
TBB,8,767945149
WFC Laborde 4,8,2604845191
WFC Laborde 8,8,1717969978
CDS Feldman 4,8,497207528
CDS Feldman 8,8,465082036
CDS Michael,8,427924260
Xenium Michael,8,569266834
CDS SplitOrdered,8,965184515
STL,16,6245630988
TBB,16,493626178
WFC Laborde 4,16,1321046804
WFC Laborde 8,16,1148073848
CDS Feldman 4,16,291914953
CDS Feldman 8,16,359546270
CDS Michael,16,320767726
Xenium Michael,16,326286128
CDS SplitOrdered,16,539529548
STL,32,5765922936
TBB,32,261539680
WFC Laborde 4,32,1305701150
WFC Laborde 8,32,1148918988
CDS Feldman 4,32,158856201
CDS Feldman 8,32,184638920
