Structure,Threads,Elapsed Time
STL,1,2531690646
TBB,1,3235823288
WFC Laborde 4,1,6470720848
WFC Laborde 8,1,4934227254
CDS Feldman 4,1,2805981428
CDS Feldman 8,1,2789245804
CDS Michael,1,2446809113
Xenium Michael,1,4086378526
CDS SplitOrdered,1,4153881950
STL,4,10979905301
TBB,4,1613352112
WFC Laborde 4,4,4778410977
WFC Laborde 8,4,3917830370
CDS Feldman 4,4,1249243719
CDS Feldman 8,4,1477367455
CDS Michael,4,1240384513
Xenium Michael,4,1465907695
CDS SplitOrdered,4,1881518316
STL,8,10818370595
TBB,8,715860459
WFC Laborde 4,8,2428123025
WFC Laborde 8,8,1758758925
CDS Feldman 4,8,512022720
CDS Feldman 8,8,436450630
CDS Michael,8,529443528
Xenium Michael,8,650550108
CDS SplitOrdered,8,824470283
STL,16,8299710185
TBB,16,488455477
WFC Laborde 4,16,1566191486
WFC Laborde 8,16,751549693
CDS Feldman 4,16,294543873
CDS Feldman 8,16,237740762
CDS Michael,16,277221053
Xenium Michael,16,314286738
CDS SplitOrdered,16,625170133
STL,32,6704085268
TBB,32,296012109
WFC Laborde 4,32,1249423812
WFC Laborde 8,32,1229859233
CDS Feldman 4,32,167204797
CDS Feldman 8,32,161091156
CDS Michael,32,200022604
Xenium Michael,32,166855129
CDS SplitOrdered,32,315774257
STL,1,2542492970
TBB,1,3216011141
WFC Laborde 4,1,6606251398
WFC Laborde 8,1,4938573436
CDS Feldman 4,1,2897229382
CDS Feldman 8,1,2782772494
CDS Michael,1,2400325740
Xenium Michael,1,3079544671
CDS SplitOrdered,1,3924211561
STL,4,11619060283
TBB,4,1703347567
WFC Laborde 4,4,4806906576
WFC Laborde 8,4,4206942392
CDS Feldman 4,4,1294763382
CDS Feldman 8,4,1369975102
CDS Michael,4,1338799085
Xenium Michael,4,1354981256
CDS SplitOrdered,4,2073795587
STL,8,9068445393
TBB,8,861888768
WFC Laborde 4,8,2336792935
WFC Laborde 8,8,1955417044
CDS Feldman 4,8,536890493
CDS Feldman 8,8,498595919
CDS Michael,8,497511458
Xenium Michael,8,568629601
CDS SplitOrdered,8,994226834
STL,16,6579810993
TBB,16,438004550
WFC Laborde 4,16,1734975977
WFC Laborde 8,16,1536497319
CDS Feldman 4,16,281194043
CDS Feldman 8,16,241467487
CDS Michael,16,368030962
Xenium Michael,16,336792769
CDS SplitOrdered,16,514293895
STL,32,6972366063
TBB,32,272858365
WFC Laborde 4,32,1212965903
WFC Laborde 8,32,1130852822
CDS Feldman 4,32,170238187
CDS Feldman 8,32,177603478
CDS Michael,32,204599319
Xenium Michael,32,177697247
CDS SplitOrdered,32,297357025
STL,1,2835910560
TBB,1,3012017575
WFC Laborde 4,1,6459837879
WFC Laborde 8,1,4958210448
CDS Feldman 4,1,2803581157
CDS Feldman 8,1,2608808464
CDS Michael,1,2601346025
Xenium Michael,1,3119189857
CDS SplitOrdered,1,3974912709
STL,4,11210805050
TBB,4,1657274078
WFC Laborde 4,4,4757124720
WFC Laborde 8,4,3946484002
CDS Feldman 4,4,1293331388
CDS Feldman 8,4,1568320673
CDS Michael,4,1312764392
Xenium Michael,4,1369548432
CDS SplitOrdered,4,2000210750
STL,8,8915676079
TBB,8,756518258
WFC Laborde 4,8,2571991826
WFC Laborde 8,8,1754996247
CDS Feldman 4,8,591728316
CDS Feldman 8,8,514609655
CDS Michael,8,559073522
Xenium Michael,8,713842993
CDS SplitOrdered,8,1165544279
STL,16,6474326330
TBB,16,422723840
WFC Laborde 4,16,1832040054
WFC Laborde 8,16,1274870069
CDS Feldman 4,16,291129794
CDS Feldman 8,16,297051356
CDS Michael,16,277594289
Xenium Michael,16,347198095
CDS SplitOrdered,16,626008142
STL,32,6977938185
TBB,32,237381861
WFC Laborde 4,32,1236827475
WFC Laborde 8,32,1162679179
CDS Feldman 4,32,163100389
CDS Feldman 8,32,190559334
CDS Michael,32,166814993
Xenium Michael,32,180951942
CDS SplitOrdered,32,302188699
STL,1,3925118463
TBB,1,3253358052
WFC Laborde 4,1,7790604391
WFC Laborde 8,1,4701252573
CDS Feldman 4,1,2794069096
CDS Feldman 8,1,2794642571
CDS Michael,1,2418322627
Xenium Michael,1,3081734459
CDS SplitOrdered,1,3955774915
STL,4,9906149223
TBB,4,1621135578
WFC Laborde 4,4,4867365495
WFC Laborde 8,4,3911307472
CDS Feldman 4,4,1095452981
CDS Feldman 8,4,1551313195
CDS Michael,4,1179908776
Xenium Michael,4,1485345841
CDS SplitOrdered,4,2082212347
STL,8,9638843641
TBB,8,882297436
WFC Laborde 4,8,2747999744
