Structure,Threads,Elapsed Time
STL,1,2761245623
TBB,1,3355690586
WFC Laborde 4,1,6391949120
WFC Laborde 8,1,4737025030
CDS Feldman 4,1,2850643581
CDS Feldman 8,1,2833471156
CDS Michael,1,2476418125
Xenium Michael,1,3226113727
CDS SplitOrdered,1,4149321139
STL,4,13440771545
TBB,4,1756857493
WFC Laborde 4,4,4953426186
WFC Laborde 8,4,4077328806
CDS Feldman 4,4,1181616333
CDS Feldman 8,4,1489777320
CDS Michael,4,1180908091
Xenium Michael,4,1376974444
CDS SplitOrdered,4,1978906038
STL,8,8752499282
TBB,8,745575846
WFC Laborde 4,8,2457618108
WFC Laborde 8,8,1968817433
CDS Feldman 4,8,539600417
CDS Feldman 8,8,509125180
CDS Michael,8,491778211
Xenium Michael,8,502704310
CDS SplitOrdered,8,842849733
STL,16,7776463634
TBB,16,464145877
WFC Laborde 4,16,1417240927
WFC Laborde 8,16,1301957888
CDS Feldman 4,16,305233860
CDS Feldman 8,16,296101121
CDS Michael,16,339382238
Xenium Michael,16,318545574
CDS SplitOrdered,16,584726111
STL,32,8417185278
TBB,32,274981043
WFC Laborde 4,32,1296904138
WFC Laborde 8,32,1180520611
CDS Feldman 4,32,197637580
CDS Feldman 8,32,182511019
CDS Michael,32,175297609
Xenium Michael,32,178254016
CDS SplitOrdered,32,352758962
STL,1,2749565739
TBB,1,3349787748
WFC Laborde 4,1,6409585648
WFC Laborde 8,1,4914601678
CDS Feldman 4,1,2683799888
CDS Feldman 8,1,2663960858
CDS Michael,1,2474032889
Xenium Michael,1,3217065048
CDS SplitOrdered,1,3936925451
STL,4,13004568871
TBB,4,1812966808
WFC Laborde 4,4,4849399366
WFC Laborde 8,4,4005602293
CDS Feldman 4,4,1320818864
CDS Feldman 8,4,1577337516
CDS Michael,4,1339616881
Xenium Michael,4,1349608023
CDS SplitOrdered,4,1985715957
STL,8,10197263350
TBB,8,734728839
WFC Laborde 4,8,2457508787
WFC Laborde 8,8,1683898920
CDS Feldman 4,8,507340747
CDS Feldman 8,8,460790272
CDS Michael,8,462988982
Xenium Michael,8,670958071
CDS SplitOrdered,8,954678877
STL,16,8766081879
TBB,16,434035233
WFC Laborde 4,16,1263463066
WFC Laborde 8,16,1246153501
CDS Feldman 4,16,296999233
CDS Feldman 8,16,276159507
CDS Michael,16,258798295
Xenium Michael,16,239475023
CDS SplitOrdered,16,525382185
STL,32,8185236365
TBB,32,286514504
WFC Laborde 4,32,1229535106
WFC Laborde 8,32,995915216
CDS Feldman 4,32,173574386
CDS Feldman 8,32,169140542
CDS Michael,32,198716790
Xenium Michael,32,174712774
CDS SplitOrdered,32,354122592
STL,1,2751598449
TBB,1,3233392505
WFC Laborde 4,1,6595452199
WFC Laborde 8,1,4943972361
CDS Feldman 4,1,2873190695
CDS Feldman 8,1,2845086483
CDS Michael,1,2645716658
Xenium Michael,1,2999740686
CDS SplitOrdered,1,5686155770
STL,4,11349106406
TBB,4,1719509122
WFC Laborde 4,4,4955103861
WFC Laborde 8,4,4093686710
