Structure,Threads,Elapsed Time
STL,1,912331494
TBB,1,1303034393
WFC Laborde 4,1,4314006243
WFC Laborde 8,1,3875875315
CDS Feldman 4,1,1512215790
CDS Feldman 8,1,1265469330
Xenium Michael,1,2241164446
CDS Michael,1,1036165715
CDS SplitOrdered,1,1456522004
STL,4,6357910686
TBB,4,926247839
WFC Laborde 4,4,3831229194
WFC Laborde 8,4,3516441246
CDS Feldman 4,4,692636091
CDS Feldman 8,4,519726576
Xenium Michael,4,1442223424
CDS Michael,4,490113580
CDS SplitOrdered,4,683047033
STL,8,8129027706
TBB,8,289775001
WFC Laborde 4,8,2278143946
WFC Laborde 8,8,1949038082
CDS Feldman 4,8,240526586
CDS Feldman 8,8,232671428
Xenium Michael,8,650889960
CDS Michael,8,268662911
CDS SplitOrdered,8,513250165
STL,16,6782739292
TBB,16,254107545
WFC Laborde 4,16,1593631509
CDS Feldman 4,16,323965459
CDS Feldman 8,16,466176921
Xenium Michael,16,298907356
CDS Michael,16,302872626
CDS SplitOrdered,16,370354626
STL,32,7735464951
TBB,32,226360714
CDS Feldman 4,32,299989768
CDS Feldman 8,32,303970699
Xenium Michael,32,238765055
CDS Michael,32,500887071
CDS SplitOrdered,32,515558243
STL,1,871259208
TBB,1,1281070300
WFC Laborde 4,1,4274780768
WFC Laborde 8,1,3939409927
CDS Feldman 4,1,1509373678
CDS Feldman 8,1,1436187715
Xenium Michael,1,2243967640
CDS Michael,1,986506488
CDS SplitOrdered,1,1433870125
STL,4,6610596627
TBB,4,755984933
WFC Laborde 4,4,4285447851
CDS Feldman 4,4,582659204
CDS Feldman 8,4,601069027
Xenium Michael,4,1216542462
CDS Michael,4,641773943
CDS SplitOrdered,4,741194964
STL,8,8691632990
TBB,8,369329304
CDS Feldman 4,8,258643190
CDS Feldman 8,8,258619247
Xenium Michael,8,672540315
CDS Michael,8,213611348
CDS SplitOrdered,8,576416365
STL,16,7083384129
TBB,16,294041762
CDS Feldman 4,16,232769498
CDS Feldman 8,16,331592882
Xenium Michael,16,261972941
CDS Michael,16,404499386
CDS SplitOrdered,16,449462638
STL,32,7453216180
TBB,32,218960933
CDS Feldman 4,32,321006587
CDS Feldman 8,32,465571856
Xenium Michael,32,247176889
CDS Michael,32,382705977
CDS SplitOrdered,32,466805500
STL,1,912836583
TBB,1,1284126453
WFC Laborde 4,1,4290683970
WFC Laborde 8,1,3915269302
CDS Feldman 4,1,1501427265
CDS Feldman 8,1,1443408386
Xenium Michael,1,2233263920
CDS Michael,1,983436279
CDS SplitOrdered,1,1431984983
STL,4,5719202909
TBB,4,969558273
WFC Laborde 4,4,3859010600
WFC Laborde 8,4,3358110778
CDS Feldman 4,4,650875049
CDS Feldman 8,4,753971899
Xenium Michael,4,1209090047
CDS Michael,4,707784436
CDS SplitOrdered,4,830235420
STL,8,7521701187
TBB,8,318137688
WFC Laborde 4,8,2547889669
CDS Feldman 4,8,682411952
CDS Feldman 8,8,240066211
Xenium Michael,8,818451279
CDS Michael,8,241953562
CDS SplitOrdered,8,667681544
STL,16,7656150440
TBB,16,233591887
CDS Feldman 4,16,326164582
CDS Feldman 8,16,238057998
Xenium Michael,16,449738433
CDS Michael,16,399271237
CDS SplitOrdered,16,456195994
STL,32,8426611335
TBB,32,212742875
CDS Feldman 4,32,361601440
CDS Feldman 8,32,389692647
Xenium Michael,32,328146668
CDS Michael,32,444818907
CDS SplitOrdered,32,461336774
STL,1,899193074
TBB,1,1285731219
WFC Laborde 4,1,4303560599
WFC Laborde 8,1,3911698143
CDS Feldman 4,1,1507860501
CDS Feldman 8,1,1271243714
Xenium Michael,1,2250921860
CDS Michael,1,1037509340
CDS SplitOrdered,1,1429434813
STL,4,8197856623
TBB,4,1001398893
WFC Laborde 8,4,3599252051
CDS Feldman 4,4,693112503
CDS Feldman 8,4,777245376
Xenium Michael,4,1428952255
CDS Michael,4,653753236
CDS SplitOrdered,4,1008957191
STL,8,6837642143
TBB,8,302513037
CDS Feldman 4,8,402394946
CDS Feldman 8,8,242303440
Xenium Michael,8,685853528
CDS Michael,8,408768673
CDS SplitOrdered,8,381054522
STL,16,6997304910
TBB,16,165260055
CDS Feldman 4,16,220624188
CDS Feldman 8,16,146400673
Xenium Michael,16,302668996
CDS Michael,16,205932679
CDS SplitOrdered,16,430009515
STL,32,7651367434
TBB,32,217532918
CDS Feldman 4,32,339240758
CDS Feldman 8,32,275253214
Xenium Michael,32,261886293
CDS Michael,32,453805468
CDS SplitOrdered,32,474131293
STL,1,873289734
TBB,1,1283843646
WFC Laborde 4,1,4291172612
WFC Laborde 8,1,3889478733
CDS Feldman 4,1,1510408269
CDS Feldman 8,1,1430978668
Xenium Michael,1,2241696633
CDS Michael,1,981248882
CDS SplitOrdered,1,1433753910
STL,4,6858324327
TBB,4,667336526
WFC Laborde 8,4,3416072683
CDS Feldman 4,4,505193344
CDS Feldman 8,4,476091735
Xenium Michael,4,1147376000
CDS Michael,4,498274644
CDS SplitOrdered,4,771172215
STL,8,8945319426
TBB,8,272617181
CDS Feldman 4,8,234630169
CDS Feldman 8,8,525810400
Xenium Michael,8,692600042
CDS Michael,8,295257138
CDS SplitOrdered,8,405767054
STL,16,7944493361
TBB,16,231953259
CDS Feldman 4,16,262147986
CDS Feldman 8,16,253167228
Xenium Michael,16,329966389
CDS Michael,16,401957112
CDS SplitOrdered,16,403795437
STL,32,7242271216
TBB,32,237602154
CDS Feldman 4,32,341801954
CDS Feldman 8,32,382492317
Xenium Michael,32,260394844
CDS Michael,32,387444918
CDS SplitOrdered,32,466028299
STL,1,894410388
TBB,1,1285385303
WFC Laborde 4,1,4287590351
WFC Laborde 8,1,3913425574
CDS Feldman 4,1,1499773359
CDS Feldman 8,1,1433853993
Xenium Michael,1,2240833709
CDS Michael,1,972156131
CDS SplitOrdered,1,1432343533
STL,4,7871247930
TBB,4,940185787
CDS Feldman 4,4,777791068
CDS Feldman 8,4,431839774
Xenium Michael,4,1176461980
CDS Michael,4,652261725
CDS SplitOrdered,4,1110098821
STL,8,7835056198
TBB,8,286389618
CDS Feldman 4,8,346398787
CDS Feldman 8,8,254773729
Xenium Michael,8,468401998
CDS Michael,8,210236090
CDS SplitOrdered,8,528704638
STL,16,6002588228
TBB,16,235638194
CDS Feldman 4,16,336740037
CDS Feldman 8,16,294273266
Xenium Michael,16,300791130
CDS Michael,16,212945482
CDS SplitOrdered,16,466534979
STL,32,7291242373
TBB,32,220548126
CDS Feldman 4,32,290164940
CDS Feldman 8,32,474457442
Xenium Michael,32,256386572
CDS Michael,32,401724795
CDS SplitOrdered,32,471119343
STL,1,928451386
TBB,1,1286040633
WFC Laborde 4,1,4287751147
WFC Laborde 8,1,3899083920
CDS Feldman 4,1,1512612154
CDS Feldman 8,1,1434018469
Xenium Michael,1,2246740791
CDS Michael,1,978153818
CDS SplitOrdered,1,1431204274
STL,4,7916681402
TBB,4,1084802252
WFC Laborde 4,4,3892549345
WFC Laborde 8,4,3506797080
CDS Feldman 4,4,834338314
CDS Feldman 8,4,644837842
Xenium Michael,4,1238181545
CDS Michael,4,415909275
CDS SplitOrdered,4,1107963782
STL,8,7804875442
TBB,8,258117239
WFC Laborde 4,8,2627442498
WFC Laborde 8,8,1811590555
CDS Feldman 4,8,253919519
CDS Feldman 8,8,244276673
Xenium Michael,8,413988431
CDS Michael,8,220664785
CDS SplitOrdered,8,715622516
STL,16,6369699311
TBB,16,223429156
CDS Feldman 4,16,300608245
CDS Feldman 8,16,445818434
Xenium Michael,16,273568378
CDS Michael,16,321288707
CDS SplitOrdered,16,265445788
STL,32,7612352488
TBB,32,226689357
CDS Feldman 4,32,326813374
CDS Feldman 8,32,421994538
Xenium Michael,32,284716723
CDS Michael,32,326497789
CDS SplitOrdered,32,340805481
STL,1,891984375
TBB,1,1287568028
WFC Laborde 4,1,4307239761
WFC Laborde 8,1,3879165072
CDS Feldman 4,1,1501611901
CDS Feldman 8,1,1437792276
Xenium Michael,1,2239327580
CDS Michael,1,981403603
CDS SplitOrdered,1,1428542722
STL,4,8085923043
TBB,4,1152665921
WFC Laborde 8,4,3402683589
CDS Feldman 4,4,644515307
CDS Feldman 8,4,731131523
Xenium Michael,4,1151327239
CDS Michael,4,539551189
CDS SplitOrdered,4,1213121496
STL,8,7430809195
TBB,8,317042525
WFC Laborde 4,8,2371070498
CDS Feldman 4,8,443906665
CDS Feldman 8,8,223376680
Xenium Michael,8,457262891
CDS Michael,8,219553441
CDS SplitOrdered,8,676656606
STL,16,7184812206
TBB,16,258898726
CDS Feldman 4,16,315970380
CDS Feldman 8,16,235975305
Xenium Michael,16,485374356
CDS Michael,16,256384386
CDS SplitOrdered,16,546022209
STL,32,6990529624
TBB,32,231830806
CDS Feldman 4,32,309800835
CDS Feldman 8,32,338008026
Xenium Michael,32,244514488
CDS Michael,32,297046508
CDS SplitOrdered,32,373899839
STL,1,909652279
TBB,1,1282616788
WFC Laborde 4,1,4291833856
WFC Laborde 8,1,3891238599
CDS Feldman 4,1,1507929972
CDS Feldman 8,1,1440576827
Xenium Michael,1,2239556331
CDS Michael,1,975861704
CDS SplitOrdered,1,1427939137
STL,4,6445634081
TBB,4,733363780
WFC Laborde 4,4,3873543332
CDS Feldman 4,4,520192581
CDS Feldman 8,4,564617637
Xenium Michael,4,1179781724
CDS Michael,4,385183434
CDS SplitOrdered,4,921134162
STL,8,7767352918
TBB,8,265292860
CDS Feldman 4,8,341573687
CDS Feldman 8,8,243251614
Xenium Michael,8,640567332
CDS Michael,8,310428810
CDS SplitOrdered,8,292551488
STL,16,7094142133
TBB,16,263371013
CDS Feldman 4,16,199450329
CDS Feldman 8,16,266596019
Xenium Michael,16,296409481
CDS Michael,16,212133141
CDS SplitOrdered,16,434003609
STL,32,7648246448
TBB,32,238630978
CDS Feldman 4,32,296715964
CDS Feldman 8,32,301779490
Xenium Michael,32,236175030
CDS Michael,32,304614130
CDS SplitOrdered,32,374935144
STL,1,856737892
TBB,1,1291879009
WFC Laborde 4,1,4293616666
WFC Laborde 8,1,3912253300
CDS Feldman 4,1,1510744829
CDS Feldman 8,1,1274329842
Xenium Michael,1,2240881845
CDS Michael,1,1040469379
CDS SplitOrdered,1,1435214484
STL,4,7498813864
TBB,4,1253342579
WFC Laborde 4,4,3876970398
CDS Feldman 4,4,808709724
CDS Feldman 8,4,674506190
Xenium Michael,4,1227499551
CDS Michael,4,475663908
CDS SplitOrdered,4,831256479
STL,8,7802595048
TBB,8,394899950
WFC Laborde 4,8,2506678849
CDS Feldman 4,8,279051000
