Structure,Threads,Elapsed Time
STL,1,2307492305
TBB,1,2831644839
WFC Laborde 4,1,4334861423
WFC Laborde 8,1,4274959700
CDS Feldman 4,1,4401350777
CDS Feldman 8,1,4318504663
Xenium Michael,1,3325367638
CDS Michael,1,3029492074
CDS SplitOrdered,1,3556219825
STL,4,13852899475
TBB,4,1855433061
CDS Feldman 4,4,2590770157
CDS Feldman 8,4,2338091171
Xenium Michael,4,2595851283
CDS Michael,4,1979314416
CDS SplitOrdered,4,2263711629
STL,8,17268814743
TBB,8,901957799
CDS Feldman 4,8,1556346274
CDS Feldman 8,8,1328799339
Xenium Michael,8,1182647945
CDS Michael,8,1374801541
CDS SplitOrdered,8,1274305317
STL,16,16116633384
TBB,16,396253537
CDS Feldman 4,16,1350643314
CDS Feldman 8,16,952209994
Xenium Michael,16,589230081
CDS Michael,16,878111014
CDS SplitOrdered,16,806918767
STL,32,17976502573
TBB,32,387040643
CDS Feldman 4,32,949214067
CDS Feldman 8,32,769856316
Xenium Michael,32,413319474
CDS Michael,32,816772288
CDS SplitOrdered,32,1067667920
STL,1,2039314150
TBB,1,2575614389
WFC Laborde 4,1,4319065881
WFC Laborde 8,1,4257199048
CDS Feldman 4,1,4449585379
CDS Feldman 8,1,4273001345
Xenium Michael,1,3297959930
CDS Michael,1,3015972408
CDS SplitOrdered,1,3542108068
STL,4,14789988120
TBB,4,1969041421
CDS Feldman 4,4,2382326816
CDS Feldman 8,4,2491175239
Xenium Michael,4,2528630002
CDS Michael,4,2031626607
CDS SplitOrdered,4,2358763701
STL,8,17620684594
TBB,8,765229069
CDS Feldman 4,8,1248506867
CDS Feldman 8,8,1573154109
Xenium Michael,8,1162723873
CDS Michael,8,1329708084
CDS SplitOrdered,8,1281874076
STL,16,16678285569
TBB,16,486188749
CDS Feldman 4,16,886064039
CDS Feldman 8,16,842384454
Xenium Michael,16,713534569
CDS Michael,16,965634989
CDS SplitOrdered,16,1044334187
STL,32,17392926821
TBB,32,360268578
CDS Feldman 4,32,898202725
CDS Feldman 8,32,1035784820
Xenium Michael,32,530246951
CDS Michael,32,953560415
CDS SplitOrdered,32,1039800136
STL,1,2258769689
TBB,1,2558969661
WFC Laborde 4,1,4386224846
WFC Laborde 8,1,4001303180
CDS Feldman 4,1,4379167575
CDS Feldman 8,1,4389542748
Xenium Michael,1,3486687495
CDS Michael,1,3026820278
CDS SplitOrdered,1,3545172920
STL,4,12650954529
TBB,4,1829443615
WFC Laborde 4,4,4882092799
CDS Feldman 4,4,2178985296
CDS Feldman 8,4,2282112508
Xenium Michael,4,1786319257
CDS Michael,4,2000018932
CDS SplitOrdered,4,2316839618
STL,8,16470438044
TBB,8,769230990
CDS Feldman 4,8,1447436188
CDS Feldman 8,8,1320770395
Xenium Michael,8,1109057486
CDS Michael,8,1287920422
CDS SplitOrdered,8,1295390893
STL,16,17330795532
TBB,16,521599485
CDS Feldman 4,16,873057588
CDS Feldman 8,16,950358452
Xenium Michael,16,829265101
CDS Michael,16,805675218
CDS SplitOrdered,16,1023911943
STL,32,16876504757
TBB,32,317725859
CDS Feldman 4,32,834238446
CDS Feldman 8,32,812480642
Xenium Michael,32,494262985
CDS Michael,32,1027491120
CDS SplitOrdered,32,897328163
STL,1,2258179106
TBB,1,2577603143
WFC Laborde 4,1,4606875124
WFC Laborde 8,1,4282296300
CDS Feldman 4,1,4330793690
CDS Feldman 8,1,4301310217
Xenium Michael,1,3481474034
CDS Michael,1,2757677722
CDS SplitOrdered,1,3286099299
STL,4,13150354881
TBB,4,1790135332
CDS Feldman 4,4,2504580973
CDS Feldman 8,4,2312785890
Xenium Michael,4,2396259710
CDS Michael,4,2199637328
CDS SplitOrdered,4,2384120532
STL,8,18158017515
TBB,8,890322965
CDS Feldman 4,8,1332665513
CDS Feldman 8,8,1328789984
Xenium Michael,8,1155676173
CDS Michael,8,1228745461
CDS SplitOrdered,8,1379794789
STL,16,16462561831
TBB,16,547433599
CDS Feldman 4,16,911722528
CDS Feldman 8,16,999863750
Xenium Michael,16,627163352
CDS Michael,16,940746235
CDS SplitOrdered,16,935181666
STL,32,16672404289
TBB,32,473211028
CDS Feldman 4,32,777879824
CDS Feldman 8,32,841165328
Xenium Michael,32,405515171
CDS Michael,32,925393189
CDS SplitOrdered,32,949934935
STL,1,2260548996
TBB,1,2585736004
WFC Laborde 4,1,4582391096
WFC Laborde 8,1,4256693747
CDS Feldman 4,1,4372597570
CDS Feldman 8,1,4293398688
Xenium Michael,1,3471983873
CDS Michael,1,3359108597
CDS SplitOrdered,1,3294493244
STL,4,15055208753
TBB,4,1692706197
CDS Feldman 4,4,2241482504
CDS Feldman 8,4,2341765393
Xenium Michael,4,2216775314
CDS Michael,4,2267953186
CDS SplitOrdered,4,2224014973
STL,8,18336722511
TBB,8,825640505
CDS Feldman 4,8,1435357474
CDS Feldman 8,8,1341938410
Xenium Michael,8,1268868401
CDS Michael,8,1334402074
CDS SplitOrdered,8,1276965382
STL,16,15964684012
TBB,16,527099444
CDS Feldman 4,16,857742713
CDS Feldman 8,16,899998303
Xenium Michael,16,641298556
CDS Michael,16,975589861
CDS SplitOrdered,16,1065517466
STL,32,17177268355
TBB,32,459951461
CDS Feldman 4,32,766649471
CDS Feldman 8,32,806827877
Xenium Michael,32,506309423
CDS Michael,32,1008421608
CDS SplitOrdered,32,807175648
STL,1,2257944536
TBB,1,2550307451
WFC Laborde 4,1,4312560693
WFC Laborde 8,1,4091288701
CDS Feldman 4,1,4380738385
CDS Feldman 8,1,4327345410
Xenium Michael,1,3470146916
CDS Michael,1,3036325801
CDS SplitOrdered,1,3552976256
STL,4,13362634161
TBB,4,1907708424
CDS Feldman 4,4,2423643962
CDS Feldman 8,4,2110260539
Xenium Michael,4,2200641361
CDS Michael,4,2016579880
CDS SplitOrdered,4,2217114019
STL,8,17162501691
TBB,8,918366542
CDS Feldman 4,8,1280618369
CDS Feldman 8,8,1313153221
Xenium Michael,8,1162818813
CDS Michael,8,1423192199
CDS SplitOrdered,8,1407863575
STL,16,15867508533
TBB,16,508149655
CDS Feldman 4,16,918665166
CDS Feldman 8,16,895868645
Xenium Michael,16,623560843
CDS Michael,16,856131380
CDS SplitOrdered,16,1085605103
STL,32,16456244668
TBB,32,391193705
CDS Feldman 4,32,793878186
CDS Feldman 8,32,934328251
Xenium Michael,32,496821334
CDS Michael,32,1042495016
CDS SplitOrdered,32,840890680
STL,1,2261144915
TBB,1,2594778741
WFC Laborde 4,1,4590967958
WFC Laborde 8,1,4249721979
CDS Feldman 4,1,4297716791
CDS Feldman 8,1,4497971630
Xenium Michael,1,3303337786
CDS Michael,1,3025645477
CDS SplitOrdered,1,3550437399
STL,4,13235209271
TBB,4,1778501579
CDS Feldman 4,4,2360491878
CDS Feldman 8,4,2424769799
Xenium Michael,4,2086187868
CDS Michael,4,2112325388
CDS SplitOrdered,4,2344446834
STL,8,17612283472
TBB,8,837083944
CDS Feldman 4,8,1350261116
CDS Feldman 8,8,1361362181
Xenium Michael,8,1264875071
CDS Michael,8,1254079259
CDS SplitOrdered,8,1539338433
STL,16,16623865752
TBB,16,487096528
CDS Feldman 4,16,838498086
CDS Feldman 8,16,976102583
Xenium Michael,16,717502349
CDS Michael,16,890710996
CDS SplitOrdered,16,892439823
STL,32,17541968283
TBB,32,474673379
CDS Feldman 4,32,845711972
CDS Feldman 8,32,868479121
Xenium Michael,32,425035339
CDS Michael,32,1082308378
CDS SplitOrdered,32,943101006
STL,1,2034875133
TBB,1,2557652089
WFC Laborde 4,1,4327546453
WFC Laborde 8,1,4102541854
CDS Feldman 4,1,4310374983
CDS Feldman 8,1,4583159747
Xenium Michael,1,3269259602
CDS Michael,1,3025830415
CDS SplitOrdered,1,3543389138
STL,4,11839829993
TBB,4,1843881745
