Structure,Threads,Elapsed Time
STL,1,3084560420
TBB,1,3988884455
WFC Laborde 4,1,2579171172
WFC Laborde 8,1,2567055544
CDS Feldman 4,1,7863881571
CDS Feldman 8,1,7794412831
Xenium Michael,1,4403109587
CDS Michael,1,4465086504
CDS SplitOrdered,1,5115034052
STL,4,16057225824
TBB,4,2218124531
CDS Feldman 4,4,2740717008
CDS Feldman 8,4,2867539612
Xenium Michael,4,1913610232
CDS Michael,4,2121950205
CDS SplitOrdered,4,2181464032
STL,8,18284183754
TBB,8,1242838864
CDS Feldman 4,8,1414539297
CDS Feldman 8,8,1643322729
Xenium Michael,8,1281954829
CDS Michael,8,1400857896
CDS SplitOrdered,8,1359691255
STL,16,18839027222
TBB,16,692484489
CDS Feldman 4,16,1010428672
CDS Feldman 8,16,1055445637
Xenium Michael,16,765923822
CDS Michael,16,890318816
CDS SplitOrdered,16,949350095
STL,32,20018722549
TBB,32,496942281
CDS Feldman 4,32,1578502967
CDS Feldman 8,32,1408324182
Xenium Michael,32,588966578
CDS Michael,32,810889601
CDS SplitOrdered,32,1138207422
STL,1,3068604255
TBB,1,3982269198
WFC Laborde 4,1,2502439207
WFC Laborde 8,1,2311861206
CDS Feldman 4,1,7670672654
CDS Feldman 8,1,7538896159
Xenium Michael,1,4323780926
CDS Michael,1,4373082275
CDS SplitOrdered,1,5292226668
STL,4,16285273300
TBB,4,2321296284
WFC Laborde 4,4,3568296439
CDS Feldman 4,4,2910457473
CDS Feldman 8,4,2924416785
Xenium Michael,4,2136554289
CDS Michael,4,2173802909
CDS SplitOrdered,4,2463331781
STL,8,18924514624
TBB,8,1116573143
CDS Feldman 4,8,1704508760
CDS Feldman 8,8,1615715966
Xenium Michael,8,1172109717
CDS Michael,8,1297472873
CDS SplitOrdered,8,1447847564
STL,16,17891414453
TBB,16,642617301
CDS Feldman 4,16,984667550
CDS Feldman 8,16,1004507352
Xenium Michael,16,650354838
CDS Michael,16,938338111
CDS SplitOrdered,16,811579133
STL,32,20028593373
TBB,32,394125542
CDS Feldman 4,32,883833074
CDS Feldman 8,32,907702479
Xenium Michael,32,394930235
CDS Michael,32,752879608
CDS SplitOrdered,32,840292644
STL,1,3072366021
TBB,1,3957160638
WFC Laborde 4,1,2495042477
WFC Laborde 8,1,2294542644
CDS Feldman 4,1,7718065972
CDS Feldman 8,1,7417601539
Xenium Michael,1,4398814040
CDS Michael,1,4441977518
CDS SplitOrdered,1,5105633184
STL,4,13763974098
TBB,4,2182103971
CDS Feldman 4,4,2857266481
CDS Feldman 8,4,4144893525
Xenium Michael,4,2290398536
CDS Michael,4,2106410160
CDS SplitOrdered,4,2279402955
STL,8,18614948365
TBB,8,1058113012
CDS Feldman 4,8,1616140466
CDS Feldman 8,8,1620214697
Xenium Michael,8,1147106430
CDS Michael,8,1330059343
CDS SplitOrdered,8,1360021252
STL,16,18356806495
TBB,16,690698682
CDS Feldman 4,16,1201645652
CDS Feldman 8,16,1180264421
Xenium Michael,16,867232777
CDS Michael,16,825783232
CDS SplitOrdered,16,955217765
STL,32,19177014037
TBB,32,499240720
CDS Feldman 4,32,806906410
CDS Feldman 8,32,1681417331
Xenium Michael,32,649418546
CDS Michael,32,904207520
CDS SplitOrdered,32,741036625
STL,1,3655658906
TBB,1,4217896217
WFC Laborde 4,1,2491108400
WFC Laborde 8,1,2318270575
CDS Feldman 4,1,7514750241
CDS Feldman 8,1,7575809285
Xenium Michael,1,4264371072
CDS Michael,1,4658284765
CDS SplitOrdered,1,5038545388
STL,4,15182411260
TBB,4,2152860216
WFC Laborde 8,4,3397284321
CDS Feldman 4,4,2709992172
CDS Feldman 8,4,2907737036
Xenium Michael,4,2042223236
CDS Michael,4,2344183639
CDS SplitOrdered,4,2433124397
STL,8,18052650228
TBB,8,1030728035
CDS Feldman 4,8,1591349144
CDS Feldman 8,8,1541777557
Xenium Michael,8,1423309911
CDS Michael,8,1433967010
CDS SplitOrdered,8,1441337929
STL,16,18197567652
TBB,16,821141964
CDS Feldman 4,16,990899873
CDS Feldman 8,16,1049380613
Xenium Michael,16,700640369
CDS Michael,16,938907856
CDS SplitOrdered,16,847658910
STL,32,20096478316
TBB,32,470991437
CDS Feldman 4,32,810103990
CDS Feldman 8,32,1328763907
Xenium Michael,32,407166378
CDS Michael,32,783659534
CDS SplitOrdered,32,974008489
STL,1,3092321952
TBB,1,4217667023
WFC Laborde 4,1,2589412357
WFC Laborde 8,1,2292487788
CDS Feldman 4,1,7855496159
CDS Feldman 8,1,7788333172
Xenium Michael,1,4253067999
CDS Michael,1,4651741372
CDS SplitOrdered,1,5100815725
STL,4,16002186517
TBB,4,1942108230
CDS Feldman 4,4,2875535913
CDS Feldman 8,4,2896835404
Xenium Michael,4,2139110426
CDS Michael,4,2221012623
CDS SplitOrdered,4,2414302604
STL,8,18056814445
TBB,8,1025712751
CDS Feldman 4,8,1697924339
CDS Feldman 8,8,2001332032
Xenium Michael,8,1194527609
CDS Michael,8,1399920697
CDS SplitOrdered,8,1307675235
STL,16,19021804486
TBB,16,621152182
CDS Feldman 4,16,1021328536
CDS Feldman 8,16,1062697376
Xenium Michael,16,722804980
CDS Michael,16,815776970
CDS SplitOrdered,16,962966145
STL,32,19861258786
TBB,32,392612635
CDS Feldman 4,32,816499740
CDS Feldman 8,32,1010070377
Xenium Michael,32,443033963
CDS Michael,32,890461231
CDS SplitOrdered,32,805636456
STL,1,3347431052
TBB,1,3937943395
WFC Laborde 4,1,2487877243
WFC Laborde 8,1,2287408070
CDS Feldman 4,1,7858552136
CDS Feldman 8,1,7443935722
Xenium Michael,1,4276924676
CDS Michael,1,4477786434
CDS SplitOrdered,1,5279346895
STL,4,13593253945
TBB,4,2125816025
CDS Feldman 4,4,2881740553
CDS Feldman 8,4,3078403598
Xenium Michael,4,1943960628
CDS Michael,4,2056841063
CDS SplitOrdered,4,2316295254
STL,8,17493789327
TBB,8,1160879679
CDS Feldman 4,8,1675693153
CDS Feldman 8,8,1623291640
Xenium Michael,8,1246336101
CDS Michael,8,1356783181
CDS SplitOrdered,8,1361987235
STL,16,18721272147
TBB,16,826165653
CDS Feldman 4,16,1041388415
CDS Feldman 8,16,956291454
Xenium Michael,16,694018643
CDS Michael,16,932718458
CDS SplitOrdered,16,885405806
STL,32,19818307030
TBB,32,464165814
CDS Feldman 4,32,869754320
CDS Feldman 8,32,830574331
Xenium Michael,32,483964564
CDS Michael,32,854366162
CDS SplitOrdered,32,925557156
STL,1,3074357660
TBB,1,3970061592
WFC Laborde 4,1,2503282698
WFC Laborde 8,1,2291817504
CDS Feldman 4,1,7697301769
CDS Feldman 8,1,7386339742
Xenium Michael,1,4238822077
CDS Michael,1,4648948021
CDS SplitOrdered,1,5100956814
STL,4,14156119794
TBB,4,2166523305
CDS Feldman 4,4,2803812915
CDS Feldman 8,4,3003746605
Xenium Michael,4,2044871244
CDS Michael,4,2121844210
CDS SplitOrdered,4,2221140238
STL,8,19320566285
TBB,8,939692378
CDS Feldman 4,8,1724444394
CDS Feldman 8,8,1699152062
Xenium Michael,8,1162267815
CDS Michael,8,1312475223
CDS SplitOrdered,8,1348698527
STL,16,17697984072
TBB,16,624918546
CDS Feldman 4,16,1190135175
CDS Feldman 8,16,1098208440
Xenium Michael,16,700773555
CDS Michael,16,960943569
CDS SplitOrdered,16,989940960
STL,32,19962368743
TBB,32,521507718
CDS Feldman 4,32,842378480
CDS Feldman 8,32,780024190
Xenium Michael,32,394155006
CDS Michael,32,688438984
CDS SplitOrdered,32,931997742
STL,1,3072403237
TBB,1,3991654087
WFC Laborde 4,1,2544488813
WFC Laborde 8,1,2389453482
CDS Feldman 4,1,7586722129
CDS Feldman 8,1,7477777174
Xenium Michael,1,4361814014
CDS Michael,1,4380315305
CDS SplitOrdered,1,5406019129
STL,4,14497015243
TBB,4,2187658497
CDS Feldman 4,4,2821135899
CDS Feldman 8,4,2976579015
Xenium Michael,4,2281087836
CDS Michael,4,1984026763
CDS SplitOrdered,4,2255191922
STL,8,18725251702
TBB,8,1135273606
CDS Feldman 4,8,1912579191
CDS Feldman 8,8,1595257266
Xenium Michael,8,1296628561
CDS Michael,8,1369190164
CDS SplitOrdered,8,1298852833
STL,16,18687602352
TBB,16,623025571
CDS Feldman 4,16,998792038
CDS Feldman 8,16,1013129294
Xenium Michael,16,758252671
CDS Michael,16,933792103
CDS SplitOrdered,16,838289293
STL,32,20466759105
TBB,32,396624606
CDS Feldman 4,32,933384747
CDS Feldman 8,32,996104797
Xenium Michael,32,446581162
CDS Michael,32,911545301
CDS SplitOrdered,32,865565434
STL,1,3343825288
TBB,1,3946583447
WFC Laborde 4,1,2495644791
WFC Laborde 8,1,2295231841
CDS Feldman 4,1,7857198729
CDS Feldman 8,1,7607151688
Xenium Michael,1,4520778709
CDS Michael,1,4644670774
CDS SplitOrdered,1,5024998571
STL,4,15481218642
TBB,4,2253948618
WFC Laborde 4,4,4018706392
CDS Feldman 4,4,2862093077
CDS Feldman 8,4,2840624807
Xenium Michael,4,2102059937
CDS Michael,4,2190608208
CDS SplitOrdered,4,2389393833
STL,8,18922032332
TBB,8,1263547188
CDS Feldman 4,8,1423387871
CDS Feldman 8,8,1608859140
Xenium Michael,8,1292481976
CDS Michael,8,1233873088
CDS SplitOrdered,8,1527874767
STL,16,19128658457
TBB,16,654324063
CDS Feldman 4,16,1013662249
CDS Feldman 8,16,1167822182
Xenium Michael,16,675850764
CDS Michael,16,947005876
CDS SplitOrdered,16,943547967
STL,32,20069563000
TBB,32,499104870
CDS Feldman 4,32,861359705
CDS Feldman 8,32,897899630
Xenium Michael,32,406157445
CDS Michael,32,829400859
CDS SplitOrdered,32,885782428
STL,1,3351613033
TBB,1,3952705576
WFC Laborde 4,1,2511083234
WFC Laborde 8,1,2296671804
CDS Feldman 4,1,7857580997
CDS Feldman 8,1,7655414572
Xenium Michael,1,4530682792
CDS Michael,1,4466076599
CDS SplitOrdered,1,5132122987
STL,4,14750732030
TBB,4,2217141250
CDS Feldman 4,4,2991311573
CDS Feldman 8,4,3097658538
Xenium Michael,4,2120910823
CDS Michael,4,2197914144
CDS SplitOrdered,4,2479968351
STL,8,18981620818
TBB,8,1085148388
CDS Feldman 4,8,1608796338
CDS Feldman 8,8,1604261701
Xenium Michael,8,1140959398
CDS Michael,8,1259337091
CDS SplitOrdered,8,1403695578
STL,16,18905216325
TBB,16,881927110
CDS Feldman 4,16,1146573848
CDS Feldman 8,16,1069246729
Xenium Michael,16,711248337
CDS Michael,16,901554516
CDS SplitOrdered,16,979868236
STL,32,19941293058
TBB,32,408502870
CDS Feldman 4,32,1302817540
CDS Feldman 8,32,888378328
Xenium Michael,32,386548204
CDS Michael,32,810249673
CDS SplitOrdered,32,864387627
