Structure,Threads,Elapsed Time
STL,1,996741963
TBB,1,1093902076
WFC Laborde 4,1,2075477588
WFC Laborde 8,1,1891289245
CDS Feldman 4,1,1061242864
CDS Feldman 8,1,1017070077
Xenium Michael,1,1831437488
CDS Michael,1,1007374273
CDS SplitOrdered,1,1449254025
STL,4,6284169016
TBB,4,844675794
WFC Laborde 4,4,3665285698
WFC Laborde 8,4,2587901300
CDS Feldman 4,4,281814330
CDS Feldman 8,4,474809851
Xenium Michael,4,1004445060
CDS Michael,4,231129228
CDS SplitOrdered,4,1205658130
STL,8,6848125432
TBB,8,229243692
WFC Laborde 4,8,2534002084
WFC Laborde 8,8,1380267143
CDS Feldman 4,8,158750867
CDS Feldman 8,8,187199979
Xenium Michael,8,322394780
CDS Michael,8,402221167
CDS SplitOrdered,8,299426767
STL,16,5460190447
TBB,16,237059926
WFC Laborde 4,16,1636470277
WFC Laborde 8,16,938280618
CDS Feldman 4,16,280011759
CDS Feldman 8,16,150936806
Xenium Michael,16,271287999
CDS Michael,16,213869645
CDS SplitOrdered,16,180362881
STL,32,5728830078
TBB,32,202316083
WFC Laborde 8,32,1206903247
CDS Feldman 4,32,285535642
CDS Feldman 8,32,203001156
Xenium Michael,32,192831420
CDS Michael,32,271094806
CDS SplitOrdered,32,317994642
STL,1,820660370
TBB,1,821773597
WFC Laborde 4,1,2074658290
WFC Laborde 8,1,1886942200
CDS Feldman 4,1,793308687
CDS Feldman 8,1,742893226
Xenium Michael,1,1830186397
CDS Michael,1,749833685
CDS SplitOrdered,1,1449327019
STL,4,6885007500
TBB,4,876447180
WFC Laborde 4,4,3459327345
WFC Laborde 8,4,1954814889
CDS Feldman 4,4,458488788
CDS Feldman 8,4,236146014
Xenium Michael,4,1233098159
CDS Michael,4,813088100
CDS SplitOrdered,4,749711861
STL,8,6406142213
TBB,8,307911176
WFC Laborde 4,8,1540447932
WFC Laborde 8,8,1027584051
CDS Feldman 4,8,168456907
CDS Feldman 8,8,184330202
Xenium Michael,8,515731205
CDS Michael,8,173235926
CDS SplitOrdered,8,690976776
STL,16,6144861800
TBB,16,158808937
WFC Laborde 4,16,1327846748
WFC Laborde 8,16,1079831441
CDS Feldman 4,16,109483253
CDS Feldman 8,16,161093491
