Structure,Threads,Elapsed Time
STL,1,1122584924
TBB,1,1015544329
WFC Laborde 4,1,1895384091
WFC Laborde 8,1,1808536655
CDS Feldman 4,1,1217264263
CDS Feldman 8,1,944112527
Xenium Michael,1,1761169311
CDS Michael,1,1018631453
CDS SplitOrdered,1,1652768858
STL,4,8934019328
TBB,4,1191601571
WFC Laborde 4,4,4149697984
WFC Laborde 8,4,2489202582
CDS Feldman 4,4,504875033
CDS Feldman 8,4,869136999
Xenium Michael,4,1071359041
CDS Michael,4,573966042
CDS SplitOrdered,4,882631952
STL,8,12089022577
TBB,8,498114127
WFC Laborde 4,8,2544746389
WFC Laborde 8,8,1511778506
CDS Feldman 4,8,180752579
CDS Feldman 8,8,425868620
Xenium Michael,8,515542500
CDS Michael,8,475504639
CDS SplitOrdered,8,550409017
STL,16,11514278105
TBB,16,436813480
WFC Laborde 4,16,1970133604
CDS Feldman 4,16,567333437
CDS Feldman 8,16,313788029
Xenium Michael,16,199762324
CDS Michael,16,850059988
CDS SplitOrdered,16,532962811
STL,32,11964671467
TBB,32,307412590
CDS Feldman 4,32,525857256
CDS Feldman 8,32,271339070
Xenium Michael,32,261331327
CDS Michael,32,528302217
CDS SplitOrdered,32,432771352
STL,1,1122357799
TBB,1,1019106448
WFC Laborde 4,1,1891441482
WFC Laborde 8,1,1807972964
CDS Feldman 4,1,1212936033
CDS Feldman 8,1,947598162
Xenium Michael,1,1782895755
CDS Michael,1,1195016629
CDS SplitOrdered,1,1479576322
STL,4,8945608998
TBB,4,1158134141
WFC Laborde 4,4,3982867726
WFC Laborde 8,4,3161092584
CDS Feldman 4,4,690191979
CDS Feldman 8,4,955043658
Xenium Michael,4,1106071556
CDS Michael,4,518208819
CDS SplitOrdered,4,1422566045
STL,8,10866196094
TBB,8,363143079
CDS Feldman 4,8,783853531
CDS Feldman 8,8,189132108
Xenium Michael,8,762454347
CDS Michael,8,253220281
CDS SplitOrdered,8,551907483
STL,16,11701579558
TBB,16,351385700
CDS Feldman 4,16,480221756
CDS Feldman 8,16,245840117
Xenium Michael,16,342574617
CDS Michael,16,426477683
CDS SplitOrdered,16,721374929
STL,32,11183755140
TBB,32,332218961
CDS Feldman 4,32,543977979
CDS Feldman 8,32,264620580
Xenium Michael,32,234284829
