Structure,Threads,Elapsed Time
STL,1,967590861
TBB,1,1324243707
WFC Laborde 4,1,2080318234
WFC Laborde 8,1,1917954722
CDS Feldman 4,1,1187781908
CDS Feldman 8,1,984373906
Xenium Michael,1,1953017784
CDS Michael,1,1160368037
CDS SplitOrdered,1,1402839313
STL,4,9174734895
TBB,4,1237994574
WFC Laborde 4,4,3776345034
WFC Laborde 8,4,3179390314
CDS Feldman 4,4,383069753
CDS Feldman 8,4,935365095
Xenium Michael,4,1023765078
CDS Michael,4,673311609
CDS SplitOrdered,4,831286587
STL,8,9119776002
TBB,8,451299537
WFC Laborde 4,8,2552461462
WFC Laborde 8,8,1769300515
CDS Feldman 4,8,229713161
CDS Feldman 8,8,233637223
Xenium Michael,8,585230888
CDS Michael,8,217739108
CDS SplitOrdered,8,805278198
STL,16,10218299597
TBB,16,369426920
WFC Laborde 4,16,2071634879
CDS Feldman 4,16,493958330
CDS Feldman 8,16,217609232
Xenium Michael,16,304065284
CDS Michael,16,480911506
CDS SplitOrdered,16,487977838
STL,32,10177634438
TBB,32,266985955
WFC Laborde 4,32,1711845779
CDS Feldman 4,32,407632180
CDS Feldman 8,32,261703510
Xenium Michael,32,215721970
CDS Michael,32,475824008
CDS SplitOrdered,32,504895702
STL,1,965968088
TBB,1,1327594444
WFC Laborde 4,1,2076570073
WFC Laborde 8,1,1916149636
CDS Feldman 4,1,1186650628
CDS Feldman 8,1,988367540
Xenium Michael,1,1765921084
CDS Michael,1,965753003
CDS SplitOrdered,1,1458059645
STL,4,8693027463
TBB,4,1363835764
WFC Laborde 4,4,4404349632
WFC Laborde 8,4,3062018100
CDS Feldman 4,4,483429192
CDS Feldman 8,4,801285338
Xenium Michael,4,1014522477
CDS Michael,4,923375655
CDS SplitOrdered,4,1299845099
STL,8,9936454042
TBB,8,345045225
WFC Laborde 4,8,2480736691
WFC Laborde 8,8,1227002448
CDS Feldman 4,8,223475594
CDS Feldman 8,8,510062220
Xenium Michael,8,519555123
CDS Michael,8,212869293
CDS SplitOrdered,8,946963402
STL,16,10115602704
TBB,16,311368233
WFC Laborde 4,16,2266273021
WFC Laborde 8,16,2024262091
CDS Feldman 4,16,155842069
CDS Feldman 8,16,219278500
Xenium Michael,16,210682362
CDS Michael,16,348413951
CDS SplitOrdered,16,532552319
STL,32,11433055271
TBB,32,280031783
WFC Laborde 8,32,1651895683
CDS Feldman 4,32,462894695
CDS Feldman 8,32,258699003
Xenium Michael,32,204402247
CDS Michael,32,509716175
CDS SplitOrdered,32,538072080
STL,1,970745701
TBB,1,1328274241
WFC Laborde 4,1,2075165159
WFC Laborde 8,1,1918091628
CDS Feldman 4,1,1188030555
CDS Feldman 8,1,999985874
Xenium Michael,1,1747135519
CDS Michael,1,986679800
CDS SplitOrdered,1,1473150563
STL,4,8023411197
TBB,4,1276666608
WFC Laborde 4,4,3288396290
WFC Laborde 8,4,3344328880
CDS Feldman 4,4,396491865
CDS Feldman 8,4,875154430
Xenium Michael,4,1286242420
CDS Michael,4,1250125615
CDS SplitOrdered,4,929621655
STL,8,9219069495
TBB,8,321935691
WFC Laborde 4,8,2793315090
WFC Laborde 8,8,1484543960
CDS Feldman 4,8,250423675
CDS Feldman 8,8,180374489
Xenium Michael,8,593388396
CDS Michael,8,192409761
CDS SplitOrdered,8,794745999
STL,16,9616493666
TBB,16,273589104
WFC Laborde 4,16,2094980323
WFC Laborde 8,16,1679986383
CDS Feldman 4,16,273064882
CDS Feldman 8,16,248673854
Xenium Michael,16,208892190
CDS Michael,16,484751698
CDS SplitOrdered,16,456294788
STL,32,11613322035
TBB,32,276888951
WFC Laborde 4,32,1793332877
WFC Laborde 8,32,1657005454
CDS Feldman 4,32,397003965
CDS Feldman 8,32,268349619
Xenium Michael,32,215433886
CDS Michael,32,466949289
CDS SplitOrdered,32,464833949
STL,1,966605617
TBB,1,1333725166
WFC Laborde 4,1,2077288853
WFC Laborde 8,1,1918153371
CDS Feldman 4,1,1187520314
CDS Feldman 8,1,965514526
Xenium Michael,1,1941854452
CDS Michael,1,1158984656
CDS SplitOrdered,1,1397938658
STL,4,7976685929
TBB,4,1116410806
WFC Laborde 4,4,4542666035
WFC Laborde 8,4,3047510768
CDS Feldman 4,4,565632616
CDS Feldman 8,4,811758497
Xenium Michael,4,1018790523
CDS Michael,4,336816872
CDS SplitOrdered,4,1398903226
STL,8,9469760721
TBB,8,678202122
WFC Laborde 4,8,2582464195
CDS Feldman 4,8,236883100
CDS Feldman 8,8,189960289
Xenium Michael,8,643684005
CDS Michael,8,293470840
CDS SplitOrdered,8,266632968
STL,16,9146461331
TBB,16,276709535
WFC Laborde 4,16,1917249886
CDS Feldman 4,16,337841102
CDS Feldman 8,16,136458073
Xenium Michael,16,400161073
CDS Michael,16,237686124
CDS SplitOrdered,16,645001287
STL,32,11371921375
TBB,32,296032721
WFC Laborde 4,32,1726400007
WFC Laborde 8,32,1673822453
CDS Feldman 4,32,445430150
CDS Feldman 8,32,288818925
Xenium Michael,32,195188162
CDS Michael,32,414554096
CDS SplitOrdered,32,458374278
STL,1,966814239
TBB,1,1339271302
WFC Laborde 4,1,2077766596
WFC Laborde 8,1,1918749032
CDS Feldman 4,1,1191949731
CDS Feldman 8,1,968718509
Xenium Michael,1,1939821243
CDS Michael,1,1161153638
CDS SplitOrdered,1,1402766071
STL,4,8876796436
TBB,4,1166326089
WFC Laborde 4,4,3493343196
CDS Feldman 4,4,1151307998
CDS Feldman 8,4,504424312
Xenium Michael,4,1038803420
CDS Michael,4,459449567
CDS SplitOrdered,4,932682694
STL,8,10559563814
TBB,8,329895886
WFC Laborde 8,8,2029214296
CDS Feldman 4,8,210967061
CDS Feldman 8,8,494917952
Xenium Michael,8,370368286
CDS Michael,8,728410634
CDS SplitOrdered,8,339612891
STL,16,9541195576
TBB,16,224526191
WFC Laborde 8,16,1411108880
CDS Feldman 4,16,477405924
CDS Feldman 8,16,175474054
Xenium Michael,16,250364987
CDS Michael,16,517105838
CDS SplitOrdered,16,312190028
STL,32,11273085308
TBB,32,300667049
WFC Laborde 4,32,1756924245
CDS Feldman 4,32,409142982
CDS Feldman 8,32,283698081
Xenium Michael,32,183926065
CDS Michael,32,456233388
CDS SplitOrdered,32,524665295
STL,1,975392669
TBB,1,1332044087
WFC Laborde 4,1,2079731174
WFC Laborde 8,1,1919231176
CDS Feldman 4,1,1190894297
CDS Feldman 8,1,969423509
Xenium Michael,1,1767399689
CDS Michael,1,985575139
CDS SplitOrdered,1,1475770479
STL,4,8827169851
TBB,4,1244568058
WFC Laborde 4,4,3193374894
WFC Laborde 8,4,3715855988
CDS Feldman 4,4,317942437
CDS Feldman 8,4,872615944
Xenium Michael,4,1043665093
CDS Michael,4,786655182
CDS SplitOrdered,4,954200891
STL,8,10532197683
TBB,8,456752560
WFC Laborde 4,8,2104975177
WFC Laborde 8,8,1588685945
CDS Feldman 4,8,229093060
CDS Feldman 8,8,510206430
Xenium Michael,8,492227461
CDS Michael,8,287218842
CDS SplitOrdered,8,728050257
STL,16,10243735585
TBB,16,434080280
WFC Laborde 4,16,1969235972
CDS Feldman 4,16,281510239
CDS Feldman 8,16,153229825
