Structure,Threads,Elapsed Time
STL,1,4377910859
TBB,1,4127446454
WFC Laborde 4,1,10047695086
WFC Laborde 8,1,8210636215
CDS Feldman 4,1,4139829437
CDS Feldman 8,1,4056317482
CDS Michael,1,3198660468
Xenium Michael,1,9883015214
CDS SplitOrdered,1,5124529515
STL,4,8886372475
TBB,4,1334453941
WFC Laborde 4,4,3761300655
WFC Laborde 8,4,3460347283
CDS Feldman 4,4,873673949
CDS Feldman 8,4,718108493
CDS Michael,4,699768915
Xenium Michael,4,5597983418
CDS SplitOrdered,4,1615904302
STL,8,8902856018
TBB,8,395389907
WFC Laborde 4,8,1949562675
WFC Laborde 8,8,1818089420
CDS Feldman 4,8,291616615
CDS Feldman 8,8,250519309
CDS Michael,8,226385611
Xenium Michael,8,2584319231
CDS SplitOrdered,8,385116238
STL,16,8404061828
TBB,16,267859260
WFC Laborde 4,16,1079545252
WFC Laborde 8,16,731722084
CDS Feldman 4,16,233397932
CDS Feldman 8,16,155007021
CDS Michael,16,171791164
Xenium Michael,16,2353141868
CDS SplitOrdered,16,263288560
STL,32,6802583681
TBB,32,179910115
WFC Laborde 4,32,957880313
WFC Laborde 8,32,751167559
CDS Feldman 4,32,112405622
CDS Feldman 8,32,120327496
CDS Michael,32,107519305
Xenium Michael,32,1507324307
CDS SplitOrdered,32,261526093
STL,1,4138691482
TBB,1,4945422574
WFC Laborde 4,1,9912444193
WFC Laborde 8,1,9411892390
CDS Feldman 4,1,4309887093
CDS Feldman 8,1,4857015832
CDS Michael,1,3506178656
Xenium Michael,1,9414568267
CDS SplitOrdered,1,5132111457
STL,4,8688290619
TBB,4,1609145042
WFC Laborde 4,4,3605706499
WFC Laborde 8,4,3521027259
CDS Feldman 4,4,840554209
CDS Feldman 8,4,780956356
CDS Michael,4,748624129
Xenium Michael,4,5533735324
CDS SplitOrdered,4,1276604694
STL,8,9870557024
TBB,8,575541114
WFC Laborde 4,8,1716408292
WFC Laborde 8,8,1578986837
CDS Feldman 4,8,284744416
CDS Feldman 8,8,262465021
CDS Michael,8,220402884
Xenium Michael,8,2688528593
CDS SplitOrdered,8,426732830
STL,16,6252935716
TBB,16,271613104
WFC Laborde 4,16,1237071026
WFC Laborde 8,16,530825106
CDS Feldman 4,16,184772515
CDS Feldman 8,16,196375893
CDS Michael,16,144588341
Xenium Michael,16,2110941249
CDS SplitOrdered,16,465020123
STL,32,9139213807
TBB,32,200134219
WFC Laborde 4,32,792094244
WFC Laborde 8,32,821245400
CDS Feldman 4,32,176890007
CDS Feldman 8,32,109943517
CDS Michael,32,102318170
Xenium Michael,32,1480461291
CDS SplitOrdered,32,219638235
STL,1,4148202147
TBB,1,5134354966
WFC Laborde 4,1,9855567923
WFC Laborde 8,1,8521719593
CDS Feldman 4,1,4321666803
CDS Feldman 8,1,4073515326
CDS Michael,1,3210340721
Xenium Michael,1,9195950393
CDS SplitOrdered,1,5159121676
STL,4,9505205709
TBB,4,1459893564
WFC Laborde 4,4,3906952712
WFC Laborde 8,4,3608672802
CDS Feldman 4,4,962447332
CDS Feldman 8,4,906089520
CDS Michael,4,720479180
Xenium Michael,4,7509656296
CDS SplitOrdered,4,1745580850
STL,8,10054637570
TBB,8,419308479
WFC Laborde 4,8,1847583698
WFC Laborde 8,8,894189046
CDS Feldman 4,8,299581016
CDS Feldman 8,8,283058608
CDS Michael,8,228389374
Xenium Michael,8,3912300980
CDS SplitOrdered,8,439276480
STL,16,7096216214
TBB,16,281348805
WFC Laborde 4,16,572534985
WFC Laborde 8,16,829708451
CDS Feldman 4,16,184239144
CDS Feldman 8,16,190596911
CDS Michael,16,146843715
Xenium Michael,16,2402304337
CDS SplitOrdered,16,277880912
STL,32,6002638190
TBB,32,178271339
WFC Laborde 4,32,1078902918
WFC Laborde 8,32,667859725
CDS Feldman 4,32,140046311
CDS Feldman 8,32,105831997
CDS Michael,32,125904974
Xenium Michael,32,1288424549
CDS SplitOrdered,32,152899067
STL,1,4179874967
TBB,1,4027579242
WFC Laborde 4,1,9921732385
WFC Laborde 8,1,8519489756
CDS Feldman 4,1,4331715221
CDS Feldman 8,1,4059377634
CDS Michael,1,3215151285
Xenium Michael,1,9152600348
CDS SplitOrdered,1,5142518465
STL,4,7851063199
TBB,4,1532340563
WFC Laborde 4,4,3725121240
WFC Laborde 8,4,3030260454
CDS Feldman 4,4,945529767
CDS Feldman 8,4,886942388
CDS Michael,4,708970083
Xenium Michael,4,7534703713
CDS SplitOrdered,4,1907839842
STL,8,9288934918
TBB,8,456958798
WFC Laborde 4,8,2314618140
WFC Laborde 8,8,1454594227
CDS Feldman 4,8,313434713
CDS Feldman 8,8,252670913
CDS Michael,8,230053818
Xenium Michael,8,3455533189
CDS SplitOrdered,8,484025894
STL,16,6011802738
TBB,16,239342130
WFC Laborde 4,16,648843968
WFC Laborde 8,16,980515356
CDS Feldman 4,16,185086035
CDS Feldman 8,16,163837405
CDS Michael,16,145077864
Xenium Michael,16,2326984074
CDS SplitOrdered,16,436554565
STL,32,7238888212
TBB,32,191280858
WFC Laborde 4,32,1075658102
WFC Laborde 8,32,862237377
CDS Feldman 4,32,159109160
CDS Feldman 8,32,134801336
CDS Michael,32,124975818
Xenium Michael,32,1328764396
CDS SplitOrdered,32,171193475
STL,1,4148575625
TBB,1,4066495471
WFC Laborde 4,1,12335995601
WFC Laborde 8,1,9997191509
CDS Feldman 4,1,4373388513
CDS Feldman 8,1,4079145857
CDS Michael,1,3271668401
Xenium Michael,1,9669204310
CDS SplitOrdered,1,5204176606
STL,4,9010157831
TBB,4,1620230330
WFC Laborde 4,4,3952305524
WFC Laborde 8,4,3475198485
CDS Feldman 4,4,1232091491
CDS Feldman 8,4,676020470
CDS Michael,4,937087460
Xenium Michael,4,8604951286
CDS SplitOrdered,4,1153189492
STL,8,7207545074
TBB,8,325056092
WFC Laborde 4,8,2364267446
WFC Laborde 8,8,1587916089
CDS Feldman 4,8,284976800
CDS Feldman 8,8,253878018
CDS Michael,8,220878332
Xenium Michael,8,4601305969
CDS SplitOrdered,8,418239503
STL,16,7074532653
TBB,16,276255151
WFC Laborde 4,16,968697593
WFC Laborde 8,16,530906420
CDS Feldman 4,16,184835790
CDS Feldman 8,16,184979211
CDS Michael,16,145920323
Xenium Michael,16,2291034623
CDS SplitOrdered,16,247592570
STL,32,6261705131
TBB,32,183635316
WFC Laborde 4,32,717926518
WFC Laborde 8,32,979974103
CDS Feldman 4,32,109683178
CDS Feldman 8,32,95397442
CDS Michael,32,118671592
Xenium Michael,32,1583800334
CDS SplitOrdered,32,153140907
