Structure,Threads,Elapsed Time
STL,1,10732003878
TBB,1,13185640567
WFC Laborde 4,1,18055652544
WFC Laborde 8,1,15799289058
CDS Feldman 4,1,12151232519
CDS Feldman 8,1,11957301387
CDS Michael,1,8799549718
Xenium Michael,1,14015976512
CDS SplitOrdered,1,13847106252
STL,4,25618784292
TBB,4,7258333279
WFC Laborde 4,4,9650528563
WFC Laborde 8,4,8209851705
CDS Feldman 4,4,5799682722
CDS Feldman 8,4,5728672429
CDS Michael,4,4404832671
Xenium Michael,4,7499657175
CDS SplitOrdered,4,7466213936
STL,8,23625550069
TBB,8,1754750851
WFC Laborde 4,8,3607917715
WFC Laborde 8,8,2550295132
CDS Feldman 4,8,2192624935
CDS Feldman 8,8,2100677945
CDS Michael,8,1344619357
Xenium Michael,8,3679181497
CDS SplitOrdered,8,4075757752
STL,16,20234366272
TBB,16,1061167719
WFC Laborde 4,16,3479966371
WFC Laborde 8,16,2189153437
CDS Feldman 4,16,1000749647
CDS Feldman 8,16,1012067781
CDS Michael,16,941317275
Xenium Michael,16,1843949142
CDS SplitOrdered,16,2595955927
STL,32,14666397821
TBB,32,552809995
WFC Laborde 4,32,1679767462
WFC Laborde 8,32,880112154
CDS Feldman 4,32,707401014
CDS Feldman 8,32,805705192
CDS Michael,32,740883359
Xenium Michael,32,1481412445
CDS SplitOrdered,32,3616368526
STL,1,10081467054
TBB,1,11310792115
WFC Laborde 4,1,18081882270
WFC Laborde 8,1,15690306800
CDS Feldman 4,1,12117051537
CDS Feldman 8,1,11621396565
CDS Michael,1,9043694986
Xenium Michael,1,10754005298
CDS SplitOrdered,1,13700334604
STL,4,25146905874
TBB,4,4934741326
WFC Laborde 4,4,9159446862
WFC Laborde 8,4,8921442182
CDS Feldman 4,4,4888490196
CDS Feldman 8,4,5197925894
CDS Michael,4,5103784713
Xenium Michael,4,6080835002
CDS SplitOrdered,4,7896891675
STL,8,23227645027
TBB,8,1801209120
WFC Laborde 4,8,4516196917
WFC Laborde 8,8,3064188263
CDS Feldman 4,8,1505231856
CDS Feldman 8,8,1595447113
CDS Michael,8,1936014224
Xenium Michael,8,2553590952
CDS SplitOrdered,8,3921691578
STL,16,20083450474
TBB,16,1052745704
WFC Laborde 4,16,2349888533
WFC Laborde 8,16,1843962498
CDS Feldman 4,16,949281428
CDS Feldman 8,16,940448640
CDS Michael,16,862452167
Xenium Michael,16,1750424017
CDS SplitOrdered,16,2580060483
STL,32,14392851767
TBB,32,602084844
WFC Laborde 4,32,912944286
WFC Laborde 8,32,1316268938
CDS Feldman 4,32,774393469
CDS Feldman 8,32,805573182
CDS Michael,32,698507589
Xenium Michael,32,1396989256
CDS SplitOrdered,32,4591953668
STL,1,9898649957
TBB,1,9325439259
WFC Laborde 4,1,18252039962
WFC Laborde 8,1,15747692537
CDS Feldman 4,1,24973377993
CDS Feldman 8,1,11684679929
CDS Michael,1,11179596219
Xenium Michael,1,10603910992
CDS SplitOrdered,1,13918187923
STL,4,26586887210
TBB,4,4828103283
WFC Laborde 4,4,9253369707
WFC Laborde 8,4,9839857694
CDS Feldman 4,4,6242296274
CDS Feldman 8,4,5389743268
CDS Michael,4,4270592646
Xenium Michael,4,9291985978
CDS SplitOrdered,4,7320082799
STL,8,23366892860
TBB,8,1767554046
WFC Laborde 4,8,4268386107
WFC Laborde 8,8,4223359937
CDS Feldman 4,8,2088461995
CDS Feldman 8,8,2205559467
CDS Michael,8,1343488209
Xenium Michael,8,2756121431
CDS SplitOrdered,8,3702072402
STL,16,23517595805
TBB,16,789062203
WFC Laborde 4,16,3684431666
WFC Laborde 8,16,2012393859
