Structure,Threads,Elapsed Time
STL,1,11742934943
TBB,1,11392106082
WFC Laborde 4,1,15650887533
WFC Laborde 8,1,13021327629
CDS Feldman 4,1,16900151678
CDS Feldman 8,1,16134348099
CDS Michael,1,11515971445
Xenium Michael,1,11393120458
CDS SplitOrdered,1,14030311108
STL,4,28361405056
TBB,4,6578725488
WFC Laborde 4,4,11144464219
WFC Laborde 8,4,10241982348
CDS Feldman 4,4,8088385020
CDS Feldman 8,4,6977978423
CDS Michael,4,6022372479
Xenium Michael,4,7628570121
CDS SplitOrdered,4,9557899378
STL,8,32549398310
TBB,8,3166249435
WFC Laborde 4,8,6056133164
WFC Laborde 8,8,4382349395
CDS Feldman 4,8,4528326390
CDS Feldman 8,8,2864993659
CDS Michael,8,2613010049
Xenium Michael,8,4173631618
CDS SplitOrdered,8,5964849069
STL,16,31695071229
TBB,16,1575266927
WFC Laborde 4,16,2051278994
WFC Laborde 8,16,1985983451
CDS Feldman 4,16,1705800624
CDS Feldman 8,16,2854553046
CDS Michael,16,2038338127
Xenium Michael,16,2040104824
CDS SplitOrdered,16,4709629331
STL,32,21717672585
TBB,32,1009289389
WFC Laborde 4,32,1846679877
WFC Laborde 8,32,1965887468
CDS Feldman 4,32,1428029422
CDS Feldman 8,32,1388782426
CDS Michael,32,1346884022
Xenium Michael,32,1414615641
CDS SplitOrdered,32,5216189669
STL,1,11786693816
TBB,1,11324098456
WFC Laborde 4,1,15570292735
WFC Laborde 8,1,13006700279
CDS Feldman 4,1,16755296543
CDS Feldman 8,1,16534136105
CDS Michael,1,11288937407
Xenium Michael,1,11544111488
CDS SplitOrdered,1,14004498506
STL,4,32532580086
TBB,4,7878050442
WFC Laborde 4,4,11532709419
WFC Laborde 8,4,10057102729
CDS Feldman 4,4,9092656288
CDS Feldman 8,4,8896221813
CDS Michael,4,5110240056
Xenium Michael,4,6669455850
CDS SplitOrdered,4,9575017034
STL,8,39704225715
TBB,8,3113337563
WFC Laborde 4,8,6731067022
WFC Laborde 8,8,5228693580
CDS Feldman 4,8,2878407308
CDS Feldman 8,8,3591529720
CDS Michael,8,3576559396
Xenium Michael,8,2562663762
CDS SplitOrdered,8,5886222423
STL,16,30835982442
TBB,16,1541995269
WFC Laborde 4,16,2049614281
WFC Laborde 8,16,1809724959
CDS Feldman 4,16,2648517228
CDS Feldman 8,16,2616302669
CDS Michael,16,1691397461
Xenium Michael,16,2000695598
CDS SplitOrdered,16,4725414846
STL,32,24237759158
TBB,32,922410104
WFC Laborde 4,32,1337657861
WFC Laborde 8,32,1338975049
CDS Feldman 4,32,1381262864
CDS Feldman 8,32,1511625406
CDS Michael,32,1353421694
Xenium Michael,32,1874547661
CDS SplitOrdered,32,5090048946
STL,1,11589567831
TBB,1,11528391094
WFC Laborde 4,1,18430874606
WFC Laborde 8,1,16254244497
CDS Feldman 4,1,17029457264
CDS Feldman 8,1,19281038209
CDS Michael,1,11750282805
Xenium Michael,1,11494370831
CDS SplitOrdered,1,14395417205
STL,4,47019420917
TBB,4,6447911533
WFC Laborde 4,4,10865451882
WFC Laborde 8,4,9626352799
CDS Feldman 4,4,8179843558
CDS Feldman 8,4,8387487634
CDS Michael,4,6181511919
Xenium Michael,4,7913341263
CDS SplitOrdered,4,9298903885
STL,8,36704196192
TBB,8,2802330244
WFC Laborde 4,8,4616647601
WFC Laborde 8,8,3255141327
CDS Feldman 4,8,2774385396
CDS Feldman 8,8,4488055379
CDS Michael,8,3675855409
Xenium Michael,8,2632693480
CDS SplitOrdered,8,5762137492
STL,16,33820037287
TBB,16,1634600478
WFC Laborde 4,16,2850858568
WFC Laborde 8,16,2336168184
CDS Feldman 4,16,1926251147
CDS Feldman 8,16,1905670541
CDS Michael,16,2124719420
Xenium Michael,16,1837331099
CDS SplitOrdered,16,3587733128
STL,32,26599705872
TBB,32,993878847
WFC Laborde 4,32,2631302318
WFC Laborde 8,32,1338666570
CDS Feldman 4,32,1332923989
CDS Feldman 8,32,1472382315
CDS Michael,32,1366729995
Xenium Michael,32,1423738214
CDS SplitOrdered,32,5232588900
STL,1,11627379090
TBB,1,11324983011
WFC Laborde 4,1,15658462245
WFC Laborde 8,1,13041050830
CDS Feldman 4,1,16844526578
CDS Feldman 8,1,16362075260
CDS Michael,1,11373894813
Xenium Michael,1,11634811236
CDS SplitOrdered,1,14083853037
STL,4,31297544130
TBB,4,6162709015
WFC Laborde 4,4,10892369174
WFC Laborde 8,4,9438402757
CDS Feldman 4,4,8488792937
CDS Feldman 8,4,9752276970
CDS Michael,4,5985344009
Xenium Michael,4,6319814503
CDS SplitOrdered,4,9387152071
STL,8,41690842766
TBB,8,2796035411
WFC Laborde 4,8,6074580411
WFC Laborde 8,8,5453035838
CDS Feldman 4,8,3654526870
CDS Feldman 8,8,3018537827
CDS Michael,8,2439527515
Xenium Michael,8,4159889955
CDS SplitOrdered,8,5484476877
STL,16,30726281453
TBB,16,1694289628
WFC Laborde 4,16,2906864321
WFC Laborde 8,16,1827718683
CDS Feldman 4,16,2366025643
CDS Feldman 8,16,2042899574
CDS Michael,16,1939446951
Xenium Michael,16,1879427709
CDS SplitOrdered,16,9254927029
STL,32,23338849689
TBB,32,958865607
WFC Laborde 4,32,2467610910
WFC Laborde 8,32,1432560197
CDS Feldman 4,32,1404751175
CDS Feldman 8,32,1503398723
CDS Michael,32,1383025230
Xenium Michael,32,1403520781
CDS SplitOrdered,32,5578156127
STL,1,11855453660
TBB,1,11580612203
WFC Laborde 4,1,15732133405
WFC Laborde 8,1,15950284549
CDS Feldman 4,1,17024678672
CDS Feldman 8,1,16498684681
CDS Michael,1,11749249305
Xenium Michael,1,11520602084
CDS SplitOrdered,1,14348905757
STL,4,38135135197
TBB,4,6865965742
WFC Laborde 4,4,11557789756
WFC Laborde 8,4,9882922625
CDS Feldman 4,4,8407836528
CDS Feldman 8,4,9932139548
CDS Michael,4,6255914058
Xenium Michael,4,9913444580
CDS SplitOrdered,4,9778432033
STL,8,33846130936
TBB,8,3283353163
WFC Laborde 4,8,4248869077
WFC Laborde 8,8,4169016859
CDS Feldman 4,8,2842337615
CDS Feldman 8,8,3857030960
CDS Michael,8,2356654902
Xenium Michael,8,3037580728
CDS SplitOrdered,8,5895193841
STL,16,33643876490
TBB,16,1523681538
WFC Laborde 4,16,2821827652
WFC Laborde 8,16,2017961820
CDS Feldman 4,16,5090806099
CDS Feldman 8,16,1945036243
CDS Michael,16,1632583832
Xenium Michael,16,2139836081
CDS SplitOrdered,16,4049102756
STL,32,25369585766
TBB,32,1022531509
WFC Laborde 4,32,1353808793
WFC Laborde 8,32,2122100910
CDS Feldman 4,32,1416746742
CDS Feldman 8,32,1506104003
CDS Michael,32,1358162068
Xenium Michael,32,1389562405
CDS SplitOrdered,32,4631895524
STL,1,15139915160
TBB,1,11287020918
WFC Laborde 4,1,15405627909
WFC Laborde 8,1,12995243161
CDS Feldman 4,1,16920452011
CDS Feldman 8,1,16187493344
CDS Michael,1,15295599959
Xenium Michael,1,11473532226
CDS SplitOrdered,1,14282231327
STL,4,33634795840
TBB,4,6738603350
WFC Laborde 4,4,10072586706
WFC Laborde 8,4,9577673788
CDS Feldman 4,4,6138038530
CDS Feldman 8,4,10426045317
CDS Michael,4,5608816528
Xenium Michael,4,8270617497
CDS SplitOrdered,4,12716490822
STL,8,37044614002
TBB,8,3057301732
WFC Laborde 4,8,4590789760
WFC Laborde 8,8,5467597451
CDS Feldman 4,8,2731507710
CDS Feldman 8,8,2990048151
CDS Michael,8,3358614450
Xenium Michael,8,4139005837
CDS SplitOrdered,8,6040378343
STL,16,38168699118
TBB,16,1525884332
WFC Laborde 4,16,2016902872
WFC Laborde 8,16,2452454924
CDS Feldman 4,16,1725351297
CDS Feldman 8,16,2551259238
CDS Michael,16,2319362578
Xenium Michael,16,2118273649
CDS SplitOrdered,16,4750735573
STL,32,26710510123
TBB,32,906382929
WFC Laborde 4,32,3021392349
WFC Laborde 8,32,2472669969
CDS Feldman 4,32,1428674692
CDS Feldman 8,32,1569849898
CDS Michael,32,1325479354
Xenium Michael,32,1510324738
CDS SplitOrdered,32,5162322472
STL,1,11571031791
TBB,1,11352350595
WFC Laborde 4,1,15758070377
WFC Laborde 8,1,12991977192
CDS Feldman 4,1,16928234370
CDS Feldman 8,1,16392945468
CDS Michael,1,11683242744
Xenium Michael,1,16631656094
CDS SplitOrdered,1,14244644636
STL,4,31919936670
TBB,4,6280178007
WFC Laborde 4,4,11223236150
WFC Laborde 8,4,9157125684
CDS Feldman 4,4,5841850821
CDS Feldman 8,4,8465156953
CDS Michael,4,7113769343
Xenium Michael,4,6775399008
CDS SplitOrdered,4,8718870103
STL,8,40836692446
TBB,8,3196481581
WFC Laborde 4,8,5080708443
WFC Laborde 8,8,5035055800
CDS Feldman 4,8,2850191255
CDS Feldman 8,8,3551700550
CDS Michael,8,2757186849
Xenium Michael,8,2501817106
CDS SplitOrdered,8,6650953857
STL,16,32527366132
TBB,16,1516667898
WFC Laborde 4,16,2042051146
WFC Laborde 8,16,1866851382
CDS Feldman 4,16,1731345116
CDS Feldman 8,16,1872937846
CDS Michael,16,2538615015
Xenium Michael,16,2630688503
CDS SplitOrdered,16,4612989859
STL,32,26017942623
TBB,32,1039989911
WFC Laborde 4,32,2066650144
WFC Laborde 8,32,2384156573
CDS Feldman 4,32,1410947913
CDS Feldman 8,32,1529215952
