Structure,Threads,Elapsed Time
STL,1,1374021647
TBB,1,1308646261
WFC Laborde 4,1,3932944229
WFC Laborde 8,1,3888100031
CDS Feldman 4,1,1630727159
CDS Feldman 8,1,1594010832
CDS Michael,1,1121779039
Xenium Michael,1,3088198023
CDS SplitOrdered,1,2359146724
STL,4,6025946115
TBB,4,527825725
WFC Laborde 4,4,2912988758
WFC Laborde 8,4,2142718794
CDS Feldman 4,4,388689734
CDS Feldman 8,4,484809922
CDS Michael,4,251895960
Xenium Michael,4,1303601076
CDS SplitOrdered,4,806567162
STL,8,4235446407
TBB,8,246923659
WFC Laborde 4,8,2131473124
WFC Laborde 8,8,1298356675
CDS Feldman 4,8,155371009
CDS Feldman 8,8,153426883
CDS Michael,8,136124184
Xenium Michael,8,673556242
CDS SplitOrdered,8,269728315
STL,16,4042405820
TBB,16,214271329
WFC Laborde 4,16,979819607
WFC Laborde 8,16,1186524391
CDS Feldman 4,16,106297872
CDS Feldman 8,16,88099956
CDS Michael,16,99095720
Xenium Michael,16,324300530
CDS SplitOrdered,16,273603183
STL,32,5558758956
TBB,32,165667741
WFC Laborde 4,32,1089155292
WFC Laborde 8,32,868147060
CDS Feldman 4,32,77378308
CDS Feldman 8,32,65470989
CDS Michael,32,107255729
Xenium Michael,32,195761696
CDS SplitOrdered,32,135752073
STL,1,1558538444
TBB,1,1790131909
WFC Laborde 4,1,3913570628
WFC Laborde 8,1,3271725660
CDS Feldman 4,1,1348615824
CDS Feldman 8,1,1506113846
CDS Michael,1,1339539239
Xenium Michael,1,3080030249
CDS SplitOrdered,1,2308042282
STL,4,6231657868
TBB,4,705006159
WFC Laborde 4,4,2796888379
WFC Laborde 8,4,2295493647
CDS Feldman 4,4,415097073
CDS Feldman 8,4,351944144
CDS Michael,4,311002555
Xenium Michael,4,1601478541
CDS SplitOrdered,4,649875183
STL,8,5174918231
TBB,8,192416234
WFC Laborde 4,8,1400919848
WFC Laborde 8,8,1368489319
CDS Feldman 4,8,168421806
CDS Feldman 8,8,160989989
CDS Michael,8,133407290
Xenium Michael,8,659395665
CDS SplitOrdered,8,265773391
STL,16,5185634666
TBB,16,235982035
WFC Laborde 4,16,467300793
WFC Laborde 8,16,728622399
CDS Feldman 4,16,106192226
CDS Feldman 8,16,90809297
CDS Michael,16,108218796
Xenium Michael,16,364498943
CDS SplitOrdered,16,179558073
STL,32,5486091767
TBB,32,171521634
WFC Laborde 4,32,924913251
WFC Laborde 8,32,855571348
CDS Feldman 4,32,89798478
CDS Feldman 8,32,70812360
CDS Michael,32,109156858
Xenium Michael,32,201679180
CDS SplitOrdered,32,141344342
STL,1,1564553482
TBB,1,1585931961
WFC Laborde 4,1,3674705990
WFC Laborde 8,1,3266624390
CDS Feldman 4,1,1417940428
CDS Feldman 8,1,1581885598
CDS Michael,1,1098494510
Xenium Michael,1,3079557300
CDS SplitOrdered,1,2309404962
STL,4,5136044127
TBB,4,1061746830
WFC Laborde 4,4,2894853619
WFC Laborde 8,4,2011879422
CDS Feldman 4,4,356498891
CDS Feldman 8,4,354254140
CDS Michael,4,269693125
Xenium Michael,4,1477830769
CDS SplitOrdered,4,830638764
STL,8,4841916842
TBB,8,197560023
WFC Laborde 4,8,2275208827
WFC Laborde 8,8,1094000636
CDS Feldman 4,8,167208503
CDS Feldman 8,8,146640337
CDS Michael,8,138565702
Xenium Michael,8,501726128
CDS SplitOrdered,8,280484036
STL,16,4028334050
TBB,16,129867297
WFC Laborde 4,16,1169034267
WFC Laborde 8,16,670959820
CDS Feldman 4,16,104558103
CDS Feldman 8,16,87884525
CDS Michael,16,95045741
Xenium Michael,16,285437308
CDS SplitOrdered,16,216051263
STL,32,5384333559
TBB,32,201265470
WFC Laborde 4,32,1088802633
WFC Laborde 8,32,933031142
CDS Feldman 4,32,81787834
CDS Feldman 8,32,71257742
CDS Michael,32,114435709
Xenium Michael,32,195353410
CDS SplitOrdered,32,164051829
STL,1,1549739230
TBB,1,1579800483
WFC Laborde 4,1,3712133322
WFC Laborde 8,1,3249217356
CDS Feldman 4,1,1353353374
CDS Feldman 8,1,1507503843
CDS Michael,1,1104775027
Xenium Michael,1,2892945843
CDS SplitOrdered,1,2397282368
STL,4,5207739374
TBB,4,710597388
WFC Laborde 4,4,3078231746
WFC Laborde 8,4,2294874452
CDS Feldman 4,4,332931550
CDS Feldman 8,4,526434016
CDS Michael,4,303279886
Xenium Michael,4,1524978306
CDS SplitOrdered,4,944209145
STL,8,5112359956
TBB,8,184486627
WFC Laborde 4,8,2253583464
WFC Laborde 8,8,1094198806
CDS Feldman 4,8,152815699
CDS Feldman 8,8,148335013
CDS Michael,8,159567385
Xenium Michael,8,501802420
CDS SplitOrdered,8,473173566
STL,16,4067005070
TBB,16,203207668
WFC Laborde 4,16,622799517
WFC Laborde 8,16,1016952623
CDS Feldman 4,16,105746664
CDS Feldman 8,16,89844028
CDS Michael,16,98679443
Xenium Michael,16,395007732
CDS SplitOrdered,16,187589107
STL,32,5282214300
TBB,32,169393419
WFC Laborde 4,32,967616139
WFC Laborde 8,32,874393334
CDS Feldman 4,32,91771052
CDS Feldman 8,32,70868391
CDS Michael,32,103957960
Xenium Michael,32,194382395
CDS SplitOrdered,32,148748464
STL,1,1555136591
TBB,1,1578478026
WFC Laborde 4,1,3694479335
