Structure,Threads,Elapsed Time
STL,1,2673548219
TBB,1,2598566221
WFC Laborde 4,1,6239205991
WFC Laborde 8,1,4700018141
CDS Feldman 4,1,2354898969
CDS Feldman 8,1,2726829358
CDS Michael,1,2114655914
Xenium Michael,1,3167459032
CDS SplitOrdered,1,4208576420
STL,4,11069987075
TBB,4,1367389029
WFC Laborde 4,4,4435548358
WFC Laborde 8,4,3547914784
CDS Feldman 4,4,986080330
CDS Feldman 8,4,979393477
CDS Michael,4,919922307
Xenium Michael,4,1366061001
CDS SplitOrdered,4,3521776132
STL,8,9075978327
TBB,8,648667499
WFC Laborde 4,8,2175727487
WFC Laborde 8,8,1715020179
CDS Feldman 4,8,304988392
CDS Feldman 8,8,336356904
CDS Michael,8,395334938
Xenium Michael,8,577912144
CDS SplitOrdered,8,2685834379
STL,16,7345470733
TBB,16,347001765
WFC Laborde 4,16,1318344168
WFC Laborde 8,16,661390043
CDS Feldman 4,16,327755930
CDS Feldman 8,16,226146584
CDS Michael,16,189578342
Xenium Michael,16,351318149
CDS SplitOrdered,16,2363906464
STL,32,7634569409
TBB,32,222783486
WFC Laborde 4,32,1126834701
WFC Laborde 8,32,1130197178
CDS Feldman 4,32,152882938
CDS Feldman 8,32,158493992
CDS Michael,32,162340790
Xenium Michael,32,181963727
CDS SplitOrdered,32,1423666571
STL,1,2669653288
TBB,1,2615610806
WFC Laborde 4,1,6223682943
WFC Laborde 8,1,4699709802
CDS Feldman 4,1,2361584883
CDS Feldman 8,1,2718310397
CDS Michael,1,2112515209
Xenium Michael,1,3167997350
CDS SplitOrdered,1,4198678757
STL,4,9987136144
TBB,4,1463392106
WFC Laborde 4,4,3956685520
WFC Laborde 8,4,3404408104
CDS Feldman 4,4,1164828429
CDS Feldman 8,4,896622720
CDS Michael,4,868899198
Xenium Michael,4,1283957455
CDS SplitOrdered,4,3891718868
STL,8,8657367169
TBB,8,549300070
WFC Laborde 4,8,2506311186
WFC Laborde 8,8,1619989067
CDS Feldman 4,8,348659777
CDS Feldman 8,8,493267415
CDS Michael,8,364329139
Xenium Michael,8,514756215
CDS SplitOrdered,8,3587117638
STL,16,6194227219
TBB,16,302736191
WFC Laborde 4,16,1384923846
WFC Laborde 8,16,1154483158
CDS Feldman 4,16,269668622
CDS Feldman 8,16,291358567
CDS Michael,16,343426105
Xenium Michael,16,440639651
CDS SplitOrdered,16,2858353096
STL,32,6145172631
TBB,32,238702640
WFC Laborde 4,32,1062425038
WFC Laborde 8,32,1127356327
CDS Feldman 4,32,162668906
CDS Feldman 8,32,157076324
CDS Michael,32,182650188
Xenium Michael,32,210682871
CDS SplitOrdered,32,1773975456
STL,1,2561095220
TBB,1,2608433251
WFC Laborde 4,1,7083891739
WFC Laborde 8,1,4449498509
CDS Feldman 4,1,2420740032
CDS Feldman 8,1,2730817651
CDS Michael,1,2094000039
Xenium Michael,1,3179175202
CDS SplitOrdered,1,4213971250
STL,4,9231919268
TBB,4,1375800931
WFC Laborde 4,4,4520939599
WFC Laborde 8,4,3243385436
CDS Feldman 4,4,962307435
CDS Feldman 8,4,973502381
CDS Michael,4,883302743
Xenium Michael,4,1393721618
CDS SplitOrdered,4,3472990875
STL,8,7379468217
TBB,8,567531280
WFC Laborde 4,8,2827868602
WFC Laborde 8,8,1777476454
CDS Feldman 4,8,374395188
CDS Feldman 8,8,451005287
CDS Michael,8,324224706
Xenium Michael,8,670201326
CDS SplitOrdered,8,2775854096
STL,16,7018624148
TBB,16,280248831
WFC Laborde 4,16,1435829070
WFC Laborde 8,16,1472917021
CDS Feldman 4,16,333061743
CDS Feldman 8,16,256790183
CDS Michael,16,296024869
Xenium Michael,16,269551432
CDS SplitOrdered,16,1515476571
STL,32,6328350882
TBB,32,257754288
WFC Laborde 4,32,1149820061
WFC Laborde 8,32,1007526066
CDS Feldman 4,32,167394124
CDS Feldman 8,32,141303994
CDS Michael,32,188805045
Xenium Michael,32,225552584
CDS SplitOrdered,32,2349191862
STL,1,2489485569
TBB,1,2656843901
WFC Laborde 4,1,6234933216
WFC Laborde 8,1,4527603804
CDS Feldman 4,1,2606237397
CDS Feldman 8,1,2734640007
CDS Michael,1,2098550402
Xenium Michael,1,3177803515
CDS SplitOrdered,1,4241505071
STL,4,9355117198
TBB,4,1331741247
WFC Laborde 4,4,4534274233
WFC Laborde 8,4,3450264728
CDS Feldman 4,4,930054208
CDS Feldman 8,4,1004079395
CDS Michael,4,865645963
Xenium Michael,4,1310586555
CDS SplitOrdered,4,3729882227
STL,8,9096331738
TBB,8,663108193
WFC Laborde 4,8,2263396629
WFC Laborde 8,8,1984461283
CDS Feldman 4,8,510531201
CDS Feldman 8,8,379967824
CDS Michael,8,380770170
Xenium Michael,8,527787070
CDS SplitOrdered,8,3206059850
STL,16,7308856602
TBB,16,294241134
WFC Laborde 4,16,1265721850
WFC Laborde 8,16,1270077230
CDS Feldman 4,16,274160875
CDS Feldman 8,16,223320363
CDS Michael,16,170858010
Xenium Michael,16,366952359
CDS SplitOrdered,16,2783609138
STL,32,7013319600
TBB,32,215507084
WFC Laborde 4,32,1082210225
WFC Laborde 8,32,1158428709
CDS Feldman 4,32,151984301
CDS Feldman 8,32,165633711
CDS Michael,32,199786293
Xenium Michael,32,188408156
CDS SplitOrdered,32,1629145535
STL,1,2685667576
TBB,1,2624416222
WFC Laborde 4,1,6217201828
WFC Laborde 8,1,4696521201
CDS Feldman 4,1,2342894623
CDS Feldman 8,1,2720984922
CDS Michael,1,2125576491
Xenium Michael,1,3173580226
CDS SplitOrdered,1,4208354712
STL,4,8911703343
TBB,4,1437684571
WFC Laborde 4,4,4204556619
WFC Laborde 8,4,3214351494
CDS Feldman 4,4,1176275453
CDS Feldman 8,4,1430704037
CDS Michael,4,1007203405
Xenium Michael,4,1267110165
CDS SplitOrdered,4,3402540518
STL,8,7605875730
TBB,8,640662725
WFC Laborde 4,8,2229305686
WFC Laborde 8,8,1702732695
CDS Feldman 4,8,356755947
CDS Feldman 8,8,341859895
CDS Michael,8,260249930
Xenium Michael,8,756662799
CDS SplitOrdered,8,3221115225
STL,16,7252107893
TBB,16,301423501
WFC Laborde 4,16,1395587258
WFC Laborde 8,16,1594737977
CDS Feldman 4,16,264420445
CDS Feldman 8,16,221715247
CDS Michael,16,307339946
Xenium Michael,16,284701028
CDS SplitOrdered,16,2695413000
STL,32,6367422741
TBB,32,230800898
WFC Laborde 4,32,1194334824
WFC Laborde 8,32,1327360640
CDS Feldman 4,32,152562453
CDS Feldman 8,32,149802590
CDS Michael,32,176431168
Xenium Michael,32,184262549
CDS SplitOrdered,32,2756940495
STL,1,2451432388
TBB,1,2603874456
WFC Laborde 4,1,6251113637
WFC Laborde 8,1,4695629670
CDS Feldman 4,1,2360415310
CDS Feldman 8,1,2728901963
CDS Michael,1,2126915227
Xenium Michael,1,3172893219
CDS SplitOrdered,1,4221642300
STL,4,8963215833
TBB,4,1321845093
WFC Laborde 4,4,4445958964
WFC Laborde 8,4,3554537110
CDS Feldman 4,4,946511869
CDS Feldman 8,4,1329902489
CDS Michael,4,745235566
Xenium Michael,4,1301901093
CDS SplitOrdered,4,3838789868
STL,8,8857339959
TBB,8,590706123
WFC Laborde 4,8,2439145881
WFC Laborde 8,8,1560299685
CDS Feldman 4,8,319394443
CDS Feldman 8,8,469306120
CDS Michael,8,256633081
Xenium Michael,8,642915581
CDS SplitOrdered,8,2909286347
STL,16,6314821237
TBB,16,240705397
WFC Laborde 4,16,1489628426
WFC Laborde 8,16,1283446480
CDS Feldman 4,16,280386056
CDS Feldman 8,16,219781248
CDS Michael,16,171296630
Xenium Michael,16,376835403
CDS SplitOrdered,16,2190066640
STL,32,7576327564
TBB,32,232539721
WFC Laborde 4,32,1187574322
WFC Laborde 8,32,1188683130
CDS Feldman 4,32,139192445
CDS Feldman 8,32,168605988
CDS Michael,32,193005908
Xenium Michael,32,187350745
CDS SplitOrdered,32,1676422916
STL,1,2718802154
TBB,1,3147429320
WFC Laborde 4,1,6263218875
WFC Laborde 8,1,5522568199
CDS Feldman 4,1,2375249269
CDS Feldman 8,1,2730400325
CDS Michael,1,2088091908
Xenium Michael,1,3166954690
CDS SplitOrdered,1,4217748004
STL,4,8838918243
TBB,4,1392564726
WFC Laborde 4,4,4164912338
WFC Laborde 8,4,3534845723
CDS Feldman 4,4,971745352
CDS Feldman 8,4,1390013271
CDS Michael,4,955830577
Xenium Michael,4,1443012407
CDS SplitOrdered,4,3690820260
STL,8,7568677231
TBB,8,590585671
WFC Laborde 4,8,2343788801
WFC Laborde 8,8,1548529986
CDS Feldman 4,8,410124722
CDS Feldman 8,8,519880684
CDS Michael,8,255730318
Xenium Michael,8,619546511
CDS SplitOrdered,8,2653401103
STL,16,7197101510
TBB,16,306692594
WFC Laborde 4,16,1490355816
WFC Laborde 8,16,1072310908
CDS Feldman 4,16,309560496
CDS Feldman 8,16,299236212
CDS Michael,16,176956469
Xenium Michael,16,349402372
CDS SplitOrdered,16,2839440399
STL,32,7174101015
TBB,32,208141081
WFC Laborde 4,32,1116670816
WFC Laborde 8,32,1080465522
CDS Feldman 4,32,152530054
CDS Feldman 8,32,145770980
CDS Michael,32,200075805
Xenium Michael,32,175937756
CDS SplitOrdered,32,1622688547
STL,1,2692514593
TBB,1,2610198048
WFC Laborde 4,1,6289774378
WFC Laborde 8,1,4706318459
CDS Feldman 4,1,3176236686
CDS Feldman 8,1,2733530653
CDS Michael,1,2093170590
Xenium Michael,1,3175276223
CDS SplitOrdered,1,5288888857
STL,4,9213865433
TBB,4,1438291329
WFC Laborde 4,4,4601231326
WFC Laborde 8,4,3601324080
CDS Feldman 4,4,1123933822
CDS Feldman 8,4,1396504582
CDS Michael,4,1099286375
