Structure,Threads,Elapsed Time
STL,1,2770664294
TBB,1,3132876771
WFC Laborde 4,1,6307937197
WFC Laborde 8,1,4888164457
CDS Feldman 4,1,2583156018
CDS Feldman 8,1,2932644810
CDS Michael,1,2293816204
Xenium Michael,1,3035478010
CDS SplitOrdered,1,4307492448
STL,4,13183568023
TBB,4,1649062533
WFC Laborde 4,4,4829177039
WFC Laborde 8,4,3881343664
CDS Feldman 4,4,1203012703
CDS Feldman 8,4,1552901166
CDS Michael,4,1230403950
Xenium Michael,4,1328982998
CDS SplitOrdered,4,4633057109
STL,8,10791988188
TBB,8,919221603
WFC Laborde 4,8,2510160309
WFC Laborde 8,8,2527844956
CDS Feldman 4,8,408442082
CDS Feldman 8,8,709410909
CDS Michael,8,417455794
Xenium Michael,8,487651707
CDS SplitOrdered,8,4612780237
STL,16,7563555910
TBB,16,391419955
WFC Laborde 4,16,1817210324
WFC Laborde 8,16,1657912563
CDS Feldman 4,16,353649742
CDS Feldman 8,16,294563479
CDS Michael,16,306361347
Xenium Michael,16,409139468
CDS SplitOrdered,16,4083589740
STL,32,7790657782
TBB,32,416599986
WFC Laborde 4,32,1200905957
WFC Laborde 8,32,1409705719
CDS Feldman 4,32,236454769
CDS Feldman 8,32,293183083
CDS Michael,32,325946990
Xenium Michael,32,199728894
CDS SplitOrdered,32,4310368375
STL,1,2705586303
TBB,1,3138608257
WFC Laborde 4,1,6232977815
WFC Laborde 8,1,4631120288
CDS Feldman 4,1,2801002525
CDS Feldman 8,1,2918747424
CDS Michael,1,2306398581
Xenium Michael,1,3163284996
CDS SplitOrdered,1,4169368831
STL,4,13079327634
TBB,4,2184361532
WFC Laborde 4,4,4809505381
WFC Laborde 8,4,3962559677
CDS Feldman 4,4,1111366863
CDS Feldman 8,4,1481959552
CDS Michael,4,1357085778
Xenium Michael,4,1310026573
CDS SplitOrdered,4,4819790323
STL,8,10986240547
TBB,8,985177105
WFC Laborde 4,8,2836000091
WFC Laborde 8,8,2024820351
CDS Feldman 4,8,585877920
CDS Feldman 8,8,656261634
CDS Michael,8,543188621
Xenium Michael,8,487541715
CDS SplitOrdered,8,4715613777
STL,16,7538198098
TBB,16,449008428
WFC Laborde 4,16,1442231552
WFC Laborde 8,16,1455458465
CDS Feldman 4,16,534414779
CDS Feldman 8,16,284727534
CDS Michael,16,275335339
Xenium Michael,16,297683250
CDS SplitOrdered,16,4539653626
STL,32,8479811981
TBB,32,353947725
WFC Laborde 4,32,1291955651
WFC Laborde 8,32,1433854173
CDS Feldman 4,32,221294033
CDS Feldman 8,32,234096688
CDS Michael,32,354678334
Xenium Michael,32,183284293
CDS SplitOrdered,32,4282780093
STL,1,3266240221
TBB,1,3170198444
WFC Laborde 4,1,6477346998
WFC Laborde 8,1,4900574737
CDS Feldman 4,1,3248199649
CDS Feldman 8,1,2686785023
CDS Michael,1,2328859131
Xenium Michael,1,3161488106
CDS SplitOrdered,1,4529560043
STL,4,11447353029
TBB,4,1658334046
WFC Laborde 4,4,5048625870
WFC Laborde 8,4,3861086561
CDS Feldman 4,4,1102273686
CDS Feldman 8,4,1226075363
CDS Michael,4,1188845218
Xenium Michael,4,1316098428
CDS SplitOrdered,4,5317886866
STL,8,9174683923
TBB,8,886247932
WFC Laborde 4,8,3098770957
WFC Laborde 8,8,2046931588
CDS Feldman 4,8,638208225
CDS Feldman 8,8,552726510
CDS Michael,8,557243048
Xenium Michael,8,691561344
CDS SplitOrdered,8,5396315184
STL,16,8653899863
TBB,16,423041047
WFC Laborde 4,16,1880247870
WFC Laborde 8,16,1004023693
CDS Feldman 4,16,365218201
CDS Feldman 8,16,300704312
CDS Michael,16,457288245
Xenium Michael,16,280740337
CDS SplitOrdered,16,4013052524
STL,32,8227982732
TBB,32,442879311
WFC Laborde 4,32,1266077000
WFC Laborde 8,32,1514404525
CDS Feldman 4,32,209916244
CDS Feldman 8,32,272682198
CDS Michael,32,228715069
Xenium Michael,32,189616318
CDS SplitOrdered,32,4078738658
STL,1,2775864907
TBB,1,3143271884
WFC Laborde 4,1,6318552680
WFC Laborde 8,1,4885509546
CDS Feldman 4,1,2558384851
CDS Feldman 8,1,2921812687
CDS Michael,1,2303205192
Xenium Michael,1,3159318520
CDS SplitOrdered,1,4212622714
STL,4,12695661686
TBB,4,1841735887
WFC Laborde 4,4,4762755657
WFC Laborde 8,4,3811667141
CDS Feldman 4,4,1305013778
CDS Feldman 8,4,1470883836
CDS Michael,4,1248503606
Xenium Michael,4,1278068292
CDS SplitOrdered,4,5337591395
STL,8,11088648869
TBB,8,857996197
WFC Laborde 4,8,2758778118
WFC Laborde 8,8,2139174423
CDS Feldman 4,8,414505579
CDS Feldman 8,8,458790204
CDS Michael,8,416080962
Xenium Michael,8,603469558
CDS SplitOrdered,8,4603176267
STL,16,7523955085
TBB,16,388065064
WFC Laborde 4,16,1655704734
WFC Laborde 8,16,892911223
CDS Feldman 4,16,377535697
CDS Feldman 8,16,314086060
CDS Michael,16,695036145
Xenium Michael,16,396616193
CDS SplitOrdered,16,4068649090
STL,32,8061229239
TBB,32,329535745
WFC Laborde 4,32,1341920459
WFC Laborde 8,32,1206049090
CDS Feldman 4,32,260762275
CDS Feldman 8,32,270844312
CDS Michael,32,328840544
Xenium Michael,32,195489438
CDS SplitOrdered,32,4170968432
STL,1,2776527990
TBB,1,3176528171
WFC Laborde 4,1,6260568691
WFC Laborde 8,1,4873530921
CDS Feldman 4,1,2555007585
CDS Feldman 8,1,2908598169
CDS Michael,1,2527208856
Xenium Michael,1,3150775681
CDS SplitOrdered,1,4175834018
STL,4,11790823335
TBB,4,1924746161
WFC Laborde 4,4,5084488577
WFC Laborde 8,4,4053849882
CDS Feldman 4,4,1191322429
CDS Feldman 8,4,1383351960
CDS Michael,4,1194228660
Xenium Michael,4,1338015828
CDS SplitOrdered,4,5079951375
STL,8,10730370689
TBB,8,1151798177
WFC Laborde 4,8,2591527753
WFC Laborde 8,8,2159963690
CDS Feldman 4,8,522741463
CDS Feldman 8,8,503716309
CDS Michael,8,528819523
Xenium Michael,8,680376674
CDS SplitOrdered,8,5207788428
STL,16,8437780960
TBB,16,307975612
WFC Laborde 4,16,1676415371
WFC Laborde 8,16,1602449714
CDS Feldman 4,16,450042763
CDS Feldman 8,16,292950795
CDS Michael,16,618567105
Xenium Michael,16,341188260
CDS SplitOrdered,16,4639957850
STL,32,8205337172
TBB,32,264413781
WFC Laborde 4,32,1109600891
WFC Laborde 8,32,1369268241
CDS Feldman 4,32,223602385
CDS Feldman 8,32,257155069
CDS Michael,32,330767526
Xenium Michael,32,242976998
CDS SplitOrdered,32,3799746354
STL,1,2742292780
TBB,1,3167799383
WFC Laborde 4,1,6461944808
WFC Laborde 8,1,4874280218
CDS Feldman 4,1,2807536366
CDS Feldman 8,1,2935915245
CDS Michael,1,2298420131
Xenium Michael,1,3159322298
CDS SplitOrdered,1,4197130772
STL,4,11523344632
TBB,4,1690578245
WFC Laborde 4,4,4912769161
WFC Laborde 8,4,3831785848
CDS Feldman 4,4,1324126061
CDS Feldman 8,4,1529081650
CDS Michael,4,1215490685
Xenium Michael,4,1279957398
CDS SplitOrdered,4,4871907274
STL,8,10584335721
TBB,8,937702379
WFC Laborde 4,8,2636266498
WFC Laborde 8,8,2064018359
CDS Feldman 4,8,544365348
CDS Feldman 8,8,467911271
CDS Michael,8,406648078
Xenium Michael,8,608333906
CDS SplitOrdered,8,5349752770
STL,16,9163143899
TBB,16,511262736
WFC Laborde 4,16,1299562842
WFC Laborde 8,16,1560997717
CDS Feldman 4,16,416198710
CDS Feldman 8,16,340692497
CDS Michael,16,232022850
Xenium Michael,16,356375150
CDS SplitOrdered,16,4307961140
STL,32,7324548700
TBB,32,327963727
WFC Laborde 4,32,1275201114
WFC Laborde 8,32,1140544676
CDS Feldman 4,32,218581441
CDS Feldman 8,32,261657619
CDS Michael,32,246995756
Xenium Michael,32,192647059
CDS SplitOrdered,32,4457538190
STL,1,2748302421
TBB,1,2952803688
WFC Laborde 4,1,6873155399
WFC Laborde 8,1,4885175829
CDS Feldman 4,1,4022276787
CDS Feldman 8,1,2695105692
CDS Michael,1,3194377773
Xenium Michael,1,3160500035
CDS SplitOrdered,1,4922334042
STL,4,10765361326
TBB,4,1988866092
WFC Laborde 4,4,5299230075
WFC Laborde 8,4,4076905856
CDS Feldman 4,4,1329329537
CDS Feldman 8,4,1478122121
CDS Michael,4,1174929282
Xenium Michael,4,1308819493
CDS SplitOrdered,4,5203309198
STL,8,9561528999
TBB,8,844364290
WFC Laborde 4,8,2767731524
WFC Laborde 8,8,1902017170
CDS Feldman 4,8,534636403
CDS Feldman 8,8,431060235
CDS Michael,8,611984681
Xenium Michael,8,710171971
CDS SplitOrdered,8,4438021107
STL,16,7747740238
TBB,16,384633100
WFC Laborde 4,16,1823767972
WFC Laborde 8,16,1501828075
CDS Feldman 4,16,420354671
CDS Feldman 8,16,289781107
CDS Michael,16,617447860
Xenium Michael,16,296656116
CDS SplitOrdered,16,4440192619
STL,32,7032778213
TBB,32,315113489
WFC Laborde 4,32,1235776394
WFC Laborde 8,32,1292036877
CDS Feldman 4,32,242130151
CDS Feldman 8,32,270885712
CDS Michael,32,314170137
Xenium Michael,32,201514507
CDS SplitOrdered,32,4454842428
STL,1,2753284910
TBB,1,2969907593
WFC Laborde 4,1,7190946771
WFC Laborde 8,1,4889012657
CDS Feldman 4,1,2573862819
CDS Feldman 8,1,2923795972
CDS Michael,1,2298133981
Xenium Michael,1,2979475990
CDS SplitOrdered,1,4233706823
STL,4,10302579139
TBB,4,1897146418
WFC Laborde 4,4,4803515329
WFC Laborde 8,4,3868098601
CDS Feldman 4,4,1223934427
CDS Feldman 8,4,1486639155
CDS Michael,4,1209452133
