Structure,Threads,Elapsed Time
STL,1,1136847220
TBB,1,1091953921
WFC Laborde 4,1,4283929961
WFC Laborde 8,1,3778164803
CDS Feldman 4,1,1505267586
CDS Feldman 8,1,1432499835
Xenium Michael,1,2239247278
CDS Michael,1,978479916
CDS SplitOrdered,1,1434279451
STL,4,7438396807
TBB,4,1251405048
CDS Feldman 4,4,866286076
CDS Feldman 8,4,857327421
Xenium Michael,4,1372906727
CDS Michael,4,590672604
CDS SplitOrdered,4,756364145
STL,8,8152420146
TBB,8,319375834
WFC Laborde 4,8,2433372477
CDS Feldman 4,8,373911873
CDS Feldman 8,8,247529627
Xenium Michael,8,756699020
CDS Michael,8,209539133
CDS SplitOrdered,8,752239362
STL,16,7426187565
TBB,16,216845458
WFC Laborde 8,16,1419467189
CDS Feldman 4,16,207235079
CDS Feldman 8,16,191907873
Xenium Michael,16,358640212
CDS Michael,16,251944938
CDS SplitOrdered,16,340892598
STL,32,7460177192
TBB,32,241848130
CDS Feldman 4,32,348743232
CDS Feldman 8,32,356745476
Xenium Michael,32,314274177
CDS Michael,32,586581750
CDS SplitOrdered,32,422770876
STL,1,898057912
TBB,1,1013251921
WFC Laborde 4,1,4014818104
WFC Laborde 8,1,3756912601
CDS Feldman 4,1,1511357253
CDS Feldman 8,1,1440383120
Xenium Michael,1,2245766319
CDS Michael,1,982752623
CDS SplitOrdered,1,1428091114
STL,4,8474946863
TBB,4,871872790
WFC Laborde 4,4,4341468279
WFC Laborde 8,4,3222904038
CDS Feldman 4,4,696000907
CDS Feldman 8,4,416939621
Xenium Michael,4,1272480308
CDS Michael,4,583748324
CDS SplitOrdered,4,791748616
STL,8,8217584723
TBB,8,344124956
CDS Feldman 4,8,447498589
CDS Feldman 8,8,251180190
Xenium Michael,8,843076756
CDS Michael,8,185596685
CDS SplitOrdered,8,261827630
STL,16,7747098138
TBB,16,227889509
WFC Laborde 4,16,1284791693
CDS Feldman 4,16,163042215
CDS Feldman 8,16,313270770
Xenium Michael,16,288691209
CDS Michael,16,359289150
CDS SplitOrdered,16,334520176
STL,32,7688870977
TBB,32,246764427
CDS Feldman 4,32,402356006
CDS Feldman 8,32,449406762
Xenium Michael,32,264714117
CDS Michael,32,454688794
CDS SplitOrdered,32,392751068
STL,1,1131630818
TBB,1,1105264185
WFC Laborde 4,1,4013741509
WFC Laborde 8,1,3782997832
CDS Feldman 4,1,1510485500
CDS Feldman 8,1,1435328830
Xenium Michael,1,2238251245
CDS Michael,1,977761127
CDS SplitOrdered,1,1427492602
STL,4,6548494560
TBB,4,1245333857
WFC Laborde 4,4,3618944739
WFC Laborde 8,4,3421504780
CDS Feldman 4,4,471988443
CDS Feldman 8,4,572823494
Xenium Michael,4,1172395908
CDS Michael,4,581375705
CDS SplitOrdered,4,918197916
STL,8,7713595884
TBB,8,373897425
CDS Feldman 4,8,247222284
CDS Feldman 8,8,360897401
Xenium Michael,8,784820302
CDS Michael,8,440490055
CDS SplitOrdered,8,327526508
STL,16,7741476665
TBB,16,167830523
CDS Feldman 4,16,231022160
CDS Feldman 8,16,214632833
Xenium Michael,16,442152590
CDS Michael,16,249623152
CDS SplitOrdered,16,353588808
STL,32,7095416801
TBB,32,230132764
CDS Feldman 4,32,355101335
CDS Feldman 8,32,563273788
Xenium Michael,32,232473084
CDS Michael,32,581132947
CDS SplitOrdered,32,553374741
STL,1,1133688725
TBB,1,1285951921
WFC Laborde 4,1,4110660509
WFC Laborde 8,1,4048820938
CDS Feldman 4,1,1503479326
CDS Feldman 8,1,1440263245
Xenium Michael,1,2234351597
CDS Michael,1,974971027
CDS SplitOrdered,1,1433901228
STL,4,6423355067
TBB,4,831579449
CDS Feldman 4,4,735444651
CDS Feldman 8,4,579658502
Xenium Michael,4,1458150936
CDS Michael,4,440660060
CDS SplitOrdered,4,1155502259
STL,8,9299671076
TBB,8,267154996
WFC Laborde 4,8,2237245892
CDS Feldman 4,8,495126984
CDS Feldman 8,8,373564794
Xenium Michael,8,745269251
CDS Michael,8,240937088
CDS SplitOrdered,8,635385242
STL,16,7460589830
TBB,16,230317194
WFC Laborde 4,16,937770667
CDS Feldman 4,16,302373935
CDS Feldman 8,16,221313609
Xenium Michael,16,380872076
CDS Michael,16,205513977
CDS SplitOrdered,16,375396478
STL,32,7673188776
TBB,32,233368220
CDS Feldman 4,32,430608490
CDS Feldman 8,32,337740498
Xenium Michael,32,315762316
CDS Michael,32,406352933
CDS SplitOrdered,32,339221680
STL,1,861655889
TBB,1,1008793924
WFC Laborde 4,1,4047770234
WFC Laborde 8,1,3866380397
CDS Feldman 4,1,1239963122
CDS Feldman 8,1,2782856963
Xenium Michael,1,1966005122
CDS Michael,1,977839821
CDS SplitOrdered,1,1432257564
STL,4,7776151246
TBB,4,787730058
WFC Laborde 4,4,4338339625
CDS Feldman 4,4,796921563
CDS Feldman 8,4,548714970
Xenium Michael,4,1059110513
CDS Michael,4,887244250
CDS SplitOrdered,4,870431511
STL,8,8447914935
TBB,8,261033008
WFC Laborde 4,8,2871298375
CDS Feldman 4,8,264926027
CDS Feldman 8,8,271845472
Xenium Michael,8,725244524
CDS Michael,8,324540801
CDS SplitOrdered,8,313647236
STL,16,7523940087
TBB,16,167324896
WFC Laborde 8,16,1585542534
CDS Feldman 4,16,209790246
CDS Feldman 8,16,337547969
Xenium Michael,16,271462370
CDS Michael,16,519624432
CDS SplitOrdered,16,237987238
STL,32,6955746957
TBB,32,227230497
CDS Feldman 4,32,384166928
CDS Feldman 8,32,333438265
Xenium Michael,32,308739063
CDS Michael,32,381376937
