Structure,Threads,Elapsed Time
STL,1,2283862612
TBB,1,2655672001
WFC Laborde 4,1,4426933962
WFC Laborde 8,1,4223498343
CDS Feldman 4,1,4320580785
CDS Feldman 8,1,4589884169
Xenium Michael,1,3372465986
CDS Michael,1,3022675829
CDS SplitOrdered,1,3548112383
STL,4,14020738180
TBB,4,1594584063
WFC Laborde 8,4,4610175168
CDS Feldman 4,4,2322558887
CDS Feldman 8,4,2200820277
Xenium Michael,4,2338445158
CDS Michael,4,2244340751
CDS SplitOrdered,4,2369555223
STL,8,16392342212
TBB,8,783092147
CDS Feldman 4,8,1382024132
CDS Feldman 8,8,1285781629
Xenium Michael,8,1427448068
CDS Michael,8,1440503691
CDS SplitOrdered,8,1500960951
STL,16,17234186466
TBB,16,510564323
CDS Feldman 4,16,901550354
CDS Feldman 8,16,924821114
Xenium Michael,16,708372081
CDS Michael,16,887812516
CDS SplitOrdered,16,863070694
STL,32,16674617024
TBB,32,517530195
CDS Feldman 4,32,819505078
CDS Feldman 8,32,995711526
Xenium Michael,32,530081566
CDS Michael,32,993729345
CDS SplitOrdered,32,1030412979
STL,1,2280375506
TBB,1,2581496910
WFC Laborde 4,1,4139490855
WFC Laborde 8,1,4197655356
CDS Feldman 4,1,4394907433
CDS Feldman 8,1,4570173928
Xenium Michael,1,3460497598
CDS Michael,1,3019774874
CDS SplitOrdered,1,3542324658
STL,4,13473300666
TBB,4,1771607113
CDS Feldman 4,4,2327692603
CDS Feldman 8,4,2145499311
Xenium Michael,4,2258731356
CDS Michael,4,1971517403
CDS SplitOrdered,4,2302435390
STL,8,17731424813
TBB,8,917880173
CDS Feldman 4,8,1377519995
CDS Feldman 8,8,1363473067
Xenium Michael,8,1284014415
CDS Michael,8,1162962010
CDS SplitOrdered,8,1477447020
STL,16,17351137555
TBB,16,622922812
CDS Feldman 4,16,864838673
CDS Feldman 8,16,874949473
Xenium Michael,16,666843769
CDS Michael,16,857052604
CDS SplitOrdered,16,962053249
STL,32,17776290474
TBB,32,342908679
CDS Feldman 4,32,1126627599
CDS Feldman 8,32,839221365
Xenium Michael,32,519166605
CDS Michael,32,1010853113
CDS SplitOrdered,32,910539129
STL,1,2038422076
TBB,1,2610343139
WFC Laborde 4,1,4424988121
WFC Laborde 8,1,4196999738
CDS Feldman 4,1,4586583728
CDS Feldman 8,1,4233657119
Xenium Michael,1,3474553756
CDS Michael,1,3026859933
CDS SplitOrdered,1,3545213824
STL,4,13460818712
TBB,4,1722551296
CDS Feldman 4,4,2433113508
CDS Feldman 8,4,2401883863
Xenium Michael,4,2213157046
CDS Michael,4,2051900183
CDS SplitOrdered,4,2501764973
STL,8,17266766779
TBB,8,999264617
CDS Feldman 4,8,1306032794
CDS Feldman 8,8,1308771751
Xenium Michael,8,1111841897
CDS Michael,8,1337405374
CDS SplitOrdered,8,1287600252
STL,16,15630322139
TBB,16,705792597
CDS Feldman 4,16,874225835
CDS Feldman 8,16,857424621
Xenium Michael,16,681128719
CDS Michael,16,945590991
CDS SplitOrdered,16,946249692
STL,32,17810619954
TBB,32,454451680
CDS Feldman 4,32,797429650
CDS Feldman 8,32,918890697
Xenium Michael,32,601037813
CDS Michael,32,883890629
CDS SplitOrdered,32,976550411
STL,1,2287670381
TBB,1,2557389122
WFC Laborde 4,1,4202708612
WFC Laborde 8,1,4222570760
CDS Feldman 4,1,4367197478
CDS Feldman 8,1,4313820837
Xenium Michael,1,3478579442
CDS Michael,1,3037888723
CDS SplitOrdered,1,3547196319
STL,4,13575637083
TBB,4,1851797837
CDS Feldman 4,4,3735698422
CDS Feldman 8,4,2248997816
Xenium Michael,4,2206784935
CDS Michael,4,2111448678
CDS SplitOrdered,4,2090688601
STL,8,16610207981
TBB,8,980135956
CDS Feldman 4,8,1253587270
CDS Feldman 8,8,1554724443
Xenium Michael,8,1273470304
CDS Michael,8,1493192427
CDS SplitOrdered,8,1299208428
STL,16,15243371443
TBB,16,411166184
CDS Feldman 4,16,856328263
CDS Feldman 8,16,850050292
Xenium Michael,16,621543101
CDS Michael,16,934844445
CDS SplitOrdered,16,1003530607
STL,32,16800146177
TBB,32,332136549
CDS Feldman 4,32,1160430035
CDS Feldman 8,32,842285108
Xenium Michael,32,571550212
CDS Michael,32,1022768496
CDS SplitOrdered,32,1060435904
STL,1,2015493055
TBB,1,2553462444
WFC Laborde 4,1,4201294459
WFC Laborde 8,1,4200957897
CDS Feldman 4,1,4376157455
CDS Feldman 8,1,4886912082
Xenium Michael,1,3464814926
CDS Michael,1,3457943546
CDS SplitOrdered,1,3553864970
STL,4,14653844205
TBB,4,1826804440
CDS Feldman 4,4,2143310874
CDS Feldman 8,4,2326161881
Xenium Michael,4,2142359733
CDS Michael,4,2096667019
CDS SplitOrdered,4,2095904759
STL,8,17427731095
TBB,8,690758148
CDS Feldman 4,8,1411641607
CDS Feldman 8,8,1511992578
Xenium Michael,8,1128005003
CDS Michael,8,1249957463
CDS SplitOrdered,8,1271617904
STL,16,17023154321
TBB,16,479342240
CDS Feldman 4,16,815227230
CDS Feldman 8,16,824725936
Xenium Michael,16,675325893
CDS Michael,16,1194897615
CDS SplitOrdered,16,844882839
STL,32,18182893944
TBB,32,536822707
CDS Feldman 4,32,982922714
CDS Feldman 8,32,811140173
Xenium Michael,32,506312156
CDS Michael,32,973208791
CDS SplitOrdered,32,1175227487
STL,1,2010034608
TBB,1,2580083923
WFC Laborde 4,1,4230164421
WFC Laborde 8,1,4021000411
CDS Feldman 4,1,4382045159
CDS Feldman 8,1,4569279836
Xenium Michael,1,3466487938
CDS Michael,1,3337963378
CDS SplitOrdered,1,3537173826
STL,4,14535044699
TBB,4,1898901350
CDS Feldman 4,4,2461528828
CDS Feldman 8,4,2392990330
Xenium Michael,4,2035158684
CDS Michael,4,2143284814
CDS SplitOrdered,4,2157413865
STL,8,18206517293
TBB,8,1102796669
CDS Feldman 4,8,1350899091
CDS Feldman 8,8,1514790588
Xenium Michael,8,1233976327
CDS Michael,8,1272965137
CDS SplitOrdered,8,1349438267
STL,16,15353946885
TBB,16,387423512
CDS Feldman 4,16,955744910
CDS Feldman 8,16,952670504
Xenium Michael,16,609803165
CDS Michael,16,792910420
