Structure,Threads,Elapsed Time
STL,1,3125770303
TBB,1,4225685850
WFC Laborde 4,1,2415680219
WFC Laborde 8,1,2332811669
CDS Feldman 4,1,7717197642
CDS Feldman 8,1,7393361048
Xenium Michael,1,4524739508
CDS Michael,1,4483170709
CDS SplitOrdered,1,5119028999
STL,4,14827309344
TBB,4,2153479803
CDS Feldman 4,4,2825775898
CDS Feldman 8,4,3002567658
Xenium Michael,4,1896880704
CDS Michael,4,2104718325
CDS SplitOrdered,4,2322025336
STL,8,19342169525
TBB,8,1244051459
CDS Feldman 4,8,1615324567
CDS Feldman 8,8,1732985797
Xenium Michael,8,1317935199
CDS Michael,8,1373772941
CDS SplitOrdered,8,1395058301
STL,16,18629552497
TBB,16,616226596
CDS Feldman 4,16,967784977
CDS Feldman 8,16,1103632014
Xenium Michael,16,703799189
CDS Michael,16,773754843
CDS SplitOrdered,16,819911380
STL,32,19377441188
TBB,32,491266412
CDS Feldman 4,32,848566699
CDS Feldman 8,32,1294157387
Xenium Michael,32,445736770
CDS Michael,32,833132249
CDS SplitOrdered,32,778050064
STL,1,3341775533
TBB,1,3945068739
WFC Laborde 4,1,2408050328
WFC Laborde 8,1,2287773029
CDS Feldman 4,1,7703245815
CDS Feldman 8,1,7549378305
Xenium Michael,1,4262428486
CDS Michael,1,4646612660
CDS SplitOrdered,1,5069162583
STL,4,15710947073
TBB,4,2075734060
WFC Laborde 4,4,3425699068
CDS Feldman 4,4,2856873960
CDS Feldman 8,4,2924723013
Xenium Michael,4,2130964158
CDS Michael,4,2178225659
CDS SplitOrdered,4,2353424661
STL,8,19009376182
TBB,8,1170255480
WFC Laborde 8,8,2407767520
CDS Feldman 4,8,1577917791
CDS Feldman 8,8,1571766183
Xenium Michael,8,1244016837
CDS Michael,8,1246359195
CDS SplitOrdered,8,1506208552
STL,16,17938798116
TBB,16,619677254
CDS Feldman 4,16,1088953562
CDS Feldman 8,16,1168063739
Xenium Michael,16,663743836
CDS Michael,16,922369791
CDS SplitOrdered,16,932531412
STL,32,19173282916
TBB,32,466372591
CDS Feldman 4,32,865517248
CDS Feldman 8,32,1329061710
Xenium Michael,32,466262206
CDS Michael,32,870580547
CDS SplitOrdered,32,934766418
STL,1,3353022607
TBB,1,4014457630
WFC Laborde 4,1,2490829332
WFC Laborde 8,1,2328903655
CDS Feldman 4,1,7449406977
CDS Feldman 8,1,7584137936
Xenium Michael,1,4256112880
CDS Michael,1,4660629537
CDS SplitOrdered,1,5056886733
STL,4,14994364166
TBB,4,2252015132
WFC Laborde 4,4,3732915759
CDS Feldman 4,4,2870576051
CDS Feldman 8,4,2946802114
Xenium Michael,4,2248204725
CDS Michael,4,2316329145
CDS SplitOrdered,4,2316566980
STL,8,18422824708
TBB,8,1084451879
CDS Feldman 4,8,1696847846
CDS Feldman 8,8,1624899818
Xenium Michael,8,1185099606
CDS Michael,8,1406186005
CDS SplitOrdered,8,1276156136
STL,16,19109816080
TBB,16,741213388
CDS Feldman 4,16,970637600
CDS Feldman 8,16,1057745744
Xenium Michael,16,733227945
CDS Michael,16,1006009958
CDS SplitOrdered,16,975462483
STL,32,20363224207
TBB,32,392461281
CDS Feldman 4,32,999815686
CDS Feldman 8,32,919218344
Xenium Michael,32,400567364
CDS Michael,32,797897637
CDS SplitOrdered,32,784762759
STL,1,3355485846
TBB,1,4054657402
WFC Laborde 4,1,2684431783
WFC Laborde 8,1,2335411104
CDS Feldman 4,1,7862361699
CDS Feldman 8,1,7428093570
Xenium Michael,1,4403483315
CDS Michael,1,4405199088
CDS SplitOrdered,1,5291923540
STL,4,14381549557
TBB,4,2155893891
CDS Feldman 4,4,2904377571
CDS Feldman 8,4,2876653859
Xenium Michael,4,2108644039
CDS Michael,4,2279119469
CDS SplitOrdered,4,2226452586
STL,8,17429544742
TBB,8,1154464801
CDS Feldman 4,8,1605120244
CDS Feldman 8,8,1737947349
Xenium Michael,8,1214164664
CDS Michael,8,1301198697
CDS SplitOrdered,8,1436599395
STL,16,18433622935
TBB,16,713883818
CDS Feldman 4,16,1113761997
CDS Feldman 8,16,1048157307
Xenium Michael,16,733674236
CDS Michael,16,953259996
CDS SplitOrdered,16,872933735
STL,32,19675675160
TBB,32,420056006
CDS Feldman 4,32,911414555
CDS Feldman 8,32,1419485686
Xenium Michael,32,508455032
CDS Michael,32,744212884
CDS SplitOrdered,32,1120624564
STL,1,3085837860
TBB,1,4023354732
WFC Laborde 4,1,2514314029
WFC Laborde 8,1,2526718467
CDS Feldman 4,1,7711291166
CDS Feldman 8,1,7559201129
Xenium Michael,1,4263466372
CDS Michael,1,4645606797
CDS SplitOrdered,1,5648926748
STL,4,13637775037
TBB,4,2370205323
CDS Feldman 4,4,2907134088
CDS Feldman 8,4,2834670306
Xenium Michael,4,2206952011
CDS Michael,4,2240903025
CDS SplitOrdered,4,2243570900
STL,8,18562306931
TBB,8,1094953361
CDS Feldman 4,8,1464282772
CDS Feldman 8,8,1515139888
Xenium Michael,8,1216420169
CDS Michael,8,1232872318
CDS SplitOrdered,8,1357167491
STL,16,17936753826
TBB,16,799451130
CDS Feldman 4,16,1010350056
CDS Feldman 8,16,2324977672
Xenium Michael,16,669743228
CDS Michael,16,799831140
CDS SplitOrdered,16,825726755
STL,32,20389806745
TBB,32,427150163
CDS Feldman 4,32,917025817
CDS Feldman 8,32,1186620669
Xenium Michael,32,445058240
CDS Michael,32,835952241
CDS SplitOrdered,32,1019726117
STL,1,3347660191
TBB,1,4738376695
WFC Laborde 4,1,2464680130
WFC Laborde 8,1,2329576375
CDS Feldman 4,1,7848506255
CDS Feldman 8,1,7545927261
Xenium Michael,1,4321292834
CDS Michael,1,4391915619
