Structure,Threads,Elapsed Time
STL,1,1006180404
TBB,1,842689360
WFC Laborde 4,1,2070130825
WFC Laborde 8,1,1887085087
CDS Feldman 4,1,1060234707
CDS Feldman 8,1,1015669591
Xenium Michael,1,1846671671
CDS Michael,1,1009592666
CDS SplitOrdered,1,1451309490
STL,4,4626553748
TBB,4,654545072
WFC Laborde 4,4,3346871333
WFC Laborde 8,4,2467363928
CDS Feldman 4,4,467451046
CDS Feldman 8,4,234514222
Xenium Michael,4,1223347676
CDS Michael,4,424090774
CDS SplitOrdered,4,707728343
STL,8,5532724776
TBB,8,268385790
WFC Laborde 4,8,2105810045
WFC Laborde 8,8,1597105696
CDS Feldman 4,8,125371608
CDS Feldman 8,8,168578664
Xenium Michael,8,522325420
CDS Michael,8,148220470
CDS SplitOrdered,8,228713175
STL,16,6434920004
TBB,16,358909175
WFC Laborde 4,16,1250275584
WFC Laborde 8,16,974137891
CDS Feldman 4,16,183812994
CDS Feldman 8,16,157700869
Xenium Michael,16,179144884
CDS Michael,16,239550006
CDS SplitOrdered,16,159289686
STL,32,6029840297
TBB,32,297424965
WFC Laborde 4,32,1118259628
WFC Laborde 8,32,1310175609
CDS Feldman 4,32,121414473
CDS Feldman 8,32,160450801
Xenium Michael,32,254151168
CDS Michael,32,291451890
CDS SplitOrdered,32,309690907
STL,1,1000052172
TBB,1,1098060575
WFC Laborde 4,1,1877120388
WFC Laborde 8,1,1885055637
CDS Feldman 4,1,1058913339
CDS Feldman 8,1,1015340687
Xenium Michael,1,1845778976
CDS Michael,1,781115047
CDS SplitOrdered,1,1257000825
STL,4,6795015572
TBB,4,1190235800
WFC Laborde 4,4,3226752505
WFC Laborde 8,4,1903508188
CDS Feldman 4,4,273601821
CDS Feldman 8,4,706380213
Xenium Michael,4,838143880
CDS Michael,4,633384983
CDS SplitOrdered,4,566289384
STL,8,7120159605
TBB,8,447260232
WFC Laborde 4,8,1730787302
WFC Laborde 8,8,1118983241
CDS Feldman 4,8,156819868
CDS Feldman 8,8,341509296
Xenium Michael,8,559019683
CDS Michael,8,158641594
CDS SplitOrdered,8,362759207
STL,16,5430279447
TBB,16,319512914
WFC Laborde 4,16,1515666132
WFC Laborde 8,16,1191560048
CDS Feldman 4,16,174828010
CDS Feldman 8,16,156775731
Xenium Michael,16,281869167
CDS Michael,16,419202638
CDS SplitOrdered,16,391121200
STL,32,5659795533
TBB,32,259681513
WFC Laborde 4,32,1213653622
WFC Laborde 8,32,1109236083
CDS Feldman 4,32,198789652
CDS Feldman 8,32,147166001
Xenium Michael,32,186988300
CDS Michael,32,311166001
CDS SplitOrdered,32,315887759
STL,1,999440736
TBB,1,1094706401
WFC Laborde 4,1,1838949326
WFC Laborde 8,1,1885846679
CDS Feldman 4,1,1060642275
CDS Feldman 8,1,1016589850
Xenium Michael,1,1845864607
CDS Michael,1,765551011
CDS SplitOrdered,1,1448687450
STL,4,5509345342
TBB,4,883656148
WFC Laborde 4,4,3129257266
WFC Laborde 8,4,2801262164
CDS Feldman 4,4,290137022
CDS Feldman 8,4,782622357
Xenium Michael,4,1017780693
CDS Michael,4,286845635
CDS SplitOrdered,4,978237418
STL,8,6888295644
TBB,8,257593491
WFC Laborde 4,8,2696844438
WFC Laborde 8,8,1256932799
CDS Feldman 4,8,183460777
CDS Feldman 8,8,233887081
Xenium Michael,8,645208839
CDS Michael,8,149189636
CDS SplitOrdered,8,540273690
STL,16,5890927825
TBB,16,151226208
WFC Laborde 4,16,1475925892
WFC Laborde 8,16,1288922258
CDS Feldman 4,16,312374110
CDS Feldman 8,16,143511340
Xenium Michael,16,218882049
CDS Michael,16,267819414
CDS SplitOrdered,16,314292005
STL,32,6171089344
TBB,32,247438286
WFC Laborde 4,32,1204485313
WFC Laborde 8,32,1212509218
CDS Feldman 4,32,206800418
CDS Feldman 8,32,206637375
Xenium Michael,32,181710898
CDS Michael,32,335485261
CDS SplitOrdered,32,320632555
STL,1,998642033
TBB,1,1095065519
WFC Laborde 4,1,1840749570
WFC Laborde 8,1,1886227854
CDS Feldman 4,1,1065966058
CDS Feldman 8,1,1015450035
Xenium Michael,1,1848583404
CDS Michael,1,781205744
CDS SplitOrdered,1,1256905674
STL,4,5047070572
TBB,4,1187553162
WFC Laborde 4,4,3078789961
WFC Laborde 8,4,2806883021
CDS Feldman 4,4,259775886
CDS Feldman 8,4,768020478
Xenium Michael,4,1009743705
CDS Michael,4,232483395
CDS SplitOrdered,4,1024673370
STL,8,6456806354
TBB,8,251628754
WFC Laborde 4,8,2213048086
WFC Laborde 8,8,1373701811
CDS Feldman 4,8,140895691
CDS Feldman 8,8,301745340
Xenium Michael,8,336344697
CDS Michael,8,245680387
CDS SplitOrdered,8,277484607
STL,16,5741513495
TBB,16,156524033
WFC Laborde 4,16,1484661832
WFC Laborde 8,16,1376498549
CDS Feldman 4,16,89006282
CDS Feldman 8,16,171383389
Xenium Michael,16,180443660
CDS Michael,16,228429630
