Structure,Threads,Elapsed Time
STL,1,929237421
TBB,1,1029338018
WFC Laborde 4,1,1910417489
WFC Laborde 8,1,1730205974
CDS Feldman 4,1,1216669649
CDS Feldman 8,1,921957468
Xenium Michael,1,1801893445
CDS Michael,1,1195793492
CDS SplitOrdered,1,1460174245
STL,4,8921457115
TBB,4,1065821920
WFC Laborde 4,4,4278184309
WFC Laborde 8,4,2907770804
CDS Feldman 4,4,466163326
CDS Feldman 8,4,287230508
Xenium Michael,4,1429264588
CDS Michael,4,722802481
CDS SplitOrdered,4,1523766816
STL,8,11177189825
TBB,8,393399556
WFC Laborde 4,8,2266895267
WFC Laborde 8,8,2067285288
CDS Feldman 4,8,207432722
CDS Feldman 8,8,530942481
Xenium Michael,8,395671878
CDS Michael,8,258907908
CDS SplitOrdered,8,369206275
STL,16,10740604918
TBB,16,441695525
WFC Laborde 8,16,1871436561
CDS Feldman 4,16,515596669
CDS Feldman 8,16,214066720
Xenium Michael,16,325000903
CDS Michael,16,820468325
CDS SplitOrdered,16,494340467
STL,32,11637261985
TBB,32,380351049
CDS Feldman 4,32,478695167
CDS Feldman 8,32,278014191
Xenium Michael,32,252459476
CDS Michael,32,683708450
CDS SplitOrdered,32,755732890
STL,1,928619625
TBB,1,1024760390
WFC Laborde 4,1,1908338721
WFC Laborde 8,1,1727002158
CDS Feldman 4,1,1211732156
CDS Feldman 8,1,943554063
Xenium Michael,1,1805452941
CDS Michael,1,1195051517
CDS SplitOrdered,1,1457384957
STL,4,8541759406
TBB,4,1231948841
WFC Laborde 4,4,3061798640
WFC Laborde 8,4,3605664824
CDS Feldman 4,4,507081542
CDS Feldman 8,4,855924440
Xenium Michael,4,1234531698
CDS Michael,4,826614555
CDS SplitOrdered,4,1046763657
STL,8,10769303573
TBB,8,493966906
CDS Feldman 4,8,215572615
CDS Feldman 8,8,192434844
Xenium Michael,8,745433444
CDS Michael,8,208374826
CDS SplitOrdered,8,700555872
STL,16,11342997076
TBB,16,370312503
WFC Laborde 4,16,1608026682
CDS Feldman 4,16,143239896
CDS Feldman 8,16,407749736
Xenium Michael,16,253996990
CDS Michael,16,779636943
CDS SplitOrdered,16,642614141
STL,32,10675114390
TBB,32,416858721
CDS Feldman 4,32,478569382
CDS Feldman 8,32,250933828
Xenium Michael,32,215324919
CDS Michael,32,752075801
CDS SplitOrdered,32,682381291
STL,1,948032788
TBB,1,1063775358
WFC Laborde 4,1,1988318977
WFC Laborde 8,1,1730434806
CDS Feldman 4,1,1045068040
CDS Feldman 8,1,939478186
Xenium Michael,1,1807624034
CDS Michael,1,1195391554
CDS SplitOrdered,1,1382970621
STL,4,8970979143
TBB,4,1283837340
WFC Laborde 4,4,4260292125
WFC Laborde 8,4,3326278990
CDS Feldman 4,4,924818117
CDS Feldman 8,4,721176307
Xenium Michael,4,1106423550
CDS Michael,4,632435694
CDS SplitOrdered,4,1128311582
STL,8,11162194709
TBB,8,369087255
WFC Laborde 4,8,2811684597
WFC Laborde 8,8,1914019726
CDS Feldman 4,8,245375489
CDS Feldman 8,8,574532602
Xenium Michael,8,377566018
CDS Michael,8,668514612
CDS SplitOrdered,8,465815488
STL,16,10079477991
TBB,16,436049011
WFC Laborde 4,16,1804521895
CDS Feldman 4,16,547216927
CDS Feldman 8,16,287285896
Xenium Michael,16,399248807
CDS Michael,16,169024540
CDS SplitOrdered,16,616531246
STL,32,12474031851
TBB,32,401162135
WFC Laborde 4,32,1672242747
WFC Laborde 8,32,1886547857
CDS Feldman 4,32,446196067
CDS Feldman 8,32,354200499
Xenium Michael,32,228965645
CDS Michael,32,704229781
CDS SplitOrdered,32,727092830
STL,1,1141116688
TBB,1,1289986862
WFC Laborde 4,1,1983373463
WFC Laborde 8,1,1805804823
CDS Feldman 4,1,965634182
CDS Feldman 8,1,958495451
Xenium Michael,1,1808144300
CDS Michael,1,1209194386
CDS SplitOrdered,1,1445819196
STL,4,8940759863
TBB,4,1380411475
WFC Laborde 4,4,3483865503
WFC Laborde 8,4,2780927827
CDS Feldman 4,4,339591899
CDS Feldman 8,4,1037149188
Xenium Michael,4,1073993178
CDS Michael,4,662082204
CDS SplitOrdered,4,1432957080
STL,8,12002513227
TBB,8,536243179
WFC Laborde 4,8,2563027569
CDS Feldman 4,8,354792530
CDS Feldman 8,8,190419820
Xenium Michael,8,561546007
CDS Michael,8,188275149
CDS SplitOrdered,8,1007791419
STL,16,9902898825
TBB,16,214820753
CDS Feldman 4,16,159135934
CDS Feldman 8,16,300565376
Xenium Michael,16,284607190
CDS Michael,16,709234560
CDS SplitOrdered,16,754119642
STL,32,12017037618
TBB,32,345834346
WFC Laborde 4,32,1667054159
WFC Laborde 8,32,1689834185
CDS Feldman 4,32,464226435
CDS Feldman 8,32,344940012
Xenium Michael,32,223520767
CDS Michael,32,736678617
CDS SplitOrdered,32,630593803
STL,1,872564145
TBB,1,1061223742
WFC Laborde 4,1,1890867290
WFC Laborde 8,1,1828942192
CDS Feldman 4,1,1215935385
CDS Feldman 8,1,924358115
Xenium Michael,1,1806916336
CDS Michael,1,1200337536
CDS SplitOrdered,1,1485531342
STL,4,8898610018
TBB,4,1107013081
WFC Laborde 4,4,3558490880
WFC Laborde 8,4,3383135982
CDS Feldman 4,4,629635795
CDS Feldman 8,4,1087952631
Xenium Michael,4,1137290199
CDS Michael,4,1157209282
CDS SplitOrdered,4,1091675307
STL,8,9756784170
TBB,8,487505836
WFC Laborde 4,8,1787178868
WFC Laborde 8,8,2061760847
CDS Feldman 4,8,227004688
CDS Feldman 8,8,561218889
Xenium Michael,8,381453325
CDS Michael,8,219953931
CDS SplitOrdered,8,1060000947
