Structure,Threads,Elapsed Time
STL,1,1141772240
TBB,1,1334620166
WFC Laborde 4,1,2076011667
WFC Laborde 8,1,1919457863
CDS Feldman 4,1,1192954253
CDS Feldman 8,1,895895689
Xenium Michael,1,1941946800
CDS Michael,1,1159038481
CDS SplitOrdered,1,1479365099
STL,4,8857113520
TBB,4,1181459011
WFC Laborde 4,4,4828321344
WFC Laborde 8,4,3141245489
CDS Feldman 4,4,812413522
CDS Feldman 8,4,398579673
Xenium Michael,4,985133851
CDS Michael,4,593991920
CDS SplitOrdered,4,878215237
STL,8,10168613618
TBB,8,741490286
WFC Laborde 4,8,2610392062
CDS Feldman 4,8,269435184
CDS Feldman 8,8,189281314
Xenium Michael,8,671791436
CDS Michael,8,222064464
CDS SplitOrdered,8,771998960
STL,16,9981972435
TBB,16,399407547
WFC Laborde 4,16,1888930383
CDS Feldman 4,16,246088443
CDS Feldman 8,16,296528624
Xenium Michael,16,284740602
CDS Michael,16,580197838
CDS SplitOrdered,16,565131771
STL,32,11082679387
TBB,32,316740771
WFC Laborde 8,32,1450100734
CDS Feldman 4,32,297555017
CDS Feldman 8,32,269784074
Xenium Michael,32,215597878
CDS Michael,32,431856491
CDS SplitOrdered,32,435564987
STL,1,933585554
TBB,1,1059610770
WFC Laborde 4,1,1864453568
WFC Laborde 8,1,1640071853
CDS Feldman 4,1,997414299
CDS Feldman 8,1,968080247
Xenium Michael,1,1710983592
CDS Michael,1,1158230999
CDS SplitOrdered,1,1397392283
STL,4,7258944279
TBB,4,1110884739
WFC Laborde 4,4,4664079101
WFC Laborde 8,4,3156183411
CDS Feldman 4,4,476705171
CDS Feldman 8,4,749458373
Xenium Michael,4,1150886081
CDS Michael,4,494756158
CDS SplitOrdered,4,894458338
STL,8,9962235998
TBB,8,440857065
WFC Laborde 4,8,2790151297
WFC Laborde 8,8,1879168944
CDS Feldman 4,8,201167652
CDS Feldman 8,8,205547586
Xenium Michael,8,546087931
CDS Michael,8,208629473
CDS SplitOrdered,8,814109913
STL,16,10015298617
TBB,16,366834578
CDS Feldman 4,16,260162744
CDS Feldman 8,16,148964953
Xenium Michael,16,363759531
CDS Michael,16,502678986
CDS SplitOrdered,16,541804657
STL,32,11622036117
TBB,32,299031640
WFC Laborde 4,32,1533352687
WFC Laborde 8,32,1901312504
CDS Feldman 4,32,354504661
CDS Feldman 8,32,228324669
Xenium Michael,32,228215549
CDS Michael,32,340883162
CDS SplitOrdered,32,536267279
STL,1,1145399291
TBB,1,1155921549
WFC Laborde 4,1,1802663496
WFC Laborde 8,1,1917017204
CDS Feldman 4,1,1190821642
CDS Feldman 8,1,892881413
Xenium Michael,1,1943308864
CDS Michael,1,1158650172
CDS SplitOrdered,1,1400418558
STL,4,7918374506
TBB,4,1306295581
WFC Laborde 4,4,4079711685
WFC Laborde 8,4,3342150097
CDS Feldman 4,4,450467267
CDS Feldman 8,4,835604541
Xenium Michael,4,1171343878
CDS Michael,4,380351766
CDS SplitOrdered,4,1230425972
STL,8,9236039665
TBB,8,367454365
WFC Laborde 4,8,3083573893
WFC Laborde 8,8,1774726874
CDS Feldman 4,8,200888670
