Structure,Threads,Elapsed Time
STL,1,756938504
LSCQ,1,1153857928
XMSQ,1,1727429687
CDSMSQ,1,1561041218
TBB,1,558447787
Boost,1,892641447
STL,2,1999740040
LSCQ,2,4441718447
XMSQ,2,4165005211
CDSMSQ,2,4429593058
TBB,2,2614141770
Boost,2,2307943891
STL,4,3699004832
LSCQ,4,3933280785
XMSQ,4,6254771836
CDSMSQ,4,8716228090
TBB,4,3205193756
Boost,4,4235093191
STL,8,3586213464
LSCQ,8,3038703008
XMSQ,8,6905579408
CDSMSQ,8,14854923230
TBB,8,3702857618
Boost,8,6808944668
STL,16,4376578993
LSCQ,16,3104145762
XMSQ,16,8016610419
CDSMSQ,16,23372579161
TBB,16,4646868890
Boost,16,5896329365
STL,32,5173408562
LSCQ,32,3810911389
XMSQ,32,14899116414
CDSMSQ,32,29461154466
TBB,32,5759773902
Boost,32,6561882407
STL,1,758597054
LSCQ,1,1410774470
XMSQ,1,1743916632
CDSMSQ,1,1395668250
TBB,1,805583705
Boost,1,905667279
STL,2,2511339255
LSCQ,2,3758828487
XMSQ,2,3563135194
CDSMSQ,2,5084398208
TBB,2,2589084113
Boost,2,2382347372
STL,4,3968475643
LSCQ,4,4127231621
XMSQ,4,6621389049
CDSMSQ,4,8950813869
TBB,4,3168867485
Boost,4,3146158839
STL,8,4096473264
LSCQ,8,3168444466
XMSQ,8,7001255066
CDSMSQ,8,13796825874
TBB,8,3187920673
Boost,8,5952587627
STL,16,3934798502
LSCQ,16,2477556969
XMSQ,16,10378652454
CDSMSQ,16,21890654958
TBB,16,4821460048
Boost,16,6091504384
STL,32,5915606090
LSCQ,32,2836482724
XMSQ,32,14181608445
CDSMSQ,32,32278765832
TBB,32,5566888332
Boost,32,6401252892
STL,1,759665100
LSCQ,1,1213095685
XMSQ,1,1481826665
CDSMSQ,1,1393590172
TBB,1,804110889
Boost,1,890248492
STL,2,1713974201
LSCQ,2,4459479825
XMSQ,2,3538587854
CDSMSQ,2,4494685634
TBB,2,2606061631
Boost,2,2344774325
STL,4,3084388855
LSCQ,4,4129329441
XMSQ,4,6454112096
CDSMSQ,4,9923262242
TBB,4,3127544395
Boost,4,4180519380
STL,8,3914852745
LSCQ,8,3049583069
XMSQ,8,8355185420
CDSMSQ,8,13614460870
TBB,8,3647085951
Boost,8,5332859135
STL,16,4168722129
LSCQ,16,3460861505
XMSQ,16,8055242166
CDSMSQ,16,22479498868
TBB,16,4791623211
Boost,16,5765656804
STL,32,5207153123
LSCQ,32,2882739255
XMSQ,32,14805947041
CDSMSQ,32,30108442205
TBB,32,5731753362
Boost,32,6609340650
STL,1,757514239
LSCQ,1,1221162549
XMSQ,1,1466150239
CDSMSQ,1,1396412464
TBB,1,806278568
Boost,1,884892780
STL,2,1968634953
LSCQ,2,4430753794
XMSQ,2,3935582441
CDSMSQ,2,4473227348
TBB,2,2588061853
Boost,2,2532306452
STL,4,3834600918
LSCQ,4,4016963091
XMSQ,4,6075778968
CDSMSQ,4,9077465346
TBB,4,3014166409
Boost,4,5099935009
STL,8,3577036299
LSCQ,8,2974910807
XMSQ,8,6704162816
CDSMSQ,8,13684355301
TBB,8,3667761865
Boost,8,5170018120
STL,16,4641230352
LSCQ,16,2682153478
XMSQ,16,7905674043
CDSMSQ,16,24446343776
TBB,16,4686073741
Boost,16,6036354264
STL,32,5795367636
LSCQ,32,3201341080
XMSQ,32,13873668668
CDSMSQ,32,33494052312
TBB,32,5674269700
Boost,32,6966613716
STL,1,756857109
LSCQ,1,1194462315
XMSQ,1,1729873894
CDSMSQ,1,1563934122
TBB,1,555726483
Boost,1,976363143
STL,2,1906321136
LSCQ,2,3741731502
XMSQ,2,4195945378
CDSMSQ,2,4222727235
TBB,2,2587288368
Boost,2,2217836706
STL,4,3538330606
LSCQ,4,4029392770
XMSQ,4,5952348865
CDSMSQ,4,9465875750
TBB,4,3188776201
Boost,4,4599912419
STL,8,3717133035
LSCQ,8,3156837139
XMSQ,8,6779433399
CDSMSQ,8,16158863918
TBB,8,3484254333
Boost,8,5500729225
STL,16,4071531022
LSCQ,16,2437310091
XMSQ,16,7818055180
CDSMSQ,16,24798656955
TBB,16,4872546240
Boost,16,6954916268
STL,32,5183062281
LSCQ,32,3163336738
XMSQ,32,10093868384
CDSMSQ,32,32916577844
TBB,32,5779822922
Boost,32,7356659112
STL,1,776800133
LSCQ,1,1404824218
XMSQ,1,1483006311
CDSMSQ,1,1319585222
TBB,1,806274972
Boost,1,894810977
STL,2,2026526282
LSCQ,2,4208891394
XMSQ,2,4166136750
CDSMSQ,2,4607512310
TBB,2,2882229764
Boost,2,1919031934
STL,4,3564525892
LSCQ,4,4189524676
XMSQ,4,5850737775
CDSMSQ,4,9070657206
TBB,4,3629402555
Boost,4,5290371913
STL,8,4183515187
LSCQ,8,2956509252
XMSQ,8,6927528945
CDSMSQ,8,14627413073
TBB,8,3459364984
Boost,8,6984981745
STL,16,4002214939
LSCQ,16,3121583484
XMSQ,16,9716196903
