Structure,Threads,Elapsed Time
STL,1,50560190455
LSCQ,1,25114297626
XMSQ,1,47673339411
CDSMSQ,1,23315977094
TBB,1,30104179923
Boost,1,41087028279
STL,2,69106928155
LSCQ,2,54632710447
XMSQ,2,30625174002
CDSMSQ,2,20462237898
TBB,2,21722882898
Boost,2,84906177622
STL,4,132256853846
LSCQ,4,20159363233
XMSQ,4,21764724469
CDSMSQ,4,27040555358
TBB,4,63817288293
Boost,4,64305166046
STL,8,127266243490
LSCQ,8,37459966477
XMSQ,8,31421131458
CDSMSQ,8,26940422035
TBB,8,57320910304
Boost,8,108567887340
STL,16,148762375049
LSCQ,16,10863781131
XMSQ,16,41549686535
CDSMSQ,16,46100185618
TBB,16,13732380006
Boost,16,103000094863
STL,32,114377120391
LSCQ,32,13376641865
XMSQ,32,54205582835
CDSMSQ,32,51467527931
TBB,32,70206406168
Boost,32,96936133820
STL,1,28244059643
LSCQ,1,22713607958
XMSQ,1,28579544892
CDSMSQ,1,45637756836
TBB,1,27799581537
Boost,1,27273407426
STL,2,80973495159
LSCQ,2,24690633039
XMSQ,2,79688826997
CDSMSQ,2,22176687580
TBB,2,21837374278
Boost,2,66102812873
STL,4,88550376182
LSCQ,4,15911816736
XMSQ,4,21877620808
CDSMSQ,4,33757822547
TBB,4,22252460237
Boost,4,72098726697
STL,8,113758108908
LSCQ,8,13910273952
XMSQ,8,26504947993
CDSMSQ,8,25166771046
TBB,8,41594414431
Boost,8,107142141304
STL,16,147778232232
LSCQ,16,15864333284
XMSQ,16,43851301013
CDSMSQ,16,38371782190
TBB,16,45336396897
Boost,16,102216336360
STL,32,118878914394
LSCQ,32,13910831216
XMSQ,32,51389712896
CDSMSQ,32,53694314295
TBB,32,17219021040
Boost,32,97999512087
STL,1,26076997284
LSCQ,1,20436551986
XMSQ,1,28487927702
CDSMSQ,1,24028717909
TBB,1,32704024955
Boost,1,27165947411
STL,2,46390774426
LSCQ,2,19857210852
XMSQ,2,25648471977
CDSMSQ,2,21265723954
TBB,2,37377289489
Boost,2,71405282218
STL,4,151777891414
LSCQ,4,15241636052
XMSQ,4,21893008606
CDSMSQ,4,22209552394
TBB,4,15220922095
Boost,4,75535400850
STL,8,105399432463
LSCQ,8,30961103460
XMSQ,8,46563356671
CDSMSQ,8,30684017517
TBB,8,30672949805
Boost,8,113593958406
STL,16,93264845768
LSCQ,16,11473538356
XMSQ,16,38943067763
CDSMSQ,16,38703680362
TBB,16,13255539279
Boost,16,144233315485
STL,32,162706503264
LSCQ,32,11896233709
XMSQ,32,323596987477
CDSMSQ,32,53375106894
TBB,32,86042542908
Boost,32,99329006814
STL,1,29401029980
LSCQ,1,26238807263
XMSQ,1,31329346551
CDSMSQ,1,22668966683
TBB,1,29878507881
Boost,1,21989246926
STL,2,42472023346
LSCQ,2,24934098641
XMSQ,2,22266668810
CDSMSQ,2,19272404157
TBB,2,36726743081
Boost,2,49919858490
STL,4,105993891491
LSCQ,4,19445331086
XMSQ,4,45520390078
CDSMSQ,4,27847521738
TBB,4,14274182127
Boost,4,82932276678
STL,8,109295643879
LSCQ,8,11405918764
XMSQ,8,26680385666
CDSMSQ,8,35785597407
TBB,8,37386875319
Boost,8,100424282475
STL,16,93691120253
LSCQ,16,11156558123
XMSQ,16,36832432742
CDSMSQ,16,42351503361
TBB,16,13001132448
Boost,16,100073774373
STL,32,124012867380
LSCQ,32,14663354968
XMSQ,32,307865943095
CDSMSQ,32,53284013215
TBB,32,62936393881
Boost,32,158121551700
STL,1,27221629914
LSCQ,1,20179285488
XMSQ,1,26836971764
CDSMSQ,1,21827042683
TBB,1,27431194047
Boost,1,40519081936
STL,2,38838416829
LSCQ,2,21318625018
XMSQ,2,25871199675
CDSMSQ,2,19986999139
TBB,2,42933200499
Boost,2,51674301743
STL,4,109482634529
LSCQ,4,17487701870
XMSQ,4,21040328842
CDSMSQ,4,20851593199
TBB,4,58499347535
Boost,4,65800037055
STL,8,113702120423
LSCQ,8,13149602204
XMSQ,8,25875080095
CDSMSQ,8,24860407006
TBB,8,12110227323
Boost,8,96438063541
STL,16,130078324819
LSCQ,16,19301965013
XMSQ,16,40498676115
CDSMSQ,16,72094949575
TBB,16,13544142994
Boost,16,97970922881
STL,32,86602699655
LSCQ,32,11379692378
XMSQ,32,46617001895
CDSMSQ,32,51139909594
TBB,32,95427352831
Boost,32,97374570025
STL,1,39556367499
LSCQ,1,20212262788
XMSQ,1,28941067196
CDSMSQ,1,20741019898
TBB,1,48223105786
Boost,1,25525694944
STL,2,38793359693
LSCQ,2,26862752760
XMSQ,2,38675126090
CDSMSQ,2,21116154253
TBB,2,19880082451
Boost,2,68473351509
STL,4,127653410887
LSCQ,4,15384600558
XMSQ,4,21821585746
CDSMSQ,4,20236380486
TBB,4,50037930953
Boost,4,106535622345
STL,8,93991602248
LSCQ,8,11815415592
XMSQ,8,26994476670
CDSMSQ,8,26878215155
TBB,8,13483828643
Boost,8,103069486857
STL,16,90702238297
LSCQ,16,15765028311
XMSQ,16,40881398849
CDSMSQ,16,42012025143
TBB,16,14587014769
Boost,16,121979845010
STL,32,97184018529
LSCQ,32,30274508386
