Structure,Threads,Elapsed Time
STL,1,488737714
LSCQ,1,1186213316
XMSQ,1,1501889775
CDSMSQ,1,1310492874
TBB,1,802250045
Boost,1,926808285
STL,2,2073063978
LSCQ,2,4487488843
XMSQ,2,3647332379
CDSMSQ,2,4845377047
TBB,2,2573359045
Boost,2,1966192032
STL,4,3046643603
LSCQ,4,3566534368
XMSQ,4,6646541158
CDSMSQ,4,8425640541
TBB,4,3039152918
Boost,4,4380006378
STL,8,4291376598
LSCQ,8,3033633354
XMSQ,8,6803719437
CDSMSQ,8,15303164116
TBB,8,3483972865
Boost,8,6002058822
STL,16,3843759012
LSCQ,16,2950537642
XMSQ,16,8043006591
CDSMSQ,16,22378950369
TBB,16,4787406286
Boost,16,5358234136
STL,32,5255402488
LSCQ,32,3110173168
XMSQ,32,14966430669
CDSMSQ,32,31194779532
TBB,32,4795437623
Boost,32,7479054315
STL,1,486673285
LSCQ,1,1161866097
XMSQ,1,1779254961
CDSMSQ,1,1390468043
TBB,1,805188337
Boost,1,975528037
STL,2,1978343216
LSCQ,2,3913289678
XMSQ,2,3905692791
CDSMSQ,2,4179306075
TBB,2,2316173203
Boost,2,2469306180
STL,4,2950574637
LSCQ,4,4023720272
XMSQ,4,6046784959
CDSMSQ,4,8635665108
TBB,4,2625000255
Boost,4,4751052119
STL,8,3515612478
LSCQ,8,2993259403
XMSQ,8,8356375203
CDSMSQ,8,14272813706
TBB,8,3398025058
Boost,8,6431301149
STL,16,3926741119
LSCQ,16,2170371649
XMSQ,16,10088435869
CDSMSQ,16,21289654652
TBB,16,4368971341
Boost,16,6370375686
STL,32,5131257913
LSCQ,32,3812191305
XMSQ,32,12114455543
CDSMSQ,32,34593131169
TBB,32,5765777314
Boost,32,6853965336
STL,1,757695478
LSCQ,1,1140687919
XMSQ,1,1576098404
CDSMSQ,1,1392049712
TBB,1,804433018
Boost,1,891078012
STL,2,1844731226
LSCQ,2,3748635033
XMSQ,2,4216402401
CDSMSQ,2,4516945642
TBB,2,2619083209
Boost,2,2121097131
STL,4,3333545234
LSCQ,4,3818101972
XMSQ,4,6090349910
CDSMSQ,4,9206637353
TBB,4,3150228667
Boost,4,4296890311
STL,8,3700585414
LSCQ,8,3182327227
XMSQ,8,8367892601
CDSMSQ,8,15029323214
TBB,8,3396446073
Boost,8,7839014272
STL,16,4172665343
LSCQ,16,2560452864
XMSQ,16,11644104931
CDSMSQ,16,21713657751
TBB,16,4733725753
Boost,16,6693536161
STL,32,5152345010
LSCQ,32,2828058822
XMSQ,32,9808633475
CDSMSQ,32,28582639106
TBB,32,5527261549
Boost,32,7940457703
STL,1,485036381
LSCQ,1,1178791170
XMSQ,1,1466858505
CDSMSQ,1,1355480085
TBB,1,806927111
Boost,1,892843882
STL,2,1352961306
LSCQ,2,4225758350
XMSQ,2,4004364253
CDSMSQ,2,4739220769
TBB,2,2805676751
Boost,2,2182161443
STL,4,3879979851
LSCQ,4,3633465136
XMSQ,4,6082504373
CDSMSQ,4,9356434773
TBB,4,3029005635
Boost,4,4561118094
STL,8,3315735760
LSCQ,8,3150963477
XMSQ,8,6828821490
CDSMSQ,8,14327073764
TBB,8,3537838603
Boost,8,5403560099
STL,16,4227811731
LSCQ,16,2725153342
XMSQ,16,8197894128
CDSMSQ,16,25007977220
TBB,16,4548703756
Boost,16,5822211038
STL,32,5547942562
LSCQ,32,3305275854
XMSQ,32,10152674105
CDSMSQ,32,33434984649
TBB,32,4825683654
Boost,32,8547304124
STL,1,756684149
LSCQ,1,1403716392
XMSQ,1,1513544796
CDSMSQ,1,1311535056
TBB,1,804063482
Boost,1,889292968
STL,2,1661727331
LSCQ,2,4274573418
XMSQ,2,3689243145
CDSMSQ,2,4522903796
TBB,2,2332636977
Boost,2,2273822422
STL,4,4165285545
LSCQ,4,3868744990
XMSQ,4,6530908283
CDSMSQ,4,9486950428
TBB,4,3164028782
Boost,4,3799449540
STL,8,3651571499
LSCQ,8,3159004269
XMSQ,8,6856399516
CDSMSQ,8,15859812581
TBB,8,3406657904
Boost,8,6974030728
STL,16,4383720018
LSCQ,16,2492849860
XMSQ,16,7817593135
CDSMSQ,16,24700220625
TBB,16,4827469692
Boost,16,6010486120
STL,32,6036356790
LSCQ,32,3374749727
XMSQ,32,15602886598
CDSMSQ,32,32777324119
TBB,32,5869091260
Boost,32,7029275386
STL,1,541291640
LSCQ,1,1142716928
XMSQ,1,1738630970
CDSMSQ,1,1394755039
TBB,1,806733677
Boost,1,897370965
STL,2,1893772807
LSCQ,2,4006682684
XMSQ,2,4312386932
CDSMSQ,2,4593659923
