Structure,Threads,Elapsed Time
STL,1,31021902274
LSCQ,1,20218551159
XMSQ,1,26964964711
CDSMSQ,1,24639790506
TBB,1,36633856229
Boost,1,28567889090
STL,2,44353531344
LSCQ,2,23109932798
XMSQ,2,24387904560
CDSMSQ,2,20789030100
TBB,2,30857541995
Boost,2,45706801223
STL,4,108282040430
LSCQ,4,32943445176
XMSQ,4,22156993382
CDSMSQ,4,22060614707
TBB,4,46487461973
Boost,4,44439652829
STL,8,102524409038
LSCQ,8,22533766990
XMSQ,8,38191762774
CDSMSQ,8,27669224759
TBB,8,50115203146
Boost,8,90663920136
STL,16,122952044812
LSCQ,16,10896728536
XMSQ,16,39971208362
CDSMSQ,16,43070812223
TBB,16,12373149841
Boost,16,76820351142
STL,32,92428970214
LSCQ,32,14786644226
XMSQ,32,50383518700
CDSMSQ,32,52174301860
TBB,32,99624481183
Boost,32,146678164906
STL,1,28286157007
LSCQ,1,20288293145
XMSQ,1,27316564170
CDSMSQ,1,25772988471
TBB,1,31597475176
Boost,1,28972297164
STL,2,66904183164
LSCQ,2,22746479271
XMSQ,2,23513519776
CDSMSQ,2,19232005877
TBB,2,32971764858
Boost,2,50850652845
STL,4,93607501619
LSCQ,4,15358254636
XMSQ,4,21236929783
CDSMSQ,4,21893215101
TBB,4,66645073093
Boost,4,51252302668
STL,8,107530943676
LSCQ,8,15024760387
XMSQ,8,25693216591
CDSMSQ,8,26999411796
TBB,8,12157889206
Boost,8,95603261650
STL,16,127269600730
LSCQ,16,25967460013
XMSQ,16,44058990786
CDSMSQ,16,41891599713
TBB,16,34176338137
Boost,16,91171583473
STL,32,140966954479
LSCQ,32,11866761553
XMSQ,32,51715820904
CDSMSQ,32,58640483995
TBB,32,16089232761
Boost,32,109581728356
STL,1,53737219439
LSCQ,1,21171509316
XMSQ,1,31662437596
CDSMSQ,1,44882624380
TBB,1,50818639183
Boost,1,29073143497
STL,2,45439962594
LSCQ,2,40152268844
XMSQ,2,23302866551
CDSMSQ,2,36456477722
TBB,2,21079475613
Boost,2,48292848761
STL,4,115793897198
LSCQ,4,18079710655
XMSQ,4,22824915655
CDSMSQ,4,26002853215
TBB,4,15167457430
Boost,4,60568809700
STL,8,102235335306
LSCQ,8,12334083260
XMSQ,8,24898666729
CDSMSQ,8,26012992720
TBB,8,12892175834
Boost,8,77372864878
STL,16,93597013639
LSCQ,16,29456909006
XMSQ,16,40726245000
CDSMSQ,16,42693242506
TBB,16,41441786878
Boost,16,93554642079
STL,32,94573058293
LSCQ,32,12142678573
XMSQ,32,53031047463
CDSMSQ,32,53554781915
TBB,32,15750352757
Boost,32,146823011217
STL,1,30850179971
LSCQ,1,19597728998
XMSQ,1,27484648467
CDSMSQ,1,22237833999
TBB,1,31455600438
Boost,1,28980039216
STL,2,50594084706
LSCQ,2,30664283048
XMSQ,2,22732965189
CDSMSQ,2,21550168311
TBB,2,37659109326
Boost,2,46458340661
STL,4,115186350994
LSCQ,4,20398134032
XMSQ,4,22263939853
CDSMSQ,4,21514428410
TBB,4,14488528363
Boost,4,56588477523
STL,8,88167719857
LSCQ,8,11726742106
XMSQ,8,25983342101
CDSMSQ,8,25573234711
TBB,8,38392456689
Boost,8,88635905429
STL,16,130926440900
LSCQ,16,15191270997
XMSQ,16,44060572994
CDSMSQ,16,43396683630
TBB,16,21932493938
Boost,16,80337170526
STL,32,94023793027
LSCQ,32,11509077623
XMSQ,32,50515286146
CDSMSQ,32,52596957065
TBB,32,16644541032
Boost,32,128692208600
STL,1,31330686851
LSCQ,1,24341735152
XMSQ,1,28762349733
CDSMSQ,1,26343408744
TBB,1,30062832014
Boost,1,28813242273
STL,2,44010614529
LSCQ,2,26838872729
XMSQ,2,21842930005
CDSMSQ,2,20455000775
TBB,2,95997541707
Boost,2,47852028909
STL,4,110776080285
LSCQ,4,14944288643
XMSQ,4,32622736506
CDSMSQ,4,22394872874
TBB,4,20345793414
Boost,4,48088608877
STL,8,95777338911
LSCQ,8,11781849177
XMSQ,8,26475208122
CDSMSQ,8,23685091093
TBB,8,15854912165
Boost,8,89153334905
STL,16,139092367751
LSCQ,16,20931521920
XMSQ,16,43904425308
CDSMSQ,16,42940877889
TBB,16,20966178318
Boost,16,96932502642
STL,32,88444943613
LSCQ,32,12338062012
XMSQ,32,52352380536
CDSMSQ,32,56025932943
TBB,32,39040531626
Boost,32,140994509573
