Structure,Threads,Elapsed Time
STL,1,759755215
LSCQ,1,1141817243
XMSQ,1,1547300690
CDSMSQ,1,1370601362
TBB,1,798038429
Boost,1,895588822
STL,2,1844229234
LSCQ,2,4226560785
XMSQ,2,3607256798
CDSMSQ,2,4038747782
TBB,2,2539030267
Boost,2,1891148229
STL,4,3270577332
LSCQ,4,4310213349
XMSQ,4,6412966249
CDSMSQ,4,10050819534
TBB,4,3119424488
Boost,4,4552725487
STL,8,4150647166
LSCQ,8,2968250857
XMSQ,8,8076242984
CDSMSQ,8,15222923018
TBB,8,3349202782
Boost,8,4607066071
STL,16,4528258387
LSCQ,16,3072194323
XMSQ,16,11131756247
CDSMSQ,16,18421889341
TBB,16,4744697655
Boost,16,5888318265
STL,32,5891416930
LSCQ,32,2664683813
XMSQ,32,10141973230
CDSMSQ,32,29018801964
TBB,32,5426204861
Boost,32,6675700451
STL,1,677056083
LSCQ,1,1410367014
XMSQ,1,1527659713
CDSMSQ,1,1385197601
TBB,1,624052024
Boost,1,687165682
STL,2,2116677823
LSCQ,2,4443468385
XMSQ,2,4152433790
CDSMSQ,2,4219843050
TBB,2,2280926993
Boost,2,2153326604
STL,4,3678342774
LSCQ,4,4052312947
XMSQ,4,5661239593
CDSMSQ,4,9559304496
TBB,4,3053323893
Boost,4,3990636168
STL,8,3551530122
LSCQ,8,2930645595
XMSQ,8,6910118431
CDSMSQ,8,14663893746
TBB,8,3363650127
Boost,8,5311643321
STL,16,4425411117
LSCQ,16,2660746297
XMSQ,16,7884000592
CDSMSQ,16,22838592889
TBB,16,4926613207
Boost,16,5524154270
STL,32,5852406813
LSCQ,32,3528495092
XMSQ,32,9844627069
CDSMSQ,32,27461573528
TBB,32,5657229593
Boost,32,7268774548
STL,1,756998579
LSCQ,1,1408697176
XMSQ,1,1750173816
CDSMSQ,1,1402375208
TBB,1,800666537
Boost,1,886263274
STL,2,1788962389
LSCQ,2,4274980219
XMSQ,2,4195150317
CDSMSQ,2,4410076478
TBB,2,2445676160
Boost,2,2279550071
STL,4,4017165845
LSCQ,4,3373051017
XMSQ,4,5760173871
CDSMSQ,4,9623705508
TBB,4,3082691045
Boost,4,3919090653
STL,8,4212113418
LSCQ,8,2890726148
XMSQ,8,7438123110
CDSMSQ,8,15268693666
TBB,8,3448383079
Boost,8,5391678448
STL,16,4816908402
LSCQ,16,3529487652
XMSQ,16,10941675269
CDSMSQ,16,21377587146
TBB,16,5092380646
Boost,16,5222232751
STL,32,5193642699
LSCQ,32,2961128240
XMSQ,32,14673505279
CDSMSQ,32,30177185847
TBB,32,5107282542
Boost,32,7867048994
STL,1,510878829
LSCQ,1,1406115749
XMSQ,1,1750929181
CDSMSQ,1,1591089323
TBB,1,799135509
Boost,1,892414367
STL,2,2363685556
LSCQ,2,4443229974
XMSQ,2,4065159312
CDSMSQ,2,4073548553
TBB,2,2488082582
Boost,2,1927992783
STL,4,3509113109
LSCQ,4,3820597239
XMSQ,4,6529769305
CDSMSQ,4,9546579510
TBB,4,2884484668
Boost,4,3534259179
STL,8,4234072232
LSCQ,8,3095452103
XMSQ,8,8185041901
CDSMSQ,8,15443435544
TBB,8,3433364800
