Structure,Threads,Elapsed Time
STD_Lock,1,10732003878
TBB,1,13185640567
WFC_Laborde 4,1,18055652544
WFC_Laborde 8,1,15799289058
LibCDS_Feldman 4,1,12151232519
LibCDS_Feldman 8,1,11957301387
LibCDS_Michael 1,1,8799549718
Xenium_Michael,1,14015976512
LibCDS_SplitOrdered 1,1,13847106252
STD_Lock,4,25618784292
TBB,4,7258333279
WFC_Laborde 4,4,9650528563
WFC_Laborde 8,4,8209851705
LibCDS_Feldman 4,4,5799682722
LibCDS_Feldman 8,4,5728672429
LibCDS_Michael 1,4,4404832671
Xenium_Michael,4,7499657175
LibCDS_SplitOrdered 1,4,7466213936
STD_Lock,8,23625550069
TBB,8,1754750851
WFC_Laborde 4,8,3607917715
WFC_Laborde 8,8,2550295132
LibCDS_Feldman 4,8,2192624935
LibCDS_Feldman 8,8,2100677945
LibCDS_Michael 1,8,1344619357
Xenium_Michael,8,3679181497
LibCDS_SplitOrdered 1,8,4075757752
STD_Lock,16,20234366272
TBB,16,1061167719
WFC_Laborde 4,16,3479966371
WFC_Laborde 8,16,2189153437
LibCDS_Feldman 4,16,1000749647
LibCDS_Feldman 8,16,1012067781
LibCDS_Michael 1,16,941317275
Xenium_Michael,16,1843949142
LibCDS_SplitOrdered 1,16,2595955927
STD_Lock,32,14666397821
TBB,32,552809995
WFC_Laborde 4,32,1679767462
WFC_Laborde 8,32,880112154
LibCDS_Feldman 4,32,707401014
LibCDS_Feldman 8,32,805705192
LibCDS_Michael 1,32,740883359
Xenium_Michael,32,1481412445
LibCDS_SplitOrdered 1,32,3616368526
STD_Lock,1,10081467054
TBB,1,11310792115
WFC_Laborde 4,1,18081882270
WFC_Laborde 8,1,15690306800
LibCDS_Feldman 4,1,12117051537
LibCDS_Feldman 8,1,11621396565
LibCDS_Michael 1,1,9043694986
Xenium_Michael,1,10754005298
LibCDS_SplitOrdered 1,1,13700334604
STD_Lock,4,25146905874
TBB,4,4934741326
WFC_Laborde 4,4,9159446862
WFC_Laborde 8,4,8921442182
LibCDS_Feldman 4,4,4888490196
LibCDS_Feldman 8,4,5197925894
LibCDS_Michael 1,4,5103784713
Xenium_Michael,4,6080835002
