Structure,Threads,Elapsed Time
STD_Lock,1,18150665596
TBB,1,17808935663
WFC_Laborde 4,1,34779141386
WFC_Laborde 8,1,25815268153
LibCDS_Feldman 4,1,33502159804
LibCDS_Feldman 8,1,30414318956
LibCDS_Michael 1,1,25306006476
Xenium_Michael,1,25768337643
LibCDS_SplitOrdered 1,1,40528810000
STD_Lock,4,38033093951
TBB,4,8962598885
WFC_Laborde 4,4,15821232502
WFC_Laborde 8,4,12339192546
LibCDS_Feldman 4,4,11902250151
LibCDS_Feldman 8,4,12364952762
LibCDS_Michael 1,4,9947060962
Xenium_Michael,4,14128364695
LibCDS_SplitOrdered 1,4,20120571951
STD_Lock,8,43736242838
TBB,8,5315755882
WFC_Laborde 4,8,7288005133
WFC_Laborde 8,8,6557838688
LibCDS_Feldman 4,8,7243456642
LibCDS_Feldman 8,8,5432324387
LibCDS_Michael 1,8,5129217234
Xenium_Michael,8,5170165584
LibCDS_SplitOrdered 1,8,13692544119
STD_Lock,16,47659582560
TBB,16,3029476329
WFC_Laborde 4,16,4886671754
WFC_Laborde 8,16,3724490907
LibCDS_Feldman 4,16,3239677697
LibCDS_Feldman 8,16,4078336250
LibCDS_Michael 1,16,2665316520
Xenium_Michael,16,2685100976
LibCDS_SplitOrdered 1,16,9540025625
STD_Lock,32,50436202399
TBB,32,1324628015
WFC_Laborde 4,32,3098590615
WFC_Laborde 8,32,2780481692
LibCDS_Feldman 4,32,1391943141
LibCDS_Feldman 8,32,2329856467
LibCDS_Michael 1,32,1338174916
Xenium_Michael,32,1279907908
LibCDS_SplitOrdered 1,32,9009942437
