Structure,Threads,Elapsed Time
STD_Lock,1,1374021647
TBB,1,1308646261
WFC_Laborde 4,1,3932944229
WFC_Laborde 8,1,3888100031
LibCDS_Feldman 4,1,1630727159
LibCDS_Feldman 8,1,1594010832
LibCDS_Michael 1,1,1121779039
Xenium_Michael,1,3088198023
LibCDS_SplitOrdered 1,1,2359146724
STD_Lock,4,6025946115
TBB,4,527825725
WFC_Laborde 4,4,2912988758
WFC_Laborde 8,4,2142718794
LibCDS_Feldman 4,4,388689734
LibCDS_Feldman 8,4,484809922
LibCDS_Michael 1,4,251895960
Xenium_Michael,4,1303601076
LibCDS_SplitOrdered 1,4,806567162
STD_Lock,8,4235446407
TBB,8,246923659
WFC_Laborde 4,8,2131473124
WFC_Laborde 8,8,1298356675
LibCDS_Feldman 4,8,155371009
LibCDS_Feldman 8,8,153426883
LibCDS_Michael 1,8,136124184
Xenium_Michael,8,673556242
LibCDS_SplitOrdered 1,8,269728315
STD_Lock,16,4042405820
TBB,16,214271329
WFC_Laborde 4,16,979819607
WFC_Laborde 8,16,1186524391
LibCDS_Feldman 4,16,106297872
LibCDS_Feldman 8,16,88099956
LibCDS_Michael 1,16,99095720
Xenium_Michael,16,324300530
LibCDS_SplitOrdered 1,16,273603183
STD_Lock,32,5558758956
TBB,32,165667741
WFC_Laborde 4,32,1089155292
WFC_Laborde 8,32,868147060
LibCDS_Feldman 4,32,77378308
LibCDS_Feldman 8,32,65470989
LibCDS_Michael 1,32,107255729
Xenium_Michael,32,195761696
LibCDS_SplitOrdered 1,32,135752073
STD_Lock,1,1558538444
TBB,1,1790131909
WFC_Laborde 4,1,3913570628
WFC_Laborde 8,1,3271725660
LibCDS_Feldman 4,1,1348615824
LibCDS_Feldman 8,1,1506113846
LibCDS_Michael 1,1,1339539239
Xenium_Michael,1,3080030249
LibCDS_SplitOrdered 1,1,2308042282
STD_Lock,4,6231657868
TBB,4,705006159
WFC_Laborde 4,4,2796888379
WFC_Laborde 8,4,2295493647
LibCDS_Feldman 4,4,415097073
LibCDS_Feldman 8,4,351944144
LibCDS_Michael 1,4,311002555
Xenium_Michael,4,1601478541
LibCDS_SplitOrdered 1,4,649875183
STD_Lock,8,5174918231
TBB,8,192416234
WFC_Laborde 4,8,1400919848
WFC_Laborde 8,8,1368489319
LibCDS_Feldman 4,8,168421806
LibCDS_Feldman 8,8,160989989
LibCDS_Michael 1,8,133407290
Xenium_Michael,8,659395665
LibCDS_SplitOrdered 1,8,265773391
STD_Lock,16,5185634666
TBB,16,235982035
WFC_Laborde 4,16,467300793
WFC_Laborde 8,16,728622399
LibCDS_Feldman 4,16,106192226
LibCDS_Feldman 8,16,90809297
LibCDS_Michael 1,16,108218796
Xenium_Michael,16,364498943
LibCDS_SplitOrdered 1,16,179558073
STD_Lock,32,5486091767
TBB,32,171521634
WFC_Laborde 4,32,924913251
