Structure,Threads,Elapsed Time
STD_Lock,1,6185489200
TBB,1,7020046742
WFC_Laborde 4,1,24037666166
WFC_Laborde 8,1,16191301089
LibCDS_Feldman 4,1,15874790198
LibCDS_Feldman 8,1,13701986250
LibCDS_Michael 1,1,12419858683
Xenium_Michael,1,14816143433
LibCDS_SplitOrdered 1,1,26425737910
STD_Lock,4,16978315357
TBB,4,3480501451
WFC_Laborde 4,4,8494054277
WFC_Laborde 8,4,6261082229
LibCDS_Feldman 4,4,4472378678
LibCDS_Feldman 8,4,4497221836
LibCDS_Michael 1,4,3643422434
Xenium_Michael,4,4590175563
LibCDS_SplitOrdered 1,4,10968527590
STD_Lock,8,18413741591
TBB,8,1614747242
WFC_Laborde 4,8,4300922515
WFC_Laborde 8,8,3087725343
LibCDS_Feldman 4,8,2291648643
LibCDS_Feldman 8,8,2447566206
LibCDS_Michael 1,8,1620156457
Xenium_Michael,8,2309191528
LibCDS_SplitOrdered 1,8,6044783706
STD_Lock,16,16797672496
TBB,16,716089047
WFC_Laborde 4,16,2382891622
WFC_Laborde 8,16,1822810867
LibCDS_Feldman 4,16,1265762688
LibCDS_Feldman 8,16,1543898330
LibCDS_Michael 1,16,955248635
Xenium_Michael,16,1256870310
LibCDS_SplitOrdered 1,16,4362521150
STD_Lock,32,16472570529
TBB,32,417036493
WFC_Laborde 4,32,1491560083
WFC_Laborde 8,32,1397522736
LibCDS_Feldman 4,32,669061640
LibCDS_Feldman 8,32,713140078
LibCDS_Michael 1,32,526322216
Xenium_Michael,32,659762154
LibCDS_SplitOrdered 1,32,2224177145
STD_Lock,1,6187606801
TBB,1,7022217366
WFC_Laborde 4,1,24041192182
WFC_Laborde 8,1,16192688219
LibCDS_Feldman 4,1,15870091771
LibCDS_Feldman 8,1,13631607843
LibCDS_Michael 1,1,12423011689
Xenium_Michael,1,14811235701
LibCDS_SplitOrdered 1,1,26159128266
STD_Lock,4,16926356675
TBB,4,3396290258
WFC_Laborde 4,4,8457445674
WFC_Laborde 8,4,5878384744
LibCDS_Feldman 4,4,4593761689
LibCDS_Feldman 8,4,4510894298
LibCDS_Michael 1,4,3600172029
