Structure,Threads,Elapsed Time
LockUnordered,1,2746620648
TBB,1,3112781922
WFCUnorderedMap 4,1,6355939173
WFCUnorderedMap 8,1,4798819480
LibCDSFeldman 4,1,2795054333
LibCDSFeldman 8,1,2672191909
LibCDSMichael 1,1,2264077814
LibCDSSplitOrdered 1,1,4804819706
LockUnordered,4,13602969797
TBB,4,1876296759
WFCUnorderedMap 4,4,4181571445
WFCUnorderedMap 8,4,3772054513
LibCDSFeldman 4,4,1556466044
LibCDSFeldman 8,4,1512581726
LibCDSMichael 1,4,977545679
LibCDSSplitOrdered 1,4,4349570254
LockUnordered,8,9426015877
TBB,8,823096305
WFCUnorderedMap 4,8,2619598276
WFCUnorderedMap 8,8,2137279945
LibCDSFeldman 4,8,627477047
LibCDSFeldman 8,8,851170732
LibCDSMichael 1,8,417222362
LibCDSSplitOrdered 1,8,5964085514
LockUnordered,16,7863144960
TBB,16,412564409
WFCUnorderedMap 4,16,1113063604
WFCUnorderedMap 8,16,1735807834
LibCDSFeldman 4,16,545565972
LibCDSFeldman 8,16,401729917
LibCDSMichael 1,16,488598979
LibCDSSplitOrdered 1,16,5933935050
LockUnordered,32,7429328053
TBB,32,360990318
WFCUnorderedMap 4,32,1047875176
WFCUnorderedMap 8,32,774648429
LibCDSFeldman 4,32,375926766
LibCDSFeldman 8,32,255959626
LibCDSMichael 1,32,342272114
LibCDSSplitOrdered 1,32,3724363252
LockUnordered,1,2743141160
TBB,1,3124684501
WFCUnorderedMap 4,1,6393612511
WFCUnorderedMap 8,1,4543406499
LibCDSFeldman 4,1,2794192673
LibCDSFeldman 8,1,2898053510
LibCDSMichael 1,1,2492424302
LibCDSSplitOrdered 1,1,4569186887
LockUnordered,4,11171174678
TBB,4,1640244464
WFCUnorderedMap 4,4,4698112078
WFCUnorderedMap 8,4,3952597279
LibCDSFeldman 4,4,1549342968
LibCDSFeldman 8,4,1927256808
LibCDSMichael 1,4,974689247
LibCDSSplitOrdered 1,4,4863458256
LockUnordered,8,10855125087
TBB,8,890600115
WFCUnorderedMap 4,8,2774716953
WFCUnorderedMap 8,8,2292948958
LibCDSFeldman 4,8,594650592
LibCDSFeldman 8,8,494386401
LibCDSMichael 1,8,420842611
LibCDSSplitOrdered 1,8,5248313946
LockUnordered,16,8102328948
TBB,16,354979021
WFCUnorderedMap 4,16,1661402135
WFCUnorderedMap 8,16,1092631536
LibCDSFeldman 4,16,511740462
LibCDSFeldman 8,16,651331494
LibCDSMichael 1,16,239789534
LibCDSSplitOrdered 1,16,4235781920
LockUnordered,32,7381958800
TBB,32,373851651
WFCUnorderedMap 4,32,933098942
WFCUnorderedMap 8,32,864823782
LibCDSFeldman 4,32,374674151
LibCDSFeldman 8,32,396975257
LibCDSMichael 1,32,346663671
LibCDSSplitOrdered 1,32,3525951170
LockUnordered,1,2746388398
TBB,1,3150700380
WFCUnorderedMap 4,1,6378450447
WFCUnorderedMap 8,1,4537083971
LibCDSFeldman 4,1,2799998654
LibCDSFeldman 8,1,2898750316
LibCDSMichael 1,1,2494855438
LibCDSSplitOrdered 1,1,4191323218
LockUnordered,4,11747547863
TBB,4,1746251164
WFCUnorderedMap 4,4,3977082093
WFCUnorderedMap 8,4,3863750222
LibCDSFeldman 4,4,1322144289
LibCDSFeldman 8,4,1410217066
LibCDSMichael 1,4,1211165353
LibCDSSplitOrdered 1,4,4929878119
LockUnordered,8,9473877879
