Structure,Threads,Elapsed Time
STD_Lock,1,2283862612
TBB,1,2655672001
WFC_Laborde 4,1,4426933962
WFC_Laborde 8,1,4223498343
LibCDS_Feldman 4,1,4320580785
LibCDS_Feldman 8,1,4589884169
Xenium_Michael,1,3372465986
LibCDS_Michael 1,1,3022675829
LibCDS_SplitOrdered 1,1,3548112383
STD_Lock,4,14020738180
TBB,4,1594584063
WFC_Laborde 8,4,4610175168
LibCDS_Feldman 4,4,2322558887
LibCDS_Feldman 8,4,2200820277
Xenium_Michael,4,2338445158
LibCDS_Michael 1,4,2244340751
LibCDS_SplitOrdered 1,4,2369555223
STD_Lock,8,16392342212
TBB,8,783092147
LibCDS_Feldman 4,8,1382024132
LibCDS_Feldman 8,8,1285781629
Xenium_Michael,8,1427448068
LibCDS_Michael 1,8,1440503691
LibCDS_SplitOrdered 1,8,1500960951
STD_Lock,16,17234186466
TBB,16,510564323
LibCDS_Feldman 4,16,901550354
LibCDS_Feldman 8,16,924821114
Xenium_Michael,16,708372081
LibCDS_Michael 1,16,887812516
LibCDS_SplitOrdered 1,16,863070694
STD_Lock,32,16674617024
TBB,32,517530195
LibCDS_Feldman 4,32,819505078
LibCDS_Feldman 8,32,995711526
Xenium_Michael,32,530081566
LibCDS_Michael 1,32,993729345
LibCDS_SplitOrdered 1,32,1030412979
STD_Lock,1,2280375506
TBB,1,2581496910
WFC_Laborde 4,1,4139490855
WFC_Laborde 8,1,4197655356
LibCDS_Feldman 4,1,4394907433
LibCDS_Feldman 8,1,4570173928
Xenium_Michael,1,3460497598
LibCDS_Michael 1,1,3019774874
LibCDS_SplitOrdered 1,1,3542324658
STD_Lock,4,13473300666
TBB,4,1771607113
LibCDS_Feldman 4,4,2327692603
LibCDS_Feldman 8,4,2145499311
Xenium_Michael,4,2258731356
LibCDS_Michael 1,4,1971517403
LibCDS_SplitOrdered 1,4,2302435390
STD_Lock,8,17731424813
TBB,8,917880173
LibCDS_Feldman 4,8,1377519995
LibCDS_Feldman 8,8,1363473067
Xenium_Michael,8,1284014415
LibCDS_Michael 1,8,1162962010
LibCDS_SplitOrdered 1,8,1477447020
STD_Lock,16,17351137555
TBB,16,622922812
LibCDS_Feldman 4,16,864838673
LibCDS_Feldman 8,16,874949473
Xenium_Michael,16,666843769
LibCDS_Michael 1,16,857052604
LibCDS_SplitOrdered 1,16,962053249
STD_Lock,32,17776290474
TBB,32,342908679
LibCDS_Feldman 4,32,1126627599
LibCDS_Feldman 8,32,839221365
Xenium_Michael,32,519166605
LibCDS_Michael 1,32,1010853113
LibCDS_SplitOrdered 1,32,910539129
STD_Lock,1,2038422076
TBB,1,2610343139
WFC_Laborde 4,1,4424988121
WFC_Laborde 8,1,4196999738
LibCDS_Feldman 4,1,4586583728
LibCDS_Feldman 8,1,4233657119
Xenium_Michael,1,3474553756
LibCDS_Michael 1,1,3026859933
LibCDS_SplitOrdered 1,1,3545213824
STD_Lock,4,13460818712
TBB,4,1722551296
LibCDS_Feldman 4,4,2433113508
LibCDS_Feldman 8,4,2401883863
Xenium_Michael,4,2213157046
LibCDS_Michael 1,4,2051900183
LibCDS_SplitOrdered 1,4,2501764973
STD_Lock,8,17266766779
TBB,8,999264617
LibCDS_Feldman 4,8,1306032794
LibCDS_Feldman 8,8,1308771751
Xenium_Michael,8,1111841897
LibCDS_Michael 1,8,1337405374
LibCDS_SplitOrdered 1,8,1287600252
STD_Lock,16,15630322139
TBB,16,705792597
LibCDS_Feldman 4,16,874225835
LibCDS_Feldman 8,16,857424621
Xenium_Michael,16,681128719
LibCDS_Michael 1,16,945590991
LibCDS_SplitOrdered 1,16,946249692
STD_Lock,32,17810619954
TBB,32,454451680
LibCDS_Feldman 4,32,797429650
LibCDS_Feldman 8,32,918890697
Xenium_Michael,32,601037813
LibCDS_Michael 1,32,883890629
LibCDS_SplitOrdered 1,32,976550411
STD_Lock,1,2287670381
TBB,1,2557389122
WFC_Laborde 4,1,4202708612
WFC_Laborde 8,1,4222570760
LibCDS_Feldman 4,1,4367197478
LibCDS_Feldman 8,1,4313820837
Xenium_Michael,1,3478579442
LibCDS_Michael 1,1,3037888723
LibCDS_SplitOrdered 1,1,3547196319
STD_Lock,4,13575637083
TBB,4,1851797837
LibCDS_Feldman 4,4,3735698422
LibCDS_Feldman 8,4,2248997816
Xenium_Michael,4,2206784935
LibCDS_Michael 1,4,2111448678
LibCDS_SplitOrdered 1,4,2090688601
STD_Lock,8,16610207981
TBB,8,980135956
LibCDS_Feldman 4,8,1253587270
LibCDS_Feldman 8,8,1554724443
Xenium_Michael,8,1273470304
LibCDS_Michael 1,8,1493192427
