Structure,Threads,Elapsed Time
STD_Lock,1,3215493094
TBB,1,4361844842
WFC_Laborde 4,1,11936690904
WFC_Laborde 8,1,8434536534
LibCDS_Feldman 4,1,9930550138
LibCDS_Feldman 8,1,8564148035
Xenium_Michael,1,13159612694
LibCDS_Michael 1,1,9288265938
LibCDS_SplitOrdered 1,1,18890845727
STD_Lock,4,10066597755
TBB,4,2158235304
WFC_Laborde 4,4,6193775799
WFC_Laborde 8,4,4363297250
LibCDS_Feldman 4,4,2715232194
LibCDS_Feldman 8,4,2388084097
Xenium_Michael,4,3914612990
LibCDS_Michael 1,4,2685693882
LibCDS_SplitOrdered 1,4,5139583144
STD_Lock,8,12948896310
TBB,8,887395767
WFC_Laborde 4,8,3432227675
WFC_Laborde 8,8,2280569060
LibCDS_Feldman 4,8,1383844493
LibCDS_Feldman 8,8,1242375602
Xenium_Michael,8,1945203830
LibCDS_Michael 1,8,1375036809
LibCDS_SplitOrdered 1,8,2650752141
STD_Lock,16,12185699972
TBB,16,582872442
WFC_Laborde 4,16,1834209351
WFC_Laborde 8,16,1338466397
LibCDS_Feldman 4,16,875573378
LibCDS_Feldman 8,16,794468038
Xenium_Michael,16,1209396231
LibCDS_Michael 1,16,874753364
LibCDS_SplitOrdered 1,16,1530554939
STD_Lock,32,12719813216
TBB,32,375942538
WFC_Laborde 4,32,1286589018
WFC_Laborde 8,32,1481156741
LibCDS_Feldman 4,32,517599864
LibCDS_Feldman 8,32,444053418
Xenium_Michael,32,704028584
LibCDS_Michael 1,32,498104828
LibCDS_SplitOrdered 1,32,880895539
