Structure,Threads,Elapsed Time
STD_Lock,1,1141772240
TBB,1,1334620166
WFC_Laborde 4,1,2076011667
WFC_Laborde 8,1,1919457863
LibCDS_Feldman 4,1,1192954253
LibCDS_Feldman 8,1,895895689
Xenium_Michael,1,1941946800
LibCDS_Michael 1,1,1159038481
LibCDS_SplitOrdered 1,1,1479365099
STD_Lock,4,8857113520
TBB,4,1181459011
WFC_Laborde 4,4,4828321344
WFC_Laborde 8,4,3141245489
LibCDS_Feldman 4,4,812413522
LibCDS_Feldman 8,4,398579673
Xenium_Michael,4,985133851
LibCDS_Michael 1,4,593991920
LibCDS_SplitOrdered 1,4,878215237
STD_Lock,8,10168613618
TBB,8,741490286
WFC_Laborde 4,8,2610392062
LibCDS_Feldman 4,8,269435184
LibCDS_Feldman 8,8,189281314
Xenium_Michael,8,671791436
LibCDS_Michael 1,8,222064464
LibCDS_SplitOrdered 1,8,771998960
STD_Lock,16,9981972435
TBB,16,399407547
WFC_Laborde 4,16,1888930383
LibCDS_Feldman 4,16,246088443
LibCDS_Feldman 8,16,296528624
Xenium_Michael,16,284740602
LibCDS_Michael 1,16,580197838
LibCDS_SplitOrdered 1,16,565131771
STD_Lock,32,11082679387
TBB,32,316740771
WFC_Laborde 8,32,1450100734
LibCDS_Feldman 4,32,297555017
LibCDS_Feldman 8,32,269784074
Xenium_Michael,32,215597878
LibCDS_Michael 1,32,431856491
LibCDS_SplitOrdered 1,32,435564987
STD_Lock,1,933585554
TBB,1,1059610770
WFC_Laborde 4,1,1864453568
WFC_Laborde 8,1,1640071853
LibCDS_Feldman 4,1,997414299
LibCDS_Feldman 8,1,968080247
Xenium_Michael,1,1710983592
LibCDS_Michael 1,1,1158230999
LibCDS_SplitOrdered 1,1,1397392283
STD_Lock,4,7258944279
TBB,4,1110884739
WFC_Laborde 4,4,4664079101
WFC_Laborde 8,4,3156183411
LibCDS_Feldman 4,4,476705171
LibCDS_Feldman 8,4,749458373
Xenium_Michael,4,1150886081
LibCDS_Michael 1,4,494756158
LibCDS_SplitOrdered 1,4,894458338
STD_Lock,8,9962235998
TBB,8,440857065
WFC_Laborde 4,8,2790151297
WFC_Laborde 8,8,1879168944
LibCDS_Feldman 4,8,201167652
LibCDS_Feldman 8,8,205547586
Xenium_Michael,8,546087931
LibCDS_Michael 1,8,208629473
LibCDS_SplitOrdered 1,8,814109913
STD_Lock,16,10015298617
TBB,16,366834578
LibCDS_Feldman 4,16,260162744
LibCDS_Feldman 8,16,148964953
Xenium_Michael,16,363759531
LibCDS_Michael 1,16,502678986
LibCDS_SplitOrdered 1,16,541804657
STD_Lock,32,11622036117
TBB,32,299031640
WFC_Laborde 4,32,1533352687
WFC_Laborde 8,32,1901312504
LibCDS_Feldman 4,32,354504661
LibCDS_Feldman 8,32,228324669
Xenium_Michael,32,228215549
LibCDS_Michael 1,32,340883162
LibCDS_SplitOrdered 1,32,536267279
STD_Lock,1,1145399291
TBB,1,1155921549
WFC_Laborde 4,1,1802663496
WFC_Laborde 8,1,1917017204
LibCDS_Feldman 4,1,1190821642
LibCDS_Feldman 8,1,892881413
Xenium_Michael,1,1943308864
LibCDS_Michael 1,1,1158650172
LibCDS_SplitOrdered 1,1,1400418558
STD_Lock,4,7918374506
TBB,4,1306295581
WFC_Laborde 4,4,4079711685
WFC_Laborde 8,4,3342150097
LibCDS_Feldman 4,4,450467267
LibCDS_Feldman 8,4,835604541
Xenium_Michael,4,1171343878
LibCDS_Michael 1,4,380351766
LibCDS_SplitOrdered 1,4,1230425972
STD_Lock,8,9236039665
TBB,8,367454365
WFC_Laborde 4,8,3083573893
WFC_Laborde 8,8,1774726874
LibCDS_Feldman 4,8,200888670
LibCDS_Feldman 8,8,487439421
Xenium_Michael,8,286895961
LibCDS_Michael 1,8,519592573
LibCDS_SplitOrdered 1,8,446915235
STD_Lock,16,9107611835
TBB,16,284431081
WFC_Laborde 4,16,1559666145
WFC_Laborde 8,16,1096271627
LibCDS_Feldman 4,16,142761265
LibCDS_Feldman 8,16,257053204
Xenium_Michael,16,213065963
LibCDS_Michael 1,16,480063015
LibCDS_SplitOrdered 1,16,464271257
STD_Lock,32,10118577425
TBB,32,311981198
WFC_Laborde 8,32,1360960785
LibCDS_Feldman 4,32,320032643
LibCDS_Feldman 8,32,282352827
Xenium_Michael,32,195051799
LibCDS_Michael 1,32,512137024
LibCDS_SplitOrdered 1,32,545303104
STD_Lock,1,948524165
TBB,1,1084282555
WFC_Laborde 4,1,2076073280
WFC_Laborde 8,1,1912192521
LibCDS_Feldman 4,1,1196866568
LibCDS_Feldman 8,1,988197004
Xenium_Michael,1,1943924885
LibCDS_Michael 1,1,1159015789
LibCDS_SplitOrdered 1,1,1400561095
STD_Lock,4,7227966984
TBB,4,1148944355
WFC_Laborde 4,4,4657805358
WFC_Laborde 8,4,3697326965
LibCDS_Feldman 4,4,379210735
LibCDS_Feldman 8,4,842462276
Xenium_Michael,4,1104483232
LibCDS_Michael 1,4,1144817104
LibCDS_SplitOrdered 1,4,825133819
STD_Lock,8,9545245142
TBB,8,477426875
WFC_Laborde 4,8,2804924980
WFC_Laborde 8,8,2072303308
LibCDS_Feldman 4,8,234902259
LibCDS_Feldman 8,8,318943421
Xenium_Michael,8,358055034
LibCDS_Michael 1,8,406422681
LibCDS_SplitOrdered 1,8,245215202
STD_Lock,16,8753031672
TBB,16,212222927
WFC_Laborde 4,16,1898457550
WFC_Laborde 8,16,1675130843
LibCDS_Feldman 4,16,267901885
LibCDS_Feldman 8,16,283476338
Xenium_Michael,16,251228211
LibCDS_Michael 1,16,442867368
LibCDS_SplitOrdered 1,16,212403808
STD_Lock,32,12067633125
TBB,32,315721901
WFC_Laborde 4,32,1642923326
WFC_Laborde 8,32,1654612624
LibCDS_Feldman 4,32,355789708
LibCDS_Feldman 8,32,290629535
Xenium_Michael,32,216857525
